k	loglikelihood	observations	parameters	BIC
1	-21276.6	5912	8	42622.6
2	-7161.79	5912	12	14427.8
3	-6484.96	5912	16	13108.9
4	-6183.64	5912	20	12541
5	-5972.13	5912	24	12152.7
6	-5803.13	5912	28	11849.4
7	-5754.7	5912	32	11787.3
8	-5660.79	5912	36	11634.2
9	-5588.22	5912	40	11523.8
10	-5477.43	5912	44	11337
11	-5248.99	5912	48	10914.8
12	-5432.31	5912	52	11316.2
13	-5430.59	5912	56	11347.5
14	-5410.21	5912	60	11341.5
15	-5421.03	5912	64	11397.9
16	-5415.59	5912	68	11421.7
17	-5195.18	5912	72	11015.7
18	-5198.88	5912	76	11057.8
19	-5187.33	5912	80	11069.4
20	-5188.94	5912	84	11107.4
