SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster	dcf0	dcf1	dcf2	dcf3
0	8.3e-05	4.8e-05	0	0.018	0.98	0	0	6.4e-05	0	0	0	0	0	0	0	2.1e-05	4	0.6	0.39	0.52	0.49
1	0.015	0.00046	0	0.069	0.92	3.9e-05	0	1.3e-06	0	0.00023	0	0	0	0	0	4e-05	4	0.6	0.39	0.52	0.49
2	0	0	0	0.044	0.94	0	0	0	0	5.1e-05	0	0	0	0	0	0.015	4	0.6	0.39	0.52	0.49
3	0	0	0	0.044	0.96	0	0	0	0	0.00011	0	0	0	0	0	0	4	0.6	0.39	0.52	0.49
4	0	0	0	0.069	0.93	0	0	0	0	0.00012	0	0	0	0	0	0	4	0.6	0.39	0.52	0.49
5	0	0	0	0.0015	0.15	0	0	0	0	0	0	0	0	0	0	0.85	15	0.53	0.3	0.46	0.38
6	0	0	0	0.013	0.99	0	0	0	0	2.3e-05	0	0	0	0	0	0.00032	4	0.6	0.39	0.52	0.49
7	0	0	0	0.02	0.98	0	0	0	0	1.6e-05	0	0	0	0	0	2.5e-05	4	0.6	0.39	0.52	0.49
8	0	0	0	0.022	0.98	0	0	0	0	0.0014	0	0	0	0	0	0.0011	4	0.6	0.39	0.52	0.49
9	0	0	0.0022	0	0	0	0	0	0	0	1	0	2.4e-05	0	0	0	10	0.18	0.17	0.43	0.054
10	0	0	0	0.0022	0.88	0	0	0	0	0	0	0	0	0	0	0.12	4	0.6	0.39	0.52	0.49
11	0	0	0	0	0	0	0	0	0	0	8.7e-05	0	0	0	1	0	14	0.4	0.22	0.27	0.27
12	7.6e-05	1.9e-05	0	0.035	0.82	1.2e-06	0	0.0028	0	0.14	0	0	0	0	0	0	4	0.6	0.39	0.52	0.49
13	0	0	0	0.0023	0.49	0	0	0	0	0	0	0	0	0	0	0.51	15	0.53	0.3	0.46	0.38
14	0	0	0	0.0098	0.99	0	0	0	0	3.6e-06	0	0	0	0	0	0.00028	4	0.6	0.39	0.52	0.49
15	0	0	0	0.018	0.96	0	0	0	0	0.00043	0	0	0	0	0	0.026	4	0.6	0.39	0.52	0.49
16	0	0	0	0.0066	0.99	0	0	0	0	0.00045	0	0	0	0	0	0	4	0.6	0.39	0.52	0.49
17	0.0011	0.00034	0	0.012	0.26	0.055	0	1.3e-06	0	9.9e-06	0	0	0	0	1.9e-05	0.67	15	0.53	0.3	0.46	0.38
18	0	0	0	0	0	0	0	0	0	0	0	0	0.62	0	0.38	0	12	0.044	0.087	0.053	0.054
19	0.41	0.00065	0	0.0062	0.57	5.3e-05	0	0.00017	0	5.1e-05	0	0	0	0	0	0.0077	4	0.6	0.39	0.52	0.49
20	0.0028	0.00023	0	0.13	0.85	0	0	3.1e-06	0	0.012	0	0	0	0	0	0	4	0.6	0.39	0.52	0.49
21	4.4e-05	1e-05	0	0.1	0.87	0	0	1.1e-05	0	0.024	0	0	0	0	0	0	4	0.6	0.39	0.52	0.49
22	1.2e-06	1.1e-06	0	0.27	0.54	0	0	0	0	0.19	0	0	0	0	0	0	4	0.6	0.39	0.52	0.49
23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	14	0.4	0.22	0.27	0.27
24	0.00023	9.3e-06	0	0.028	0.97	0	0	0	0	0	0	0	0	0	0	2.2e-06	4	0.6	0.39	0.52	0.49
25	0.00035	0.00016	0	0.082	0.91	0.00077	0	1.8e-05	0	0.01	0	0	0	0	0	0.00024	4	0.6	0.39	0.52	0.49
26	1.1e-05	0.00025	0	0.024	0.97	0	0	0.00015	0	0	0	0	0	0	0	0.0019	4	0.6	0.39	0.52	0.49
27	0.0033	0	0	0.019	0.98	0	0	0	0	0.0013	0	0	0	0	0	0	4	0.6	0.39	0.52	0.49
28	0.00095	3.7e-06	0	0.047	0.93	0	0	7.6e-05	0	0.022	0	0	0	0	0	0	4	0.6	0.39	0.52	0.49
29	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0.18	0.17	0.43	0.054
30	4e-06	1.8e-05	0	0.013	0.4	0.004	0	0	0	0	0	0	0	0	0	0.58	15	0.53	0.3	0.46	0.38
31	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	0	0.13	0	0
32	0.019	0.00037	0	0.013	0.97	0	0	0.00053	0	1.3e-05	0	0	0	0	0	9.8e-05	4	0.6	0.39	0.52	0.49
33	0.15	0.01	0	0.066	0.78	0	0	3.2e-05	0	0.00025	0	0	0	0	0	0	4	0.6	0.39	0.52	0.49
34	6e-05	0.014	0	0.043	0.94	0	0	0.00027	0	0	0	0	0	0	0	0.00017	4	0.6	0.39	0.52	0.49
35	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	0	0.13	0	0
36	0	0	0	1.1e-05	0.00098	0.00048	0	0	0	0	0	0	0	0	4.5e-05	1	15	0.53	0.3	0.46	0.38
37	0.016	2.8e-05	0	0.025	0.95	0.0024	0	1.8e-05	0	0.0034	0	0	0	0	0	0.0004	4	0.6	0.39	0.52	0.49
38	0.051	0.0022	0	0.043	0.8	4.6e-06	0	0.001	0	0.1	0	0	0	0	0	2e-05	4	0.6	0.39	0.52	0.49
39	0.00011	6.2e-06	0	0.027	0.97	0.00038	0	3.7e-05	0	0.00096	0	0	0	0	0	0.00025	4	0.6	0.39	0.52	0.49
40	0.012	0.0038	0	0.033	0.95	0	0	0.0037	0	0.0013	0	0	0	0	0	1.6e-05	4	0.6	0.39	0.52	0.49
41	0.00077	0.00093	0	0.2	0.8	0	0	0	0	3.2e-05	0	0	0	0	0	0	4	0.6	0.39	0.52	0.49
42	0.014	6.9e-06	0	0.03	0.96	0	0	4.9e-06	0	4.3e-05	0	0	0	0	0	0	4	0.6	0.39	0.52	0.49
43	0.00033	0.0034	0	0.066	0.93	0	0	4.4e-06	0	0	0	0	0	0	0	6.9e-05	4	0.6	0.39	0.52	0.49
44	0.038	0.052	0	0.045	0.84	1.5e-05	0	0.00035	0	0.00018	0	0	0	0	0	0.028	4	0.6	0.39	0.52	0.49
45	0.00013	0	0	0.0061	0.99	2.7e-05	0	2.3e-06	0	0	0	0	0	0	0	0.0035	4	0.6	0.39	0.52	0.49
46	0.05	0.015	0	0.094	0.8	7.7e-06	0	0.00016	0	0.046	0	0	0	0	0	4.1e-05	4	0.6	0.39	0.52	0.49
47	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	0	0.13	0	0
48	0.077	0.1	0	0.042	0.77	0	0	0.00025	0	2.4e-05	0	0	0	0	0	0.00089	4	0.6	0.39	0.52	0.49
49	0.061	0.041	0	0.078	0.81	2e-05	0	0.00033	0	0.011	0	0	0	0	0	0.00098	4	0.6	0.39	0.52	0.49
50	0.0004	0.00025	0	0.094	0.89	0.0035	0	1.1e-05	0	0.014	0	0	0	0	0	0.00086	4	0.6	0.39	0.52	0.49
51	0.0016	0.00017	0	0.042	0.95	0	0	0.00019	0	0.0034	0	0	0	0	0	4.6e-06	4	0.6	0.39	0.52	0.49
52	0.027	0.007	0	0.024	0.91	3.4e-05	0	0.00077	0	0.00013	0	0	0	0	0	0.035	4	0.6	0.39	0.52	0.49
53	0	0	0	0.025	0.77	9.7e-05	0	0	0	0.21	0	0	0	0	0	0	4	0.6	0.39	0.52	0.49
54	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0.18	0.17	0.43	0.054
55	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.001	0	12	0.044	0.087	0.053	0.054
56	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0.18	0.17	0.43	0.054
57	0.065	1.8e-05	0	0.0071	0.93	0	0	5e-05	0	1.1e-05	0	0	0	0	0	9e-06	4	0.6	0.39	0.52	0.49
58	0.00012	0.0019	0	0.035	0.95	2.2e-06	0	0.0018	0	9.6e-05	0	0	0	0	0	0.0092	4	0.6	0.39	0.52	0.49
59	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	12	0.044	0.087	0.053	0.054
60	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	12	0.044	0.087	0.053	0.054
61	0.25	0.081	0	0.015	0.65	0	0	0.003	0	1.4e-05	0	0	0	0	0	0.00085	4	0.6	0.39	0.52	0.49
62	1.1e-05	1.9e-05	0	0.15	0.85	0.00014	0	0	0	0	0	0	0	0	0	6.3e-05	4	0.6	0.39	0.52	0.49
63	0.064	0.0077	0	0.02	0.87	5.5e-06	0	4.1e-05	0	1.4e-06	0	0	0	0	0	0.04	4	0.6	0.39	0.52	0.49
64	2.9e-05	4.9e-05	0	0.071	0.93	0	0	1.2e-06	0	1.1e-05	0	0	0	0	0	1.3e-05	4	0.6	0.39	0.52	0.49
65	0.0032	0.0024	0	0.0087	0.38	5.2e-05	0	2.2e-05	0	0	0	0	0	0	0	0.61	15	0.53	0.3	0.46	0.38
66	0.025	0.14	0	0.088	0.73	4.4e-05	0	0.00017	0	0.0015	0	0	0	0	0	0.015	4	0.6	0.39	0.52	0.49
67	0.001	0.022	0	0.078	0.75	0.00039	0	3.4e-05	0	8.3e-05	0	0	0	0	0	0.15	4	0.6	0.39	0.52	0.49
68	0.0094	0.38	0	0.05	0.55	0	0	0.0058	0	4.9e-05	0	0	0	0	0	0	4	0.6	0.39	0.52	0.49
69	0.01	5.4e-05	0	0.026	0.96	0.0044	0	2.4e-05	0	0.0026	0	0	0	0	0	0.0013	4	0.6	0.39	0.52	0.49
70	0.0064	0.00041	0	0.041	0.79	0.12	0	2.9e-05	0	0.011	0	0	0	0	0	0.037	4	0.6	0.39	0.52	0.49
71	0	0	0	0.064	0.74	0	0	0	0	0.2	0	0	0	0	0	0	4	0.6	0.39	0.52	0.49
72	0.0048	0.087	0	0.084	0.81	1e-05	0	0.00027	0	0.00046	0	0	0	0	0	0.013	4	0.6	0.39	0.52	0.49
73	0.00042	0.0001	0	0.057	0.94	4.1e-05	0	1.7e-05	0	0.0011	0	0	0	0	0	8e-05	4	0.6	0.39	0.52	0.49
74	0	0	0	0.075	0.92	0	0	0	0	0.00033	0	0	0	0	0	0.0007	4	0.6	0.39	0.52	0.49
