SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0	dcf1	dcf2	dcf3
0	0	8e-05	0	0	0	0	0	0	0.98	0	0	0	0	0	0	0	0.0013	0.017	0	0	8	0.6	0.39	0.52	0.49
1	0	0.015	0	0	5e-05	0	0	0	0.95	0	0	0	0	2e-05	0	0	0.00044	0.034	0	0	8	0.6	0.39	0.52	0.49
2	0	0	0	0	0	0	0.00033	0	0.83	0	0	0	0	1.9e-05	0	0	0	0.17	0	0	8	0.6	0.39	0.52	0.49
3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0.6	0.39	0.52	0.49
4	0	0	0	0	0	0	0	0	1	0	0	0	0	2.1e-05	0	0	0	0	0	0	8	0.6	0.39	0.52	0.49
5	0	0	0	0	0	0	0.7	0	0.17	0	0	0	0	0	0	0	0	0.13	0	0	6	0.47	0.26	0.46	0.38
6	0	0	0	0	0	0	0	0	0.99	0	0	0	0	0	0	0	0	0.015	0	0	8	0.6	0.39	0.52	0.49
7	0	0	0	0	0	0	0	0	0.99	0	0	0	0	6.2e-06	0	0	0	0.013	0	0	8	0.6	0.39	0.52	0.49
8	0	0	0	0	0	0	1.2e-05	0	0.98	0	0	0	0	0.00046	0	0	0	0.024	0	0	8	0.6	0.39	0.52	0.49
9	0	0	0	0	0	0	0	0.00093	0	0	0	1	0	0	0	0	0	0	0	0	11	0.18	0.17	0.43	0.054
10	0	0	0	0	0	0	1.7e-05	0	0.26	0	0	0	0	0	0	0	0	0.74	0	0	17	0.6	0.35	0.46	0.44
11	0	0	0	0	0	0	0	0	0	0	0	9e-05	0	0	0	1	0	0	0	0	15	0.4	0.22	0.27	0.27
12	0	6.4e-05	0	0	1.3e-06	0	0	0	0.72	0	0	0	0	0.066	0	0	0.00011	0.0002	0	0.22	8	0.6	0.39	0.52	0.49
13	0	0	0	0	0	0	0.041	0	0.55	0	0	0	0	0	0	0	0	0.41	0	0	8	0.6	0.39	0.52	0.49
14	0	0	0	0	0	0	0	0	0.98	0	0	0	0	0	0	0	0	0.021	0	0	8	0.6	0.39	0.52	0.49
15	0	0	0	0	0	0	0.0015	0	0.91	0	0	0	0	0.00017	0	0	0	0.091	0	0	8	0.6	0.39	0.52	0.49
16	0	0	0	0	0	0	0	0	1	0	0	0	0	7.1e-06	0	0	0	0.00047	0	0	8	0.6	0.39	0.52	0.49
17	0	0.001	0	0	0.065	0	0.0088	0	0.25	0	0	0	0	0	0	1.8e-05	0.00084	0.67	0	0	17	0.6	0.35	0.46	0.44
18	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	0.044	0.043	0.053	0.054
19	0	0.35	0	0	5.8e-05	0	0.00033	0	0.5	0	0	0	0	2.1e-05	0	0	0.11	0.041	0	1.9e-05	8	0.6	0.39	0.52	0.49
20	0	0.0032	0	0	0	0	0	0	0.99	0	0	0	0	0.0029	0	0	5.4e-05	0.00064	0	0	8	0.6	0.39	0.52	0.49
21	0	4.9e-05	0	0	0	0	0	0	1	0	0	0	0	0.0024	0	0	4.1e-06	0.00025	0	3e-05	8	0.6	0.39	0.52	0.49
22	0	2.1e-06	0	0	0	0	0	0	0.98	0	0	0	0	0.02	0	0	0	2.8e-06	0	1.1e-06	8	0.6	0.39	0.52	0.49
23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	15	0.4	0.22	0.27	0.27
24	0	0.00022	0	0	0	0	0	0	0.98	0	0	0	0	0	0	0	5.3e-05	0.019	0	0	8	0.6	0.39	0.52	0.49
25	0	0.00036	0	0	0.001	0	0	0	0.98	0	0	0	0	0.001	0	0	0.0001	0.02	0	0.00014	8	0.6	0.39	0.52	0.49
26	0	9.5e-06	0	0	0	0	1.1e-06	0	0.87	0	0	0	0	0	0	0	0.0024	0.13	0	4e-06	8	0.6	0.39	0.52	0.49
27	0	0.0033	0	0	0	0	0	0	1	0	0	0	0	4.3e-05	0	0	1.6e-06	4e-05	0	0	8	0.6	0.39	0.52	0.49
28	0	0.00098	0	0	0	0	0	0	0.99	0	0	0	0	0.007	0	0	2.1e-05	4.5e-06	0	2.4e-05	8	0.6	0.39	0.52	0.49
29	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	11	0.18	0.17	0.43	0.054
30	0	1.8e-06	0	0	0.0024	0	0.00033	0	0.19	0	0	0	0	0	0	0	2.2e-05	0.81	0	0	17	0.6	0.35	0.46	0.44
31	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	12	0	0.13	0	0
32	0	0.018	0	0	0	0	0	0	0.93	0	0	0	0	2.7e-06	0	0	0.042	0.011	0	1.3e-05	8	0.6	0.39	0.52	0.49
33	0	0.15	0	0	0	0	0	0	0.83	0	0	0	0	0.00016	0	0	0.018	0.0015	0	0	8	0.6	0.39	0.52	0.49
34	0	5.1e-05	0	0	0	0	0	0	0.83	0	0	0	0	0	0	0	0.039	0.13	0	0	8	0.6	0.39	0.52	0.49
35	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	12	0	0.13	0	0
36	0	0	0	0	0.00082	0	0.98	0	0.0013	0	0	0	0	0	0	6.1e-05	1.4e-05	0.02	0	0	6	0.47	0.26	0.46	0.38
37	0	0.015	0	0	0.003	0	1.5e-06	0	0.97	0	0	0	0	0.0004	0	0	0.00044	0.013	0	2.2e-05	8	0.6	0.39	0.52	0.49
38	0	0.046	0	0	5.3e-06	0	0	0	0.76	0	0	0	0	0.17	0	0	0.011	0.0022	0	0.012	8	0.6	0.39	0.52	0.49
39	0	0.0001	0	0	0.00048	0	0	0	0.99	0	0	0	0	3.9e-05	0	0	6.1e-05	0.011	0	0.00016	8	0.6	0.39	0.52	0.49
40	0	0.011	0	0	0	0	0	0	0.93	0	0	0	0	0.0012	0	0	0.055	0.0037	0	0.0029	8	0.6	0.39	0.52	0.49
41	0	0.0009	0	0	0	0	0	0	0.96	0	0	0	0	0	0	0	3.6e-05	0.036	0	0	8	0.6	0.39	0.52	0.49
42	0	0.013	0	0	0	0	0	0	0.99	0	0	0	0	5.4e-06	0	0	0.0001	1.4e-05	0	0	8	0.6	0.39	0.52	0.49
43	0	0.00029	0	0	0	0	0	0	0.85	0	0	0	0	0	0	0	0.0026	0.14	0	0	8	0.6	0.39	0.52	0.49
44	0	0.028	0	0	1.4e-05	0	0.0011	0	0.64	0	0	0	0	7.6e-05	0	0	0.15	0.18	0	8.5e-05	8	0.6	0.39	0.52	0.49
45	0	0.00011	0	0	2.9e-05	0	0	0	0.86	0	0	0	0	0	0	0	0.00017	0.14	0	0	8	0.6	0.39	0.52	0.49
46	0	0.052	0	0	1e-05	0	0	0	0.86	0	0	0	0	0.064	0	0	0.01	0.0094	0	0.00054	8	0.6	0.39	0.52	0.49
47	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	12	0	0.13	0	0
48	0	0.055	0	0	0	0	3.7e-06	0	0.57	0	0	0	0	1.2e-05	0	0	0.3	0.076	0	4.8e-06	8	0.6	0.39	0.52	0.49
49	0	0.061	0	0	2.6e-05	0	2.4e-05	0	0.84	0	0	0	0	0.014	0	0	0.047	0.036	0	0.0007	8	0.6	0.39	0.52	0.49
50	0	0.00041	0	0	0.0047	0	1.4e-06	0	0.95	0	0	0	0	0.0012	0	0	0.0001	0.04	0	0.00011	8	0.6	0.39	0.52	0.49
51	0	0.0016	0	0	0	0	0	0	0.99	0	0	0	0	0.001	0	0	0.00093	0.0026	0	0.00035	8	0.6	0.39	0.52	0.49
52	0	0.022	0	0	3.5e-05	0	0.0026	0	0.75	0	0	0	0	5.2e-05	0	0	0.11	0.11	0	0.00025	8	0.6	0.39	0.52	0.49
53	0	0	0	0	0.00016	0	0	0	1	0	0	0	0	0.0018	0	0	0	8.5e-06	0	3.4e-05	8	0.6	0.39	0.52	0.49
54	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	11	0.18	0.17	0.43	0.054
55	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	0.044	0.043	0.053	0.054
56	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	11	0.18	0.17	0.43	0.054
57	0	0.062	0	0	0	0	0	0	0.93	0	0	0	0	1.2e-06	0	0	0.0068	0.0047	0	0	8	0.6	0.39	0.52	0.49
58	0	0.00011	0	0	2.6e-06	0	0.00022	0	0.91	0	0	0	0	1.5e-05	0	0	0.013	0.075	0	0.004	8	0.6	0.39	0.52	0.49
59	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	0.044	0.043	0.053	0.054
60	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	0.044	0.043	0.053	0.054
61	0	0.052	0	0	0	0	1.1e-05	0	0.14	0	0	0	0	4.2e-06	0	0	0.8	0.0093	0	2.2e-05	16	0.56	0.33	0.44	0.56
62	0	6.5e-06	0	0	0.0001	0	0	0	0.52	1.2e-06	0	0	0	0	0	0	0	0.48	0	0	8	0.6	0.39	0.52	0.49
63	0	0.037	0	0	4.1e-06	0	0.00029	0	0.52	0	0	0	0	0	0	0	0.099	0.34	0	0	8	0.6	0.39	0.52	0.49
64	0	2.9e-05	0	0	0	0	0	0	0.97	0	0	0	0	0	0	0	2.8e-05	0.031	0	0	8	0.6	0.39	0.52	0.49
65	0	0.0021	0	0	4.3e-05	0	0.019	0	0.26	0	0	0	0	0	0	0	0.029	0.69	0	0	17	0.6	0.35	0.46	0.44
66	0	0.023	0	0	5.2e-05	0	0.0005	0	0.71	0	0	0	0	0.001	0	0	0.07	0.19	0	0.00016	8	0.6	0.39	0.52	0.49
67	0	0.00062	0	0	0.0003	0	0.001	0	0.47	0	0	0	0	6.5e-06	0	0	0.0059	0.52	0	9.6e-06	17	0.6	0.35	0.46	0.44
68	0	0.0073	0	0	0	0	0	0	0.44	0	0	0	0	0.00013	0	0	0.55	0.0016	0	8.5e-05	16	0.56	0.33	0.44	0.56
69	0	0.0097	0	0	0.0055	0	4.3e-06	0	0.96	0	0	0	0	0.00034	0	0	0.00068	0.026	0	5.6e-05	8	0.6	0.39	0.52	0.49
70	0	0.0059	0	0	0.14	0	0.00086	0	0.76	0	0	0	0	0.0018	0	0	0.001	0.094	0	0.00032	8	0.6	0.39	0.52	0.49
71	0	0	0	0	0	0	0	0	0.87	0	0	0	0	0.13	0	0	0	9.5e-05	0	0	8	0.6	0.39	0.52	0.49
72	0	0.0042	0	0	1.2e-05	0	0.00019	0	0.74	0	0	0	0	0.00019	0	0	0.051	0.21	0	0.00026	8	0.6	0.39	0.52	0.49
73	0	0.00042	0	0	5.3e-05	0	0	0	0.98	0	0	0	0	8e-05	0	0	0.00017	0.017	0	1.9e-05	8	0.6	0.39	0.52	0.49
74	0	0	0	0	0	0	1.3e-06	0	0.93	0	0	0	0	9.3e-05	0	0	0	0.067	0	0	8	0.6	0.39	0.52	0.49
75	0	0.065	0	0	0.0006	0	0.001	0	0.7	0	0	0	0	0.0016	0	1.7e-05	0.047	0.19	0	9.9e-05	8	0.6	0.39	0.52	0.49
76	0	0	0	0	0	0	0.43	0	0.31	0	0	0	0	0	0	0.00038	0	0.26	0	0	6	0.47	0.26	0.46	0.38
77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	18	0.27	0	0.053	0.22
78	0	0.0022	0	0	0	0	0	0	0.98	0	0	0	0	7e-05	0	0	0.0014	0.015	0	1.6e-06	8	0.6	0.39	0.52	0.49
79	0	0	0	0	0	0	0	0	1	0	0	0	0	0.00037	0	0	0	0.00054	0	0	8	0.6	0.39	0.52	0.49
80	0	0	0	0	0	0	0	0	1	0	0	0	0	0.00084	0	0	0	0.00045	0	0	8	0.6	0.39	0.52	0.49
81	0	0.0086	0	0	0	0	0	0	0.64	0	0	0	0	0	0	0	0.065	0.29	0	0	8	0.6	0.39	0.52	0.49
82	0	0	0	0	0	0	0	0	0.98	0	0	0	0	0.015	0	0	0	0.00063	0	0	8	0.6	0.39	0.52	0.49
83	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0013	0	10	0.31	0	0	0.22
84	0	0	0	0	0	0	0	0	0.88	0	0	0	0	0.12	0	0	0	0.00015	0	0	8	0.6	0.39	0.52	0.49
85	0	0.0024	0	0	7.8e-05	0	0.00058	0	0.7	0	0	0	0	2e-05	0	0	0.014	0.28	0	3.8e-05	8	0.6	0.39	0.52	0.49
86	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	11	0.18	0.17	0.43	0.054
87	0	0.005	0	0	3.8e-05	0	0.013	0	0.68	0	0	0	0	9.5e-05	0	0	0.096	0.2	0	0.0012	8	0.6	0.39	0.52	0.49
88	0	0.0087	0	0	0.00043	0	0.00019	0	0.69	0	0	0	0	0.22	0	0	0.01	0.014	0	0.062	8	0.6	0.39	0.52	0.49
89	0	0	0	0	0.96	0	2.5e-06	0	0.021	0	0	0	0	0	0	0	0	0.018	0	0	4	0.56	0.44	0.56	0.34
90	0	0	0	0	0.99	0	0.00087	0	0.00011	0	0	0	0	0	0	0	0	0.005	0	0	4	0.56	0.44	0.56	0.34
91	0	0	0	0	0	0	1.1e-05	0	0.97	0	0	0	0	0	0	0	0	0.032	0	0	8	0.6	0.39	0.52	0.49
92	0	0	0	0	0	0	0.12	0	0.31	0	0	0	0	0	0	2e-05	0	0.57	0	0	17	0.6	0.35	0.46	0.44
93	0	0	0	0	0	0	0.00037	0	0.95	0	0	0	0	0.0016	0	0	0	0.047	0	0	8	0.6	0.39	0.52	0.49
94	0	0	0	0	0	0	0	0	0.93	0	0	0	0	0	0	0	0	0.07	0	0	8	0.6	0.39	0.52	0.49
95	0	0	0	0	0	0	0	0	1	0	0	0	0	8.9e-05	0	0	0	0.0019	0	0	8	0.6	0.39	0.52	0.49
96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	18	0.27	0	0.053	0.22
97	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6.1e-06	0	0	8	0.6	0.39	0.52	0.49
98	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	0.044	0.043	0.053	0.054
