SNV	cluster0	cluster1	cluster	dcf0	dcf1
0	0	1	1	0.041	0.13
1	1	0	0	0.37	0.34
2	1	0	0	0.37	0.34
3	0	1	1	0.041	0.13
4	1	0	0	0.37	0.34
5	1	0	0	0.37	0.34
6	1	0	0	0.37	0.34
7	1	0	0	0.37	0.34
8	0	1	1	0.041	0.13
9	1	0	0	0.37	0.34
10	1	0	0	0.37	0.34
11	1	0	0	0.37	0.34
12	1	0	0	0.37	0.34
13	1	0	0	0.37	0.34
14	1	0	0	0.37	0.34
15	0	1	1	0.041	0.13
16	1	0	0	0.37	0.34
17	1	0	0	0.37	0.34
18	1	0	0	0.37	0.34
19	1	0	0	0.37	0.34
20	1	0	0	0.37	0.34
21	0	1	1	0.041	0.13
22	1	0	0	0.37	0.34
23	1	0	0	0.37	0.34
24	1	0	0	0.37	0.34
25	1	0	0	0.37	0.34
26	0	1	1	0.041	0.13
27	1	0	0	0.37	0.34
28	0	1	1	0.041	0.13
29	0	1	1	0.041	0.13
30	0	1	1	0.041	0.13
31	0	1	1	0.041	0.13
32	0	1	1	0.041	0.13
33	0	1	1	0.041	0.13
34	1	0	0	0.37	0.34
35	1	0	0	0.37	0.34
36	1	0	0	0.37	0.34
37	0.1	0.9	1	0.041	0.13
38	0	1	1	0.041	0.13
39	1	0	0	0.37	0.34
40	1	0	0	0.37	0.34
41	1	0	0	0.37	0.34
42	1	0	0	0.37	0.34
43	1	0	0	0.37	0.34
44	0	1	1	0.041	0.13
45	1	0	0	0.37	0.34
46	0	1	1	0.041	0.13
47	1	0	0	0.37	0.34
48	1	0	0	0.37	0.34
49	0	1	1	0.041	0.13
50	0	1	1	0.041	0.13
51	1	0	0	0.37	0.34
52	1	0	0	0.37	0.34
53	1	0	0	0.37	0.34
54	1	0	0	0.37	0.34
55	0	1	1	0.041	0.13
56	1	0	0	0.37	0.34
57	1	0	0	0.37	0.34
58	1	0	0	0.37	0.34
59	1	0	0	0.37	0.34
60	1	0	0	0.37	0.34
61	0	1	1	0.041	0.13
62	0	1	1	0.041	0.13
63	1	0	0	0.37	0.34
64	1	0	0	0.37	0.34
65	1	0	0	0.37	0.34
66	1	0	0	0.37	0.34
67	0	1	1	0.041	0.13
68	1	0	0	0.37	0.34
69	1	0	0	0.37	0.34
70	1	0	0	0.37	0.34
71	1	0	0	0.37	0.34
72	0	1	1	0.041	0.13
73	1	0	0	0.37	0.34
74	1	0.0029	0	0.37	0.34
75	1	0	0	0.37	0.34
76	0.98	0.016	0	0.37	0.34
77	1	0	0	0.37	0.34
78	0	1	1	0.041	0.13
79	0	1	1	0.041	0.13
80	1	0	0	0.37	0.34
81	1	0	0	0.37	0.34
82	1	0	0	0.37	0.34
83	0	1	1	0.041	0.13
84	0	1	1	0.041	0.13
85	1	0	0	0.37	0.34
86	1	0	0	0.37	0.34
87	1	0	0	0.37	0.34
88	1	0	0	0.37	0.34
89	1	0	0	0.37	0.34
90	1	0	0	0.37	0.34
91	1	0	0	0.37	0.34
92	1	0	0	0.37	0.34
93	1	0	0	0.37	0.34
94	1	0	0	0.37	0.34
95	0	1	1	0.041	0.13
96	0	1	1	0.041	0.13
97	1	0	0	0.37	0.34
98	1	0	0	0.37	0.34
99	0	1	1	0.041	0.13
100	1	0	0	0.37	0.34
101	1	0	0	0.37	0.34
102	1	0	0	0.37	0.34
103	0	1	1	0.041	0.13
