k	loglikelihood	observations	parameters	BIC
1	-4310.39	1214	4	8649.18
2	-1968.19	1214	6	3978.99
3	-1590.53	1214	8	3237.87
4	-1293	1214	10	2657.02
5	-1217.08	1214	12	2519.38
6	-1186.76	1214	14	2472.95
7	-1113.01	1214	16	2339.65
8	-1021.77	1214	18	2171.36
9	-979.859	1214	20	2101.75
10	-979.712	1214	22	2115.66
11	-979.315	1214	24	2129.07
12	-973.117	1214	26	2130.88
13	-972.877	1214	28	2144.6
14	-989.586	1214	30	2192.22
15	-969.893	1214	32	2167.04
16	-968.01	1214	34	2177.48
17	-959.327	1214	36	2174.31
18	-960.209	1214	38	2190.28
19	-955.515	1214	40	2195.1
20	-955.516	1214	42	2209.3
