SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0	dcf1	dcf2
0	0.22	0.032	0.7	4.1e-05	0.0053	0	0.025	0	0	0.00052	0	0	0	0	0.013	0	0	0.0094	0	0	2	0.18	0.44	0.43
1	0.028	0.81	0.053	0.11	0.0014	0	0	0	0	0.0012	0	0	0	0	0.0002	0	0	0.0018	0	0	1	0.14	0.4	0.37
2	0	0.00038	0	0.19	0	0	0	0	0	0.11	0.00058	0	0	0	0	0	0	0	0.7	0	18	0.25	0.87	0.79
3	0.33	2.5e-05	0.62	0	3.6e-05	0	0.00058	0	0	0	0	0	0	0	0.036	0	0	0.019	0	0	2	0.18	0.44	0.43
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	16	0.18	0.044	0.082
5	0.0043	0.016	0.019	0	0.96	0	0	0	0	0	0	0	0	0	0	0	0	0.00011	0	0	4	0.25	0.42	0.35
6	0.21	0.12	0.53	0.0096	0.00092	0	0.016	0	0	0.084	0	0	0	0	0.02	0	0	0.012	0	0	2	0.18	0.44	0.43
7	0	0	0	0	0	0	0.53	0.46	0.016	0	0	0	0	0	0	0	0	0	0	0	6	0.18	0.4	0.54
8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	13	0	0.18	0
9	0	0	0	0	0	0	0	0	0	0	0	0.98	0	0	0	0	0.017	0	0	0	11	0.06	0.044	0.041
10	0.14	0.41	0.37	0.017	0.0035	0	0.0036	0	0	0.04	5.8e-05	0	0	0	0.0093	0.00017	0	0.0077	0.0043	0	1	0.14	0.4	0.37
11	0.078	0.65	0.2	0.026	0.018	0	0.00011	0	0	0.0085	0.00069	0	0	0	0.0026	0.0062	0	0.0044	0.00078	0	1	0.14	0.4	0.37
12	0	0	0	0	0	0	0	0	0	0	0	0.99	0	0	0	0	0.006	0	0	0	11	0.06	0.044	0.041
13	0.019	0.48	0.082	0.03	1.4e-06	0	0.00017	0	0	0.36	0	0	0	0	0.00029	0	0	0.00056	0.024	0	1	0.14	0.4	0.37
14	0.3	0	0.33	0	0	0	0.017	0	0	0	0	0	0	0	0.32	0	0	0.034	0	0	2	0.18	0.44	0.43
15	0.17	0	0.82	0	0	0	0.00042	0	0	0	0	0	0	0	0.0014	0	0	0.005	0	0	2	0.18	0.44	0.43
16	0.19	0	0.73	0	0	0	0.058	0	0	0	0	0	0	0	0.0097	0	0	0.0061	0	0	2	0.18	0.44	0.43
17	0.31	0	0.64	0	0	0	0.0021	0	0	0	0	0	0	0	0.031	0	0	0.021	0	0	2	0.18	0.44	0.43
18	0.24	0.0039	0.73	0	3.9e-06	0	0.0021	0	0	3e-05	0	0	0	0	0.012	0	0	0.0093	0	0	2	0.18	0.44	0.43
19	0.053	0	0.95	0	0	0	8.8e-06	0	0	0	0	0	0	0	0.00032	0	0	0.00038	0	0	2	0.18	0.44	0.43
20	0.38	0.0016	0.59	0	2.8e-06	0	1.1e-06	0	0	6.6e-06	0	0	0	0	0.013	0	0	0.023	0	0	2	0.18	0.44	0.43
21	0.22	0.041	0.73	1.2e-05	1.5e-05	0	4e-05	0	0	0.0003	0	0	0	0	0.0027	0	0	0.0072	0	0	2	0.18	0.44	0.43
22	0.11	0.5	0.35	0.013	0.0018	0	0.00016	0	0	0.013	0	0	0	0	0.0023	5e-06	0	0.0048	0	0	1	0.14	0.4	0.37
23	0.29	0.008	0.68	0	0.0016	0	0	0	0	0	0	0	0	0	0.003	0	0	0.013	0	0	2	0.18	0.44	0.43
24	6.6e-05	0.19	0.00054	0.033	1.8e-06	0	0	0	0	0.0057	0.75	0	0	0	0	0.015	0	1.1e-06	0	0	10	0.08	0.27	0.25
25	0.27	0.076	0.6	0.00076	0.017	0	0.00083	0	0	0.0014	0	0	0	0	0.018	1.7e-06	0	0.017	0	0	2	0.18	0.44	0.43
26	0.29	0.029	0.59	0.0003	0.03	0	0.0049	0	0	0.00099	0	0	0	0	0.035	2.2e-06	0	0.02	0	0	2	0.18	0.44	0.43
27	0.19	0.053	0.55	0.0013	0.00087	0	0.14	0	0	0.033	0	0	0	0	0.025	1.3e-06	0	0.0098	0	0	2	0.18	0.44	0.43
28	0.027	0.77	0.11	0.023	0.0074	0	7.4e-05	0	0	0.0065	0.0061	0	0	0	0.00029	0.045	0	0.00092	0	0	1	0.14	0.4	0.37
29	0.2	0.058	0.57	0.0011	0.00079	0	0.12	0	0	0.025	0	0	0	0	0.025	1.5e-06	0	0.01	0	0	2	0.18	0.44	0.43
30	0.27	0.028	0.66	9.9e-06	0.012	0	0.00034	0	0	2.3e-05	0	0	0	0	0.011	0	0	0.015	0	0	2	0.18	0.44	0.43
31	0.15	0.16	0.55	1.2e-05	0.13	0	1.4e-05	0	0	3.3e-06	0	0	0	0	0.0011	1.4e-05	0	0.0054	0	0	2	0.18	0.44	0.43
32	0.036	0.7	0.26	0.00064	0.00094	0	0.00034	0	0	0.0015	0	0	0	0	0.00014	1.1e-05	0	0.00067	0	0	1	0.14	0.4	0.37
33	0.15	0.00013	0.55	0.00033	0.0013	0.12	0.0014	0	0	0.00022	0.00013	0	0.14	0	0.0033	0.036	0	0.0061	0	0	2	0.18	0.44	0.43
34	0.00014	0.0012	0.00026	0.044	0.021	0	0	0	0	0.93	0	0	0	0	5.2e-06	0	0	8.1e-06	0	0	9	0.091	0.44	0.43
35	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	11	0.06	0.044	0.041
36	0.04	0.062	0.085	0.1	0.1	0	0.00089	0	0	0.6	1.3e-06	0	0	0	0.0045	0	0	0.0026	0	0	9	0.091	0.44	0.43
37	0.26	0.025	0.63	8.2e-06	0.07	0	5.6e-05	0	0	1.1e-05	0	0	0	0	0.0069	0	0	0.014	0	0	2	0.18	0.44	0.43
38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	19	0	0.13	0.12
39	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	11	0.06	0.044	0.041
40	0.041	0.72	0.24	3.4e-05	0	0	0	0	0	6.8e-05	0	0	0	0	1.7e-05	0	0	0.00064	0	0	1	0.14	0.4	0.37
41	0.026	0.62	0.3	0.0004	0	0	0.0033	0	0	0.05	0	0	0	0	5.7e-05	0	0	0.00026	0	0	1	0.14	0.4	0.37
42	0.025	0.81	0.14	0.0064	0.0014	0	0.00025	0	0	0.006	0.00013	0	0	0	0.00018	0.0018	0	0.00063	0	0	1	0.14	0.4	0.37
43	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	11	0.06	0.044	0.041
44	0.083	0.083	0.75	0	0.076	0	0.0047	0	0	1e-06	0	0	0	0	0.00026	1.5e-05	0	0.0012	0	0	2	0.18	0.44	0.43
45	0.12	0.0011	0.8	0	0.079	0	5.1e-05	0	0	0	0	0	0	0	0.00024	0	0	0.0018	0	0	2	0.18	0.44	0.43
46	0.05	0.45	0.46	3.4e-06	0.037	0	7.3e-05	0	0	3e-06	0	0	0	0	6e-05	3.9e-05	0	0.00068	0	0	2	0.18	0.44	0.43
47	0.02	0.00019	0.93	0	0.049	0	2e-06	0	0	0	0	0	0	0	0	0	0	3.4e-05	0	0	2	0.18	0.44	0.43
48	0	0	0	0	0	0	0	0.97	0.033	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0.12
49	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	8.8e-06	0	0	0	11	0.06	0.044	0.041
50	0.014	0.061	0.089	2.7e-06	0.49	0	5.7e-05	0	0	0	1e-06	0	0	0	5.8e-05	0.35	0	0.00032	0	0	4	0.25	0.42	0.35
51	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	11	0.06	0.044	0.041
52	0.11	0.14	0.74	1.2e-05	7.3e-05	0	0.0048	0	0	0.00039	0	0	0	0	0.00085	0	0	0.0021	0	0	2	0.18	0.44	0.43
53	0.36	0.0064	0.57	4.5e-06	0.0014	0	9.5e-05	0	0	2.4e-05	0	0	0	0	0.031	0	0	0.028	0	0	2	0.18	0.44	0.43
54	0.057	0.43	0.39	0.0026	0.00077	0	0.081	0	0	0.038	4.8e-05	0	0	0	0.0009	0.00018	0	0.0012	0	0	1	0.14	0.4	0.37
55	0.22	0.00026	0.54	0	0.00014	0	0.18	0	0	3.1e-06	0	0	0	0	0.05	0	0	0.012	0	0	2	0.18	0.44	0.43
56	0.33	0.00047	0.5	0	0.06	0	0.0035	0	0	0	0	0	0	0	0.079	0	0	0.029	0	0	2	0.18	0.44	0.43
57	0.094	0.44	0.45	0.00065	0.0022	0	0.00041	0	0	0.0014	0	0	0	0	0.00083	2.1e-06	0	0.0026	0	0	2	0.18	0.44	0.43
58	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	11	0.06	0.044	0.041
59	0.26	0.041	0.64	0.00015	0.018	0	0.0038	0	0	0.00057	0	0	0	0	0.019	1.2e-06	0	0.015	0	0	2	0.18	0.44	0.43
60	0.066	0.66	0.27	0.0017	0.0019	0	4.1e-06	0	0	0.00059	0	0	0	0	0.00029	0	0	0.0019	0	0	1	0.14	0.4	0.37
61	0.095	0.44	0.27	0.074	0.0011	0	0.00057	0	0	0.11	2.1e-05	0	0	0	0.0035	1.4e-05	0	0.0046	0	0	1	0.14	0.4	0.37
62	0.3	0.019	0.62	6.4e-05	0.014	0	0.0035	0	0	0.00027	0	0	0	0	0.031	0	0	0.02	0	0	2	0.18	0.44	0.43
63	0.29	0.095	0.51	0.011	0.0016	0	0.00077	0	0	0.036	0	0	0	0	0.037	0	0	0.024	0	0	2	0.18	0.44	0.43
64	0.15	0.3	0.51	0.0034	0.0052	0	0.0015	0	0	0.0074	0	0	0	0	0.0048	3.6e-05	0	0.0066	0	0	2	0.18	0.44	0.43
65	0.085	0.65	0.21	0.037	0.004	0	4.7e-06	0	0	0.0071	1.8e-06	0	0	0	0.0016	3.1e-05	0	0.0048	0	0	1	0.14	0.4	0.37
66	0.18	0.38	0.36	0.034	0.0013	0	3.4e-05	0	0	0.022	0	0	0	0	0.0081	0	0	0.012	0	0	1	0.14	0.4	0.37
67	0.024	0	0.97	0	0	0	0	0	0	0.00049	0	0	0	0	0	0	0.0072	3e-05	0	0	2	0.18	0.44	0.43
68	0.00034	0.96	0.0049	0.0041	0	0	0	0	0	0.032	0	0	0	0	0	0	0	2.6e-06	0	0	1	0.14	0.4	0.37
69	0.21	0	0.71	0	0	0	0	0	0	1.1e-05	0	0	0	0	5.4e-05	0	0.079	0.00072	0	0	2	0.18	0.44	0.43
70	0.068	0	0.15	0	0	0	0	0	0	0.62	0	0.14	0	0	0.0066	0	0.012	0.0026	0	0	9	0.091	0.44	0.43
71	0.35	0.022	0.52	8.8e-05	0.023	0	8.8e-05	0	0	0.00017	0	0	0	0	0.036	0	0	0.032	0.026	0	2	0.18	0.44	0.43
72	0.44	0	0.44	0	0	0	0	0	0	0.11	0	0.00081	0	0	0.00013	0	0.0011	0.011	0	0	2	0.18	0.44	0.43
73	0.33	0	0.44	0	0	0	0.0051	0	0	0	0	0	0	0	0.21	0	0	0.024	6.8e-05	0	2	0.18	0.44	0.43
74	0.26	0.015	0.67	1e-05	0.00027	0	0.011	0	0	0.00063	0	0	0	0	0.027	0	0	0.015	0	0	2	0.18	0.44	0.43
75	0.12	0.53	0.35	0.00025	0.00024	0	0	0	0	4.9e-05	0	0	0	0	0.0003	0	0	0.0042	0	0	1	0.14	0.4	0.37
76	0.13	0.17	0.65	0.00014	0.021	0	0.025	0	0	0.00065	0	0	0	0	0.0027	0.00059	0	0.0038	0	0	2	0.18	0.44	0.43
77	0.1	0.47	0.43	8.5e-05	0.00017	0	0	0	0	6.5e-05	0	0	0	0	0.00022	0	0	0.0026	0	0	1	0.14	0.4	0.37
78	0.41	0.00084	0.51	0	0.0022	0	1.2e-05	0	0	0	0	0	0	0	0.041	0	0	0.038	0	0	2	0.18	0.44	0.43
79	0.26	0.0016	0.7	0	2.2e-05	0	0.0097	0	0	2.3e-05	0	0	0	0	0.022	0	0	0.012	0	0	2	0.18	0.44	0.43
80	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5.4e-06	0	0	0	11	0.06	0.044	0.041
81	0	0	0	0	0	0	0	0.97	0.033	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0.12
