SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster	dcf0	dcf1	dcf2
0	0.8	0	5.6e-05	0.0079	0	0.0017	0.19	0	0	0	0	0.18	0.47	0.4
1	0.94	0	0.0095	0.05	0	0.0025	1.7e-06	0	0	0	0	0.18	0.47	0.4
2	0	9.1e-05	0	0	0	1	0	0	0	0	5	0.091	0.44	0.43
3	0.85	0	0	0	0	0	0.15	0	0	0	0	0.18	0.47	0.4
4	0	0	0	0	0	0	0	0	1	0	8	0.06	0.044	0.082
5	0.31	0	0.15	0.53	0	0	0	0	0	0	3	0.18	0.36	0.33
6	0.66	1.1e-06	2.7e-05	0.0045	0	0.21	0.12	0	0	0	0	0.18	0.47	0.4
7	0	0	0	0	0	0	2.7e-05	0	0	1	9	0	0	0.12
8	1	0	0	0	0	0	0	0	0	0	0	0.18	0.47	0.4
9	0	0	0	0	0	0	0	0	1	0	8	0.06	0.044	0.082
10	0.78	0.00028	0.00059	0.064	0	0.12	0.036	0	0	0	0	0.18	0.47	0.4
11	0.69	0.0037	0.015	0.27	0	0.019	0.0018	0	0	0	0	0.18	0.47	0.4
12	0	0	0	0	0	0	0	0	1	0	8	0.06	0.044	0.082
13	0.072	0	0	0.00096	0	0.93	0.0024	0	0	0	5	0.091	0.44	0.43
14	0.2	0	0	0	0	0	0.8	0	0	0	6	0.18	0.44	0.51
15	1	0	0	0	0	0	0.003	0	0	0	0	0.18	0.47	0.4
16	0.35	0	0	0	0	0	0.65	0	0	0	6	0.18	0.44	0.51
17	0.97	0	0	0	0	0	0.025	0	0	0	0	0.18	0.47	0.4
18	0.79	0	0	1.1e-05	0	0.00018	0.21	0	0	0	0	0.18	0.47	0.4
19	1	0	0	0	0	0	0.00022	0	0	0	0	0.18	0.47	0.4
20	1	0	0	0	0	1.2e-05	0.001	0	0	0	0	0.18	0.47	0.4
21	0.99	0	0	8.4e-05	0	0.00093	0.0051	0	0	0	0	0.18	0.47	0.4
22	0.91	4.1e-06	0.00012	0.053	0	0.037	0.0036	0	0	0	0	0.18	0.47	0.4
23	1	0	0	9.8e-05	0	0	0.00014	0	0	0	0	0.18	0.47	0.4
24	0.00057	0.96	0	0.034	0	0.0087	0	0	0	0	1	0.1	0.27	0.25
25	0.98	0	0.0014	0.0096	0	0.0022	0.012	0	0	0	0	0.18	0.47	0.4
26	0.94	0	0.0038	0.0058	0	0.0019	0.051	0	0	0	0	0.18	0.47	0.4
27	0.42	1.2e-06	8.4e-06	0.0036	0	0.089	0.49	0	0	0	6	0.18	0.44	0.51
28	0.29	0.042	0.0021	0.65	0	0.016	0.00066	0	0	0	3	0.18	0.36	0.33
29	0.47	1.1e-06	8.3e-06	0.0043	0	0.07	0.45	0	0	0	0	0.18	0.47	0.4
30	0.99	0	0.0003	0.0045	0	3.5e-05	0.007	0	0	0	0	0.18	0.47	0.4
31	0.84	0	0.0049	0.15	0	3.4e-06	0.00025	0	0	0	0	0.18	0.47	0.4
32	0.54	4.6e-06	4.6e-06	0.45	0	0.0089	0.0047	0	0	0	0	0.18	0.47	0.4
33	0.53	3.9e-05	0.00013	0.34	0	0.00024	0.0047	0.13	0	0	0	0.18	0.47	0.4
34	0.00023	0	3.5e-06	0	0	1	0	0	0	0	5	0.091	0.44	0.43
35	0	0	0	0	0	0	0	0	1	0	8	0.06	0.044	0.082
36	0.088	0	0.0038	0.00033	0	0.9	0.0072	0	0	0	5	0.091	0.44	0.43
37	0.99	0	0.0013	0.0056	0	1.4e-05	0.0016	0	0	0	0	0.18	0.47	0.4
38	0	0.00073	0	0	0	0	0	0	1	0	8	0.06	0.044	0.082
39	0	0	0	0	1	0	0	0	0	0	4	0.08	0	0
40	1	0	0	0.00079	0	0.0003	4.1e-06	0	0	0	0	0.18	0.47	0.4
41	0.27	0	0	0.0051	0	0.66	0.063	0	0	0	5	0.091	0.44	0.43
42	0.35	0.0026	6e-05	0.62	0	0.027	0.0024	0	0	0	3	0.18	0.36	0.33
43	0	0	0	0	0	0	0	0	1	0	8	0.06	0.044	0.082
44	0.47	0	4.9e-05	0.52	0	3.1e-06	0.016	0	0	0	3	0.18	0.36	0.33
