SNV	cluster0	cluster1	cluster2	cluster	dcf0	dcf1	dcf2
0	1	0.00038	0	0	0.18	0.44	0.43
1	0.064	0.94	0	1	0.1	0.4	0.33
2	0	1	0	1	0.1	0.4	0.33
3	1	0	0	0	0.18	0.44	0.43
4	0	0	1	2	0.04	0.044	0.082
5	1	5.5e-05	0	0	0.18	0.44	0.43
6	0.96	0.04	0	0	0.18	0.44	0.43
7	0.9	0	0.1	0	0.18	0.44	0.43
8	1	0	0	0	0.18	0.44	0.43
9	0	0	1	2	0.04	0.044	0.082
10	0.71	0.29	0	0	0.18	0.44	0.43
11	0.32	0.68	0	1	0.1	0.4	0.33
12	0	0	1	2	0.04	0.044	0.082
13	0.39	0.61	0	1	0.1	0.4	0.33
14	1	0	0	0	0.18	0.44	0.43
15	1	0	0	0	0.18	0.44	0.43
16	1	0	0	0	0.18	0.44	0.43
17	1	0	0	0	0.18	0.44	0.43
18	1	0	0	0	0.18	0.44	0.43
19	1	0	0	0	0.18	0.44	0.43
20	1	0	0	0	0.18	0.44	0.43
21	1	3.4e-05	0	0	0.18	0.44	0.43
22	0.8	0.2	0	0	0.18	0.44	0.43
23	1	0	0	0	0.18	0.44	0.43
24	0.00035	1	0	1	0.1	0.4	0.33
25	0.99	0.0057	0	0	0.18	0.44	0.43
26	1	0.0019	0	0	0.18	0.44	0.43
27	0.99	0.0069	0	0	0.18	0.44	0.43
28	0.19	0.81	0	1	0.1	0.4	0.33
29	0.99	0.0061	0	0	0.18	0.44	0.43
30	1	0.00012	0	0	0.18	0.44	0.43
31	1	0.00089	0	0	0.18	0.44	0.43
32	0.93	0.072	0	0	0.18	0.44	0.43
33	1	0.0032	0	0	0.18	0.44	0.43
34	0.079	0.92	0	1	0.1	0.4	0.33
35	0	0	1	2	0.04	0.044	0.082
36	0.43	0.57	0	1	0.1	0.4	0.33
37	1	0.00011	0	0	0.18	0.44	0.43
38	0	0	1	2	0.04	0.044	0.082
39	0	0	1	2	0.04	0.044	0.082
40	1	0.0011	0	0	0.18	0.44	0.43
41	0.99	0.011	0	0	0.18	0.44	0.43
42	0.47	0.53	0	1	0.1	0.4	0.33
43	0	0	1	2	0.04	0.044	0.082
44	1	3e-05	0	0	0.18	0.44	0.43
45	1	0	0	0	0.18	0.44	0.43
46	1	0.0011	0	0	0.18	0.44	0.43
47	1	0	0	0	0.18	0.44	0.43
48	0	0	1	2	0.04	0.044	0.082
49	0	0	1	2	0.04	0.044	0.082
50	1	0.0049	0	0	0.18	0.44	0.43
51	0	0	1	2	0.04	0.044	0.082
