k	loglikelihood	observations	parameters	BIC
1	-9408.61	5907	6	18869.3
2	-5146.48	5907	9	10371.1
3	-4714.99	5907	12	9534.18
4	-4443	5907	15	9016.26
5	-4312.97	5907	18	8782.26
6	-4293.84	5907	21	8770.04
7	-4106.97	5907	24	8422.35
8	-3979.13	5907	27	8192.72
9	-4013.8	5907	30	8288.12
10	-3825.05	5907	33	7936.66
11	-3871.1	5907	36	8054.82
12	-3758.94	5907	39	7856.55
13	-3780.08	5907	42	7924.88
14	-3801.41	5907	45	7993.6
15	-3739.34	5907	48	7895.51
16	-3688.54	5907	51	7819.96
17	-3736.5	5907	54	7941.94
18	-3764.86	5907	57	8024.7
19	-3770.45	5907	60	8061.92
20	-3682.28	5907	63	7911.65
