SNV	cluster0	cluster	dcf0	dcf1	dcf2	dcf3
0	1	0	0.86	0.86	0.89	0.87
1	1	0	0.86	0.86	0.89	0.87
2	1	0	0.86	0.86	0.89	0.87
3	1	0	0.86	0.86	0.89	0.87
4	1	0	0.86	0.86	0.89	0.87
5	1	0	0.86	0.86	0.89	0.87
6	1	0	0.86	0.86	0.89	0.87
7	1	0	0.86	0.86	0.89	0.87
8	1	0	0.86	0.86	0.89	0.87
9	1	0	0.86	0.86	0.89	0.87
10	1	0	0.86	0.86	0.89	0.87
11	1	0	0.86	0.86	0.89	0.87
12	1	0	0.86	0.86	0.89	0.87
13	1	0	0.86	0.86	0.89	0.87
14	1	0	0.86	0.86	0.89	0.87
15	1	0	0.86	0.86	0.89	0.87
16	1	0	0.86	0.86	0.89	0.87
17	1	0	0.86	0.86	0.89	0.87
18	1	0	0.86	0.86	0.89	0.87
19	1	0	0.86	0.86	0.89	0.87
20	1	0	0.86	0.86	0.89	0.87
21	1	0	0.86	0.86	0.89	0.87
22	1	0	0.86	0.86	0.89	0.87
23	1	0	0.86	0.86	0.89	0.87
24	1	0	0.86	0.86	0.89	0.87
25	1	0	0.86	0.86	0.89	0.87
26	1	0	0.86	0.86	0.89	0.87
27	1	0	0.86	0.86	0.89	0.87
28	1	0	0.86	0.86	0.89	0.87
29	1	0	0.86	0.86	0.89	0.87
30	1	0	0.86	0.86	0.89	0.87
31	1	0	0.86	0.86	0.89	0.87
32	1	0	0.86	0.86	0.89	0.87
33	1	0	0.86	0.86	0.89	0.87
34	1	0	0.86	0.86	0.89	0.87
35	1	0	0.86	0.86	0.89	0.87
36	1	0	0.86	0.86	0.89	0.87
37	1	0	0.86	0.86	0.89	0.87
38	1	0	0.86	0.86	0.89	0.87
39	1	0	0.86	0.86	0.89	0.87
40	1	0	0.86	0.86	0.89	0.87
41	1	0	0.86	0.86	0.89	0.87
42	1	0	0.86	0.86	0.89	0.87
43	1	0	0.86	0.86	0.89	0.87
44	1	0	0.86	0.86	0.89	0.87
45	1	0	0.86	0.86	0.89	0.87
46	1	0	0.86	0.86	0.89	0.87
47	1	0	0.86	0.86	0.89	0.87
48	1	0	0.86	0.86	0.89	0.87
49	1	0	0.86	0.86	0.89	0.87
50	1	0	0.86	0.86	0.89	0.87
51	1	0	0.86	0.86	0.89	0.87
52	1	0	0.86	0.86	0.89	0.87
53	1	0	0.86	0.86	0.89	0.87
54	1	0	0.86	0.86	0.89	0.87
55	1	0	0.86	0.86	0.89	0.87
56	1	0	0.86	0.86	0.89	0.87
57	1	0	0.86	0.86	0.89	0.87
58	1	0	0.86	0.86	0.89	0.87
59	1	0	0.86	0.86	0.89	0.87
60	1	0	0.86	0.86	0.89	0.87
61	1	0	0.86	0.86	0.89	0.87
62	1	0	0.86	0.86	0.89	0.87
63	1	0	0.86	0.86	0.89	0.87
64	1	0	0.86	0.86	0.89	0.87
65	1	0	0.86	0.86	0.89	0.87
66	1	0	0.86	0.86	0.89	0.87
67	1	0	0.86	0.86	0.89	0.87
68	1	0	0.86	0.86	0.89	0.87
69	1	0	0.86	0.86	0.89	0.87
70	1	0	0.86	0.86	0.89	0.87
71	1	0	0.86	0.86	0.89	0.87
72	1	0	0.86	0.86	0.89	0.87
73	1	0	0.86	0.86	0.89	0.87
74	1	0	0.86	0.86	0.89	0.87
75	1	0	0.86	0.86	0.89	0.87
76	1	0	0.86	0.86	0.89	0.87
77	1	0	0.86	0.86	0.89	0.87
78	1	0	0.86	0.86	0.89	0.87
79	1	0	0.86	0.86	0.89	0.87
80	1	0	0.86	0.86	0.89	0.87
81	1	0	0.86	0.86	0.89	0.87
82	1	0	0.86	0.86	0.89	0.87
83	1	0	0.86	0.86	0.89	0.87
84	1	0	0.86	0.86	0.89	0.87
85	1	0	0.86	0.86	0.89	0.87
86	1	0	0.86	0.86	0.89	0.87
87	1	0	0.86	0.86	0.89	0.87
88	1	0	0.86	0.86	0.89	0.87
89	1	0	0.86	0.86	0.89	0.87
90	1	0	0.86	0.86	0.89	0.87
91	1	0	0.86	0.86	0.89	0.87
92	1	0	0.86	0.86	0.89	0.87
93	1	0	0.86	0.86	0.89	0.87
94	1	0	0.86	0.86	0.89	0.87
95	1	0	0.86	0.86	0.89	0.87
96	1	0	0.86	0.86	0.89	0.87
97	1	0	0.86	0.86	0.89	0.87
98	1	0	0.86	0.86	0.89	0.87
99	1	0	0.86	0.86	0.89	0.87
100	1	0	0.86	0.86	0.89	0.87
101	1	0	0.86	0.86	0.89	0.87
102	1	0	0.86	0.86	0.89	0.87
103	1	0	0.86	0.86	0.89	0.87
104	1	0	0.86	0.86	0.89	0.87
105	1	0	0.86	0.86	0.89	0.87
106	1	0	0.86	0.86	0.89	0.87
107	1	0	0.86	0.86	0.89	0.87
108	1	0	0.86	0.86	0.89	0.87
109	1	0	0.86	0.86	0.89	0.87
110	1	0	0.86	0.86	0.89	0.87
111	1	0	0.86	0.86	0.89	0.87
112	1	0	0.86	0.86	0.89	0.87
113	1	0	0.86	0.86	0.89	0.87
114	1	0	0.86	0.86	0.89	0.87
115	1	0	0.86	0.86	0.89	0.87
116	1	0	0.86	0.86	0.89	0.87
117	1	0	0.86	0.86	0.89	0.87
118	1	0	0.86	0.86	0.89	0.87
119	1	0	0.86	0.86	0.89	0.87
120	1	0	0.86	0.86	0.89	0.87
121	1	0	0.86	0.86	0.89	0.87
122	1	0	0.86	0.86	0.89	0.87
123	1	0	0.86	0.86	0.89	0.87
124	1	0	0.86	0.86	0.89	0.87
125	1	0	0.86	0.86	0.89	0.87
126	1	0	0.86	0.86	0.89	0.87
127	1	0	0.86	0.86	0.89	0.87
128	1	0	0.86	0.86	0.89	0.87
129	1	0	0.86	0.86	0.89	0.87
130	1	0	0.86	0.86	0.89	0.87
131	1	0	0.86	0.86	0.89	0.87
132	1	0	0.86	0.86	0.89	0.87
133	1	0	0.86	0.86	0.89	0.87
134	1	0	0.86	0.86	0.89	0.87
135	1	0	0.86	0.86	0.89	0.87
136	1	0	0.86	0.86	0.89	0.87
137	1	0	0.86	0.86	0.89	0.87
138	1	0	0.86	0.86	0.89	0.87
139	1	0	0.86	0.86	0.89	0.87
140	1	0	0.86	0.86	0.89	0.87
141	1	0	0.86	0.86	0.89	0.87
142	1	0	0.86	0.86	0.89	0.87
143	1	0	0.86	0.86	0.89	0.87
144	1	0	0.86	0.86	0.89	0.87
145	1	0	0.86	0.86	0.89	0.87
146	1	0	0.86	0.86	0.89	0.87
147	1	0	0.86	0.86	0.89	0.87
148	1	0	0.86	0.86	0.89	0.87
149	1	0	0.86	0.86	0.89	0.87
150	1	0	0.86	0.86	0.89	0.87
151	1	0	0.86	0.86	0.89	0.87
152	1	0	0.86	0.86	0.89	0.87
153	1	0	0.86	0.86	0.89	0.87
154	1	0	0.86	0.86	0.89	0.87
155	1	0	0.86	0.86	0.89	0.87
156	1	0	0.86	0.86	0.89	0.87
157	1	0	0.86	0.86	0.89	0.87
158	1	0	0.86	0.86	0.89	0.87
159	1	0	0.86	0.86	0.89	0.87
160	1	0	0.86	0.86	0.89	0.87
161	1	0	0.86	0.86	0.89	0.87
162	1	0	0.86	0.86	0.89	0.87
163	1	0	0.86	0.86	0.89	0.87
164	1	0	0.86	0.86	0.89	0.87
165	1	0	0.86	0.86	0.89	0.87
166	1	0	0.86	0.86	0.89	0.87
167	1	0	0.86	0.86	0.89	0.87
168	1	0	0.86	0.86	0.89	0.87
169	1	0	0.86	0.86	0.89	0.87
170	1	0	0.86	0.86	0.89	0.87
171	1	0	0.86	0.86	0.89	0.87
172	1	0	0.86	0.86	0.89	0.87
173	1	0	0.86	0.86	0.89	0.87
174	1	0	0.86	0.86	0.89	0.87
175	1	0	0.86	0.86	0.89	0.87
176	1	0	0.86	0.86	0.89	0.87
177	1	0	0.86	0.86	0.89	0.87
178	1	0	0.86	0.86	0.89	0.87
179	1	0	0.86	0.86	0.89	0.87
180	1	0	0.86	0.86	0.89	0.87
181	1	0	0.86	0.86	0.89	0.87
182	1	0	0.86	0.86	0.89	0.87
183	1	0	0.86	0.86	0.89	0.87
184	1	0	0.86	0.86	0.89	0.87
185	1	0	0.86	0.86	0.89	0.87
186	1	0	0.86	0.86	0.89	0.87
187	1	0	0.86	0.86	0.89	0.87
188	1	0	0.86	0.86	0.89	0.87
189	1	0	0.86	0.86	0.89	0.87
190	1	0	0.86	0.86	0.89	0.87
191	1	0	0.86	0.86	0.89	0.87
192	1	0	0.86	0.86	0.89	0.87
193	1	0	0.86	0.86	0.89	0.87
194	1	0	0.86	0.86	0.89	0.87
195	1	0	0.86	0.86	0.89	0.87
196	1	0	0.86	0.86	0.89	0.87
197	1	0	0.86	0.86	0.89	0.87
198	1	0	0.86	0.86	0.89	0.87
199	1	0	0.86	0.86	0.89	0.87
200	1	0	0.86	0.86	0.89	0.87
201	1	0	0.86	0.86	0.89	0.87
202	1	0	0.86	0.86	0.89	0.87
203	1	0	0.86	0.86	0.89	0.87
204	1	0	0.86	0.86	0.89	0.87
205	1	0	0.86	0.86	0.89	0.87
206	1	0	0.86	0.86	0.89	0.87
207	1	0	0.86	0.86	0.89	0.87
208	1	0	0.86	0.86	0.89	0.87
209	1	0	0.86	0.86	0.89	0.87
210	1	0	0.86	0.86	0.89	0.87
211	1	0	0.86	0.86	0.89	0.87
212	1	0	0.86	0.86	0.89	0.87
213	1	0	0.86	0.86	0.89	0.87
214	1	0	0.86	0.86	0.89	0.87
215	1	0	0.86	0.86	0.89	0.87
216	1	0	0.86	0.86	0.89	0.87
217	1	0	0.86	0.86	0.89	0.87
218	1	0	0.86	0.86	0.89	0.87
219	1	0	0.86	0.86	0.89	0.87
220	1	0	0.86	0.86	0.89	0.87
221	1	0	0.86	0.86	0.89	0.87
222	1	0	0.86	0.86	0.89	0.87
223	1	0	0.86	0.86	0.89	0.87
224	1	0	0.86	0.86	0.89	0.87
225	1	0	0.86	0.86	0.89	0.87
226	1	0	0.86	0.86	0.89	0.87
227	1	0	0.86	0.86	0.89	0.87
228	1	0	0.86	0.86	0.89	0.87
229	1	0	0.86	0.86	0.89	0.87
230	1	0	0.86	0.86	0.89	0.87
231	1	0	0.86	0.86	0.89	0.87
232	1	0	0.86	0.86	0.89	0.87
233	1	0	0.86	0.86	0.89	0.87
234	1	0	0.86	0.86	0.89	0.87
235	1	0	0.86	0.86	0.89	0.87
236	1	0	0.86	0.86	0.89	0.87
237	1	0	0.86	0.86	0.89	0.87
238	1	0	0.86	0.86	0.89	0.87
239	1	0	0.86	0.86	0.89	0.87
240	1	0	0.86	0.86	0.89	0.87
241	1	0	0.86	0.86	0.89	0.87
242	1	0	0.86	0.86	0.89	0.87
243	1	0	0.86	0.86	0.89	0.87
244	1	0	0.86	0.86	0.89	0.87
245	1	0	0.86	0.86	0.89	0.87
246	1	0	0.86	0.86	0.89	0.87
247	1	0	0.86	0.86	0.89	0.87
248	1	0	0.86	0.86	0.89	0.87
249	1	0	0.86	0.86	0.89	0.87
250	1	0	0.86	0.86	0.89	0.87
251	1	0	0.86	0.86	0.89	0.87
252	1	0	0.86	0.86	0.89	0.87
253	1	0	0.86	0.86	0.89	0.87
254	1	0	0.86	0.86	0.89	0.87
255	1	0	0.86	0.86	0.89	0.87
256	1	0	0.86	0.86	0.89	0.87
257	1	0	0.86	0.86	0.89	0.87
258	1	0	0.86	0.86	0.89	0.87
259	1	0	0.86	0.86	0.89	0.87
260	1	0	0.86	0.86	0.89	0.87
261	1	0	0.86	0.86	0.89	0.87
262	1	0	0.86	0.86	0.89	0.87
263	1	0	0.86	0.86	0.89	0.87
264	1	0	0.86	0.86	0.89	0.87
265	1	0	0.86	0.86	0.89	0.87
266	1	0	0.86	0.86	0.89	0.87
267	1	0	0.86	0.86	0.89	0.87
268	1	0	0.86	0.86	0.89	0.87
269	1	0	0.86	0.86	0.89	0.87
270	1	0	0.86	0.86	0.89	0.87
271	1	0	0.86	0.86	0.89	0.87
272	1	0	0.86	0.86	0.89	0.87
273	1	0	0.86	0.86	0.89	0.87
274	1	0	0.86	0.86	0.89	0.87
275	1	0	0.86	0.86	0.89	0.87
276	1	0	0.86	0.86	0.89	0.87
277	1	0	0.86	0.86	0.89	0.87
278	1	0	0.86	0.86	0.89	0.87
279	1	0	0.86	0.86	0.89	0.87
280	1	0	0.86	0.86	0.89	0.87
281	1	0	0.86	0.86	0.89	0.87
282	1	0	0.86	0.86	0.89	0.87
283	1	0	0.86	0.86	0.89	0.87
284	1	0	0.86	0.86	0.89	0.87
285	1	0	0.86	0.86	0.89	0.87
286	1	0	0.86	0.86	0.89	0.87
287	1	0	0.86	0.86	0.89	0.87
288	1	0	0.86	0.86	0.89	0.87
289	1	0	0.86	0.86	0.89	0.87
290	1	0	0.86	0.86	0.89	0.87
291	1	0	0.86	0.86	0.89	0.87
292	1	0	0.86	0.86	0.89	0.87
293	1	0	0.86	0.86	0.89	0.87
294	1	0	0.86	0.86	0.89	0.87
295	1	0	0.86	0.86	0.89	0.87
296	1	0	0.86	0.86	0.89	0.87
297	1	0	0.86	0.86	0.89	0.87
298	1	0	0.86	0.86	0.89	0.87
299	1	0	0.86	0.86	0.89	0.87
300	1	0	0.86	0.86	0.89	0.87
301	1	0	0.86	0.86	0.89	0.87
302	1	0	0.86	0.86	0.89	0.87
303	1	0	0.86	0.86	0.89	0.87
304	1	0	0.86	0.86	0.89	0.87
305	1	0	0.86	0.86	0.89	0.87
306	1	0	0.86	0.86	0.89	0.87
307	1	0	0.86	0.86	0.89	0.87
308	1	0	0.86	0.86	0.89	0.87
309	1	0	0.86	0.86	0.89	0.87
310	1	0	0.86	0.86	0.89	0.87
311	1	0	0.86	0.86	0.89	0.87
312	1	0	0.86	0.86	0.89	0.87
313	1	0	0.86	0.86	0.89	0.87
314	1	0	0.86	0.86	0.89	0.87
315	1	0	0.86	0.86	0.89	0.87
316	1	0	0.86	0.86	0.89	0.87
317	1	0	0.86	0.86	0.89	0.87
318	1	0	0.86	0.86	0.89	0.87
319	1	0	0.86	0.86	0.89	0.87
320	1	0	0.86	0.86	0.89	0.87
321	1	0	0.86	0.86	0.89	0.87
322	1	0	0.86	0.86	0.89	0.87
323	1	0	0.86	0.86	0.89	0.87
324	1	0	0.86	0.86	0.89	0.87
325	1	0	0.86	0.86	0.89	0.87
326	1	0	0.86	0.86	0.89	0.87
327	1	0	0.86	0.86	0.89	0.87
328	1	0	0.86	0.86	0.89	0.87
329	1	0	0.86	0.86	0.89	0.87
330	1	0	0.86	0.86	0.89	0.87
331	1	0	0.86	0.86	0.89	0.87
332	1	0	0.86	0.86	0.89	0.87
333	1	0	0.86	0.86	0.89	0.87
334	1	0	0.86	0.86	0.89	0.87
335	1	0	0.86	0.86	0.89	0.87
336	1	0	0.86	0.86	0.89	0.87
337	1	0	0.86	0.86	0.89	0.87
338	1	0	0.86	0.86	0.89	0.87
339	1	0	0.86	0.86	0.89	0.87
340	1	0	0.86	0.86	0.89	0.87
341	1	0	0.86	0.86	0.89	0.87
342	1	0	0.86	0.86	0.89	0.87
343	1	0	0.86	0.86	0.89	0.87
