SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster	dcf0	dcf1	dcf2	dcf3
0	0.00065	0.017	0	0.00055	0.94	0	0.0028	0	0.00057	0	0	0	0	0	0	0.042	4	0.84	0.84	0.86	0.85
1	0.0015	0.04	0	5.3e-05	0.94	0	0.00066	0	5.4e-05	2.4e-06	0	0	0	0	0	0.021	4	0.84	0.84	0.86	0.85
2	0.0011	0.012	0	0.0015	0.93	0	0.0078	0	0.0015	0	0	0	0	0	0	0.049	4	0.84	0.84	0.86	0.85
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	14	0.11	0	0.093	0
4	0.05	0.01	0	0.0023	0.9	0	0.023	0	0.0023	1.4e-06	0	0	0	0	0	0.016	4	0.84	0.84	0.86	0.85
5	8.3e-05	0.017	0	3.7e-05	0.97	0	8e-05	0	3.8e-05	0	0	0	0	0	0	0.015	4	0.84	0.84	0.86	0.85
6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	0	0.16	0.047	0.067
7	0.016	0.014	0	0.00085	0.94	0	0.0085	0	0.00087	2e-05	0	0	0	0	0	0.02	4	0.84	0.84	0.86	0.85
8	0.0069	0.014	0	0.0026	0.95	0	0.0025	0	0.0026	0.003	0	0	0	0	0	0.023	4	0.84	0.84	0.86	0.85
9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	0	0.16	0.047	0.067
10	4.1e-06	0.022	0	8.8e-06	0.97	0	1.1e-06	0	9e-06	0	0	0	0	0	0	0.0066	4	0.84	0.84	0.86	0.85
11	0	0.011	0	0	0.99	0	0	0	0	0	0	0	0	0	0	0.0016	4	0.84	0.84	0.86	0.85
12	0.043	0.014	0	0.0019	0.91	0	0.0089	0	0.0019	0.0013	0	0	0	0	0	0.015	4	0.84	0.84	0.86	0.85
13	5.9e-05	0.014	0	0.042	0.87	0	4.1e-06	0	0.043	0.024	0	0	0	0	0	0.0084	4	0.84	0.84	0.86	0.85
14	0	0.013	0	0	0.93	0	0	0	0	2.7e-06	0	0	0	0	0	0.055	4	0.84	0.84	0.86	0.85
15	0	0.027	0	0	0.94	0	0	0	0	0.0041	0	0	0	0	0	0.03	4	0.84	0.84	0.86	0.85
16	0	0.0022	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0014	4	0.84	0.84	0.86	0.85
17	0	0.0059	0	0	0.99	0	0	0	0	0	0	0	0	0	0	0.0074	4	0.84	0.84	0.86	0.85
18	2.9e-05	0.025	0	0.00011	0.95	0	3.9e-06	0	0.00012	0.009	0	0	0	0	0	0.012	4	0.84	0.84	0.86	0.85
19	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	0	0.16	0.047	0.067
20	0.0098	0.014	0	0.0067	0.94	0	0.0014	0	0.0069	0.0061	0	0	0	0	0	0.017	4	0.84	0.84	0.86	0.85
