k	loglikelihood	observations	parameters	BIC
1	-34669	9708	8	69411.5
2	-14793.4	9708	12	29696.9
3	-13090.1	9708	16	26327.1
4	-11968.4	9708	20	24120.4
5	-10777.7	9708	24	21775.8
6	-9339.5	9708	28	18936.1
7	-9539.61	9708	32	19373
8	-9446.39	9708	36	19223.3
9	-9336.65	9708	40	19040.5
10	-9446.44	9708	44	19296.8
11	-9297.2	9708	48	19035.1
12	-9078.78	9708	52	18635
13	-8756.69	9708	56	18027.5
14	-8977.49	9708	60	18505.8
15	-9157.65	9708	64	18902.9
16	-8918.09	9708	68	18460.5
17	-9357.24	9708	72	19375.5
18	-8966.74	9708	76	18631.2
19	-8918.19	9708	80	18570.8
20	-8913.52	9708	84	18598.2
