SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster	dcf0	dcf1	dcf2	dcf3
0	0.04	0.00033	0.96	0	0	0.00049	0	0	0	0	2	0.84	0.84	0.86	0.85
1	0.021	0.00076	0.98	0	0	0.0011	0	0	0	2.8e-06	2	0.84	0.84	0.86	0.85
2	0.047	0.00055	0.95	0	0	0.00081	0	0	0	0	2	0.84	0.84	0.86	0.85
3	0	0	0	0	0	0	0	1	0	0	7	0.11	0	0.093	0
4	0.015	0.026	0.92	0	0	0.038	0	0	0	1.6e-06	2	0.84	0.84	0.86	0.85
5	0.014	4.2e-05	0.99	0	0	6.1e-05	0	0	0	0	2	0.84	0.84	0.86	0.85
6	0	0	0	1	0	0	0	0	0	0	3	0.093	0.37	0.096	0.094
7	0.02	0.008	0.96	0	0	0.012	0	0	0	2.3e-05	2	0.84	0.84	0.86	0.85
8	0.022	0.0035	0.97	0	0	0.0051	0	0	0	0.0035	2	0.84	0.84	0.86	0.85
9	0	0	0	1	0	0	0	0	0	0	3	0.093	0.37	0.096	0.094
10	0.0062	2.1e-06	0.99	0	0	3.1e-06	0	0	0	1.1e-06	2	0.84	0.84	0.86	0.85
11	0.0015	0	1	0	0	0	0	0	0	0	2	0.84	0.84	0.86	0.85
12	0.014	0.022	0.93	0	0	0.032	0	0	0	0.0015	2	0.84	0.84	0.86	0.85
13	0.0086	3.2e-05	0.96	0	0	4.8e-05	0	0	0	0.03	2	0.84	0.84	0.86	0.85
14	0.052	0	0.95	0	0	0	0	0	0	3.1e-06	2	0.84	0.84	0.86	0.85
15	0.029	0	0.97	0	0	0	0	0	0	0.0048	2	0.84	0.84	0.86	0.85
16	0.0013	0	1	0	0	0	0	0	0	0	2	0.84	0.84	0.86	0.85
17	0.007	0	0.99	0	0	0	0	0	0	0	2	0.84	0.84	0.86	0.85
18	0.012	1.5e-05	0.98	0	0	2.1e-05	0	0	0	0.01	2	0.84	0.84	0.86	0.85
19	0	0	0	1	0	0	0	0	0	0	3	0.093	0.37	0.096	0.094
20	0.016	0.005	0.96	0	0	0.0073	0	0	0	0.0071	2	0.84	0.84	0.86	0.85
21	0.0086	8.5e-05	0.99	0	0	0.00013	0	0	0	0.00091	2	0.84	0.84	0.86	0.85
22	0.024	7.8e-06	0.96	0	0	1.1e-05	0	0	0	0.014	2	0.84	0.84	0.86	0.85
23	0.018	0	0.96	0	0	0	0	0	0	0.024	2	0.84	0.84	0.86	0.85
24	0.26	0	0.74	0	0	0	0	0	0	0	2	0.84	0.84	0.86	0.85
25	0.026	0	0.97	0	0	0	0	0	0	0.0018	2	0.84	0.84	0.86	0.85
26	0.012	0	0.99	0	0	0	0	0	0	3e-05	2	0.84	0.84	0.86	0.85
27	0.015	0	0.99	0	0	0	0	0	0	7.2e-05	2	0.84	0.84	0.86	0.85
28	0.031	0	0.96	0	0	0	0	0	0	0.0047	2	0.84	0.84	0.86	0.85
29	0.012	0	0.99	0	0	0	0	0	0	0.0017	2	0.84	0.84	0.86	0.85
30	0.047	0	0.95	0	0	0	0	0	0	0.00015	2	0.84	0.84	0.86	0.85
31	0.076	0	0.92	0	0	0	0	0	0	0.0055	2	0.84	0.84	0.86	0.85
32	0.0033	0.11	0.73	0	0	0.16	0	0	0	0.00025	2	0.84	0.84	0.86	0.85
33	0.038	0	0.95	0	0	0	0	0	0	0.0079	2	0.84	0.84	0.86	0.85
34	0.016	0	0.98	0	0	0	0	0	0	0.003	2	0.84	0.84	0.86	0.85
35	0.0024	0.23	0.43	0	0	0.34	0	0	0	0	2	0.84	0.84	0.86	0.85
