SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster	dcf0	dcf1	dcf2	dcf3
0	0	0.00084	0	1	0	0	0	0	3	0.32	0.26	0.33	0.2
1	0	0.0019	0	1	0	0	0	0	3	0.32	0.26	0.33	0.2
2	1	0	0	0	0	0	0	0	0	0.036	0	0.15	0
3	0	0	0	0	0	1	0	0	5	0.21	0.087	0.22	0.044
4	0	0	0	0.046	0	0.95	0	0	5	0.21	0.087	0.22	0.044
5	0	0	0	0	1	0	0	0	4	0	0.087	0	0.11
6	0	0	0	0.00014	0	1	0	0	5	0.21	0.087	0.22	0.044
7	0	0	0	0	0	1	0	0	5	0.21	0.087	0.22	0.044
8	0	0.0078	0	0.99	0	0.00072	0	0	3	0.32	0.26	0.33	0.2
9	0	0	0	0	0	1	0	0	5	0.21	0.087	0.22	0.044
10	0	0.056	0	0.94	0	0	0	0	3	0.32	0.26	0.33	0.2
11	1	0	0	0	0	0	0	0	0	0.036	0	0.15	0
12	0	0	0	0	0	0	0.00036	1	7	0.14	0	0	0
13	0	0	0	0	1	0	0	0	4	0	0.087	0	0.11
14	0	0.0038	0	1	0	0	0	0	3	0.32	0.26	0.33	0.2
15	0	0.015	0.42	0.56	0	0.0037	0	0	3	0.32	0.26	0.33	0.2
16	0	0.0056	0	0.99	0	0	0	0	3	0.32	0.26	0.33	0.2
17	0	0	1	0	0	0	0	0	2	0.036	0.26	0.33	0.2
18	0	0.011	0	0.99	0	0	0	0	3	0.32	0.26	0.33	0.2
19	0	0.00062	0	1	0	0	0	0	3	0.32	0.26	0.33	0.2
20	0	0.046	0	0.95	0	0.00091	0	0	3	0.32	0.26	0.33	0.2
21	0	0.39	0	0.61	0	0	0	0	3	0.32	0.26	0.33	0.2
22	0	0	0	0	0	1	0	0	5	0.21	0.087	0.22	0.044
23	0	0	0	0	0	0	0	1	7	0.14	0	0	0
24	0	0.097	0	0.9	0	0.00024	0	0	3	0.32	0.26	0.33	0.2
25	0	0	0	0	0	1	0	0	5	0.21	0.087	0.22	0.044
26	0	0	1	0	0	2e-05	0	0	2	0.036	0.26	0.33	0.2
27	0	0.038	0	0.21	0	0.75	0	0	5	0.21	0.087	0.22	0.044
28	0	0.034	0	0.97	0	0	0	0	3	0.32	0.26	0.33	0.2
29	0	0.00032	0	1	0	0	0	0	3	0.32	0.26	0.33	0.2
30	0	0.00039	0	1	0	0	0	0	3	0.32	0.26	0.33	0.2
31	0	0.0011	0	1	0	0	0	0	3	0.32	0.26	0.33	0.2
32	0	0.023	0	0.98	0	0	0	0	3	0.32	0.26	0.33	0.2
33	0	0.018	0	0.98	0	0	0	0	3	0.32	0.26	0.33	0.2
34	1	0	0	0	0	0	0	0	0	0.036	0	0.15	0
35	0	0.00045	0	1	0	0	0	0	3	0.32	0.26	0.33	0.2
36	0	0.95	0	0.048	0	0	0	0	1	0.32	0.26	0.33	0.27
37	0	0	0	0	0	0	0	1	7	0.14	0	0	0
38	0	1.4e-05	0	1	0	0	0	0	3	0.32	0.26	0.33	0.2
39	0	0.15	0	0.85	0	0	0	0	3	0.32	0.26	0.33	0.2
40	0	0.0018	0	1	0	1e-05	0	0	3	0.32	0.26	0.33	0.2
