SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0	dcf1	dcf2	dcf3
0	0	0	0	1.9e-06	1	0.00039	0	0.0001	0	0	0	0.0032	0	0	1.3e-05	0	0	0	0	0.0001	4	0.32	0.26	0.33	0.2
1	0	0	0	0	0.33	0.66	0	0.0016	0	0	0	0.00041	0	0	0	0	0	0	0	0.0016	5	0.32	0.42	0.33	0.4
2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.036	0	0.15	0
3	0.19	0	0	0	4.3e-06	0.0011	0	0.033	0	0	0	1.3e-06	0	0	0.74	0	0	0	0	0.033	14	0.32	0.37	0.33	0.27
4	0.00041	0	0	0	1.7e-05	0.007	0	0.49	0	0	0	8.7e-06	0	0	0.019	0	0	0	0	0.49	7	0.32	0.17	0.33	0.089
5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6.3e-06	0	6	0	0.058	0	0.067
6	0.016	0	0	0	0	8.9e-06	0	0.2	0	0	0	0.00023	0	0	0.59	0	0	0	0	0.2	14	0.32	0.37	0.33	0.27
7	0.015	0	0	0	0	0	0	0.059	0	0	0	0	0	0	0.87	0	0	0	0	0.059	14	0.32	0.37	0.33	0.27
8	0.0041	0	0	0	0.062	0.83	0	0.048	0	0	0	5.9e-05	0	0	0.01	0	0	0	0	0.048	5	0.32	0.42	0.33	0.4
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	18	0.036	0.058	0.037	0.044
10	0	0	0	0	0.11	0.51	0	0	9.1e-06	0	0	0.046	0	0	0.33	0	0	0	0	0	5	0.32	0.42	0.33	0.4
11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.036	0	0.15	0
