k	loglikelihood	observations	parameters	BIC
1	-74050.5	29628	8	148183
2	-38491.2	29628	12	77106
3	-32972.3	29628	16	66109.4
4	-27427	29628	20	55059.9
5	-26079.5	29628	24	52406.1
6	-24831.2	29628	28	49950.7
7	-21910	29628	32	44149.6
8	-22606.3	29628	36	45583.3
9	-21754.2	29628	40	43920.3
10	-19757.4	29628	44	39967.9
11	-19701.9	29628	48	39898.1
12	-19009.7	29628	52	38554.8
13	-18879.5	29628	56	38335.7
14	-18975.7	29628	60	38569.1
15	-18075.6	29628	64	36810.1
16	-17911.1	29628	68	36522.3
17	-18536	29628	72	37813.3
18	-18463.8	29628	76	37710.2
19	-17522.6	29628	80	35869
20	-17824.3	29628	84	36513.6
