SNV	cluster0	cluster1	cluster2	cluster	dcf0	dcf1	dcf2	dcf3
0	1	0	0	0	0.32	0.26	0.33	0.2
1	1	0	0	0	0.32	0.26	0.33	0.2
2	0	1	0	1	0.071	0	0.073	0
3	1	0	2.1e-06	0	0.32	0.26	0.33	0.2
4	1	0	0	0	0.32	0.26	0.33	0.2
5	0	0	1	2	0.036	0.087	0.037	0.089
6	1	0	0	0	0.32	0.26	0.33	0.2
7	1	0	0	0	0.32	0.26	0.33	0.2
8	1	0	0	0	0.32	0.26	0.33	0.2
9	0	0	1	2	0.036	0.087	0.037	0.089
10	1	0	0	0	0.32	0.26	0.33	0.2
11	0	1	0	1	0.071	0	0.073	0
12	0	1	0	1	0.071	0	0.073	0
13	0	0	1	2	0.036	0.087	0.037	0.089
14	1	0	0	0	0.32	0.26	0.33	0.2
15	1	0	0	0	0.32	0.26	0.33	0.2
16	1	0	0	0	0.32	0.26	0.33	0.2
17	0	0	1	2	0.036	0.087	0.037	0.089
18	1	0	0	0	0.32	0.26	0.33	0.2
19	1	0	0	0	0.32	0.26	0.33	0.2
20	1	0	0	0	0.32	0.26	0.33	0.2
21	1	0	0	0	0.32	0.26	0.33	0.2
22	0	0	1	2	0.036	0.087	0.037	0.089
23	0	1	0	1	0.071	0	0.073	0
24	1	0	0	0	0.32	0.26	0.33	0.2
25	1	0	0	0	0.32	0.26	0.33	0.2
26	0	0	1	2	0.036	0.087	0.037	0.089
27	1	0	0	0	0.32	0.26	0.33	0.2
28	1	0	0	0	0.32	0.26	0.33	0.2
29	1	0	0	0	0.32	0.26	0.33	0.2
30	1	0	0	0	0.32	0.26	0.33	0.2
31	1	0	0	0	0.32	0.26	0.33	0.2
32	1	0	0	0	0.32	0.26	0.33	0.2
33	1	0	0	0	0.32	0.26	0.33	0.2
34	0	1	0	1	0.071	0	0.073	0
35	1	0	0	0	0.32	0.26	0.33	0.2
36	1	0	0	0	0.32	0.26	0.33	0.2
37	0	1	0	1	0.071	0	0.073	0
38	1	0	0	0	0.32	0.26	0.33	0.2
39	1	0	0	0	0.32	0.26	0.33	0.2
40	1	0	0	0	0.32	0.26	0.33	0.2
41	1	0	0	0	0.32	0.26	0.33	0.2
42	0	0	1	2	0.036	0.087	0.037	0.089
43	1	0	0	0	0.32	0.26	0.33	0.2
44	0	1	0	1	0.071	0	0.073	0
45	1	0	0	0	0.32	0.26	0.33	0.2
46	1	0	0	0	0.32	0.26	0.33	0.2
47	1	0	0	0	0.32	0.26	0.33	0.2
48	1	0	0	0	0.32	0.26	0.33	0.2
49	1	0	0	0	0.32	0.26	0.33	0.2
50	1	0	0	0	0.32	0.26	0.33	0.2
51	1	0	0	0	0.32	0.26	0.33	0.2
52	0	0	1	2	0.036	0.087	0.037	0.089
53	0	1	0	1	0.071	0	0.073	0
54	1	0	0	0	0.32	0.26	0.33	0.2
55	0	0	1	2	0.036	0.087	0.037	0.089
56	0	0	1	2	0.036	0.087	0.037	0.089
