k	loglikelihood	observations	parameters	BIC
1	-93083.7	17538	6	186226
2	-29882.7	17538	9	59853.3
3	-26719.8	17538	12	53556.8
4	-26667.5	17538	15	53481.6
5	-20961.1	17538	18	42098.1
6	-18646.6	17538	21	37498.4
7	-21683.3	17538	24	43601.1
8	-17530.4	17538	27	35324.7
9	-18633.1	17538	30	37559.4
10	-16155.4	17538	33	32633.3
11	-16728.5	17538	36	33808.8
12	-16806	17538	39	33993.1
13	-15315	17538	42	31040.4
14	-16382.9	17538	45	33205.5
15	-14929.2	17538	48	30327.4
16	-14923.6	17538	51	30345.6
17	-14938.3	17538	54	30404.4
18	-14111.9	17538	57	28780.9
19	-14129.3	17538	60	28844.8
20	-13922.9	17538	63	28461.5
