SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster	dcf0	dcf1	dcf2
0	0	0.37	0	0	0	0.00014	0	0	0.63	0	0	0	8	0.43	0.55	0.52
1	0	0	0	0	0	1	0	0	0	0	0	0	5	0.29	0.49	0.52
2	0	0.022	0	0.15	0	0.83	0	0	1.2e-06	0	0	0	5	0.29	0.49	0.52
3	0	0.55	0	0	0	0	0	0	0.45	0	0	0.00064	1	0.34	0.55	0.52
4	0	0.00067	0	0	0	1	0	0	0	0	0	0	5	0.29	0.49	0.52
5	0	0	0	0	0	0	1	0	0	0	0.0025	0	6	0	0.38	0.52
6	0	0.62	0	0.00034	0	0.093	0	0	0.29	0	0	0	1	0.34	0.55	0.52
7	0.97	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0.11	0
8	0	0	0	0	0	0	0	1	0	0	0	0	7	0.23	0	0
9	1	0	1.6e-05	0	0	0	0	0	0	0	0	0	0	0	0.11	0
10	0	0.047	0	0	0	0.95	0	0	0.00022	0	0	0	5	0.29	0.49	0.52
11	1	0	1.1e-05	0	0	0	0	0	0	0	0	0	0	0	0.11	0
12	0	0.29	0	0	0	0.71	0	0	0.00038	0	0	0	5	0.29	0.49	0.52
13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0
14	1	0	0.00012	0	0	0	0	0	0	0	0	0	0	0	0.11	0
15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0
16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0
17	0	0.55	0	0.00089	0	0.45	0	0	0.0024	0	0	0	1	0.34	0.55	0.52
18	0	0.39	0	6.9e-06	0	0.61	0	0	0.0028	0	0	0	5	0.29	0.49	0.52
19	0	0.00039	0	0	0	1	0	0	0	0	0	0	5	0.29	0.49	0.52
20	0	0.00015	0	1.3e-06	0	0.0019	1	0	3.9e-06	0	0.0024	0	6	0	0.38	0.52
21	0	0	0	0	0	0	0	1	0	0	0	0	7	0.23	0	0
22	0	0.43	0	0.05	0	0.44	0	0	0.084	0	0	0	5	0.29	0.49	0.52
23	0	0	0	0	0	0	0	1	0	0	0	0.00026	7	0.23	0	0
24	1	0	0.0021	0	0	0	0	0	0	0	0	0	0	0	0.11	0
25	0	0.00036	0	0	0	1	0	0	0	0	0	0	5	0.29	0.49	0.52
26	0	0.0057	0	0	0	0.99	0	0	9.9e-06	0	0	0	5	0.29	0.49	0.52
27	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0.057	0.053
28	0	0.1	0	0.0025	0	0.89	0	0	0.0035	0	0	0	5	0.29	0.49	0.52
29	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0.11
30	0	0.14	0	0.00011	0	0.86	0	0	0.0032	0	0	0	5	0.29	0.49	0.52
