SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster	dcf0	dcf1	dcf2
0	1	0	0	0	0	0	0.34	0.49	0.52
1	1	0	0	0	0	0	0.34	0.49	0.52
2	1	0	0	0	0	0	0.34	0.49	0.52
3	0	1	0	0	0	1	0.16	0.057	0.053
4	1	0	0	0	0	0	0.34	0.49	0.52
5	0	0	0	0	1	4	0	0.34	0.48
6	1	0	0	0	0	0	0.34	0.49	0.52
7	0	0	1	0	0	2	0	0.11	0
8	0	1	0	0	0	1	0.16	0.057	0.053
9	0	0	1	0	0	2	0	0.11	0
10	1	0	0	0	0	0	0.34	0.49	0.52
11	0	0	1	0	0	2	0	0.11	0
12	1	0	0	0	0	0	0.34	0.49	0.52
13	0	0	1	0	0	2	0	0.11	0
14	0	0	1	0	0	2	0	0.11	0
15	0	0	1	0	0	2	0	0.11	0
16	0	0	1	0	0	2	0	0.11	0
17	1	0	0	0	0	0	0.34	0.49	0.52
18	1	0	0	0	0	0	0.34	0.49	0.52
19	1	0	0	0	0	0	0.34	0.49	0.52
20	0.00027	0	0	0	1	4	0	0.34	0.48
21	0	1	0	0	0	1	0.16	0.057	0.053
22	1	0	0	0	0	0	0.34	0.49	0.52
23	0	1	0	0	0	1	0.16	0.057	0.053
24	0	0	1	0	0	2	0	0.11	0
25	1	0	0	0	0	0	0.34	0.49	0.52
26	1	0	0	0	0	0	0.34	0.49	0.52
27	0	1	0	0	0	1	0.16	0.057	0.053
28	1	0	0	0	0	0	0.34	0.49	0.52
29	0	0	0	1	0	3	0	0	0.27
30	1	0	0	0	0	0	0.34	0.49	0.52
31	0	0	1	0	0	2	0	0.11	0
32	1	0	0	0	0	0	0.34	0.49	0.52
33	0	0	1	0	0	2	0	0.11	0
34	1	0	0	0	0	0	0.34	0.49	0.52
35	1	0	0	0	0	0	0.34	0.49	0.52
36	0	0	1	0	0	2	0	0.11	0
37	1	0	0	0	0	0	0.34	0.49	0.52
38	0	1	0	0	0	1	0.16	0.057	0.053
39	0	1	0	0	0	1	0.16	0.057	0.053
40	1	0	0	0	0	0	0.34	0.49	0.52
41	0	0	1	0	0	2	0	0.11	0
42	1	0	0	0	0	0	0.34	0.49	0.52
43	1	0	0	0	0	0	0.34	0.49	0.52
44	1	0	0	0	0	0	0.34	0.49	0.52
