SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster	dcf0	dcf1
0	0.037	0.17	0.0028	0.17	0	0.17	3.2e-05	0.069	0.06	0.17	0.15	0	0	1	0.28	0.34
1	0.021	0.18	0.00054	0.18	0	0.18	2.5e-05	0.047	0.045	0.18	0.16	0	0	1	0.28	0.34
2	0.12	0.15	0.0027	0.15	0.00014	0.15	0.00018	0.05	0.088	0.15	0.14	0	0	1	0.28	0.34
3	0.28	0.1	7.8e-05	0.1	4.5e-06	0.1	4.4e-05	0.035	0.19	0.1	0.091	0	0	0	0.22	0.34
4	0.083	0.16	0.0053	0.16	3.8e-05	0.16	0.0002	0.056	0.071	0.16	0.15	0	0	1	0.28	0.34
5	0.27	0.13	4.1e-05	0.13	0.0032	0.13	0.0025	0.0073	0.07	0.13	0.12	0.00097	0.0001	0	0.22	0.34
6	0.63	0.044	1.3e-06	0.044	0.0017	0.044	0.00014	0.005	0.15	0.044	0.04	0	0	0	0.22	0.34
7	0.23	0.062	0.01	0.062	0.26	0.062	6.6e-05	0.068	0.13	0.062	0.056	0	1.7e-06	4	0.11	0.33
8	0.014	0.19	0.00029	0.19	0	0.19	0.00023	0.015	0.018	0.19	0.18	0	0	1	0.28	0.34
9	0	0	0	0	3.3e-06	0	0	0	0	0	0	0.0046	1	12	0.11	0.11
10	0.016	0.2	8.7e-06	0.2	0	0.2	0.00086	0.0032	0.012	0.2	0.18	0	0	1	0.28	0.34
11	0.19	0.14	0.00011	0.14	2.3e-05	0.14	0.0007	0.016	0.086	0.14	0.13	0	0	0	0.22	0.34
12	0.099	0.17	5.2e-05	0.17	1.2e-06	0.17	0.00078	0.011	0.052	0.17	0.16	0	0	1	0.28	0.34
13	0.005	0.14	0.053	0.14	0	0.14	1.6e-06	0.21	0.029	0.14	0.13	0	0	7	0.28	0.41
14	0.048	0.18	0.00081	0.18	4.9e-06	0.18	0.00077	0.018	0.032	0.18	0.17	6.8e-05	0	1	0.28	0.34
15	0.0022	0.17	0.002	0.17	0	0.17	0	0.15	0.025	0.17	0.15	0	0	1	0.28	0.34
16	0.14	0.15	0.0022	0.15	0.00083	0.15	0.00038	0.038	0.081	0.15	0.14	3.5e-06	0	1	0.28	0.34
17	0.13	0.0008	0	0.0008	0.86	0.0008	5.3e-05	3.7e-05	0.0076	0.0008	0.00073	0	0	4	0.11	0.33
18	0.27	0.0024	0	0.0024	0.7	0.0024	0.00012	0.00013	0.019	0.0024	0.0022	0	0	4	0.11	0.33
19	0.027	0.19	0	0.19	0	0.19	0.0017	0.0013	0.013	0.19	0.18	0	0	1	0.28	0.34
20	0.43	0.086	3e-05	0.086	0.0017	0.086	0.00037	0.012	0.13	0.086	0.079	0	0	0	0.22	0.34
21	0.66	0.029	0	0.029	0.14	0.029	0.0016	0.00048	0.054	0.029	0.027	0	0	0	0.22	0.34
22	0.19	0.12	0.0081	0.12	0.0023	0.12	8.2e-05	0.089	0.14	0.12	0.11	0	0	0	0.22	0.34
23	0.0022	0.2	0.00012	0.2	0	0.2	6.2e-06	0.027	0.012	0.2	0.18	0	0	1	0.28	0.34
24	0.81	0.011	0	0.011	0.00094	0.011	3.1e-05	0.0013	0.13	0.011	0.011	0	0	0	0.22	0.34
25	0.083	0.16	0.00033	0.16	0	0.16	0.00013	0.035	0.081	0.16	0.15	0	0	1	0.28	0.34
26	0.094	0.16	4.3e-05	0.16	0	0.16	9.5e-05	0.021	0.083	0.16	0.15	0	0	1	0.28	0.34
27	0.027	0.12	0.0038	0.12	0	0.12	0	0.26	0.13	0.12	0.11	0	0	7	0.28	0.41
28	0.78	0.0056	0	0.0056	0.0089	0.0056	4.5e-06	0.0036	0.18	0.0056	0.0051	0	0	0	0.22	0.34
29	0.05	0.18	0.00013	0.18	0	0.18	0.0001	0.025	0.056	0.18	0.16	0	0	1	0.28	0.34
30	0.0072	0.19	0.0031	0.19	0	0.19	5.4e-05	0.039	0.017	0.19	0.17	0	0	1	0.28	0.34
31	0.17	0.15	1.2e-06	0.15	0	0.15	0.00034	0.0056	0.081	0.15	0.14	0	0	0	0.22	0.34
32	0.2	0.13	0.0033	0.13	0.0011	0.13	0.00029	0.053	0.12	0.13	0.12	3.4e-06	0	0	0.22	0.34
33	0.0057	0.098	0.32	0.098	0	0.098	6.2e-06	0.17	0.021	0.098	0.089	0	0	2	0.33	0.48
34	0.061	0.15	0.021	0.15	3.7e-05	0.15	8.2e-05	0.094	0.069	0.15	0.14	0	0	1	0.28	0.34
35	0.077	0.17	6.5e-05	0.17	0	0.17	0.00043	0.014	0.053	0.17	0.16	0	0	1	0.28	0.34
36	0.11	0.17	0	0.17	0	0.17	0.0033	0.0012	0.032	0.17	0.16	0	0	1	0.28	0.34
37	0.076	0.18	0.00033	0.18	0.00011	0.18	0.0017	0.011	0.034	0.18	0.16	0.002	2.3e-05	1	0.28	0.34
38	0.19	0.07	0.0055	0.07	2.4e-05	0.07	2.9e-06	0.2	0.27	0.07	0.064	0	0	8	0.24	0.37
39	0.043	0.15	0.066	0.15	3.4e-05	0.15	0.0001	0.11	0.054	0.15	0.14	2.4e-06	0	1	0.28	0.34
40	0.22	0.14	7.5e-06	0.14	0.0017	0.14	0.0065	0.003	0.043	0.14	0.13	0.016	0.00093	0	0.22	0.34
41	0	0	0	0	0	0	0	0	0	0	0	1	0.0021	11	0.22	0.11
