SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0	dcf1
0	0.072	0.074	0.00056	4e-05	0.34	4e-05	0.074	0	0.072	0	0.00056	0.072	0.072	0	6.5e-05	0.072	0	2.8e-05	0.074	0.074	4	0.28	0.34
1	0.07	0.07	4.5e-05	3.4e-05	0.37	3.4e-05	0.07	0	0.07	0	4.5e-05	0.07	0.07	0	2.1e-05	0.07	0	2.3e-05	0.07	0.07	4	0.28	0.34
2	0.1	0.051	0.00064	5.2e-05	0.29	5.2e-05	0.051	0	0.1	0	0.00064	0.1	0.1	0.00015	4.2e-05	0.1	0	0.00016	0.051	0.051	4	0.28	0.34
3	0.14	0.037	1e-06	2.4e-06	0.17	2.4e-06	0.037	0	0.14	0	1e-06	0.14	0.14	4e-06	2.2e-06	0.14	0	3.3e-05	0.037	0.037	4	0.28	0.34
4	0.09	0.056	0.0017	8.1e-05	0.32	8.1e-05	0.056	0	0.09	0	0.0017	0.09	0.09	4.1e-05	7.4e-05	0.09	0	0.00018	0.056	0.056	4	0.28	0.34
5	0.14	0.017	5e-06	9.5e-05	0.24	9.5e-05	0.017	0	0.14	9.4e-05	5e-06	0.14	0.14	0.0032	1.3e-06	0.14	0.00091	0.0021	0.017	0.017	4	0.28	0.34
6	0.17	0.012	0	1.4e-06	0.1	1.4e-06	0.012	0	0.17	0	0	0.17	0.17	0.002	0	0.17	0	0.00014	0.012	0.012	0	0.25	0.34
7	0.017	0.0079	0.0005	1.7e-06	0.026	1.7e-06	0.0079	0.8	0.017	0	0.0005	0.017	0.017	0.059	1.5e-05	0.017	0	1.2e-05	0.0079	0.0079	7	0	0.56
8	0.064	0.045	0.00011	0.00036	0.5	0.00036	0.045	0	0.064	0	0.00011	0.064	0.064	0	1.6e-05	0.064	0	0.00026	0.045	0.045	4	0.28	0.34
9	0	0	0	0	0	0	0	0	0	1	0	0	0	3.5e-06	0	0	0.0046	0	0	0	9	0.11	0.11
10	0.074	0.023	3.3e-06	0.00084	0.53	0.00084	0.023	0	0.074	0	3.3e-06	0.074	0.074	0	1.4e-06	0.074	0	0.001	0.023	0.023	4	0.28	0.34
11	0.13	0.027	7.1e-06	4.4e-05	0.26	4.4e-05	0.027	0	0.13	0	7.1e-06	0.13	0.13	2.1e-05	2.9e-06	0.13	0	0.00055	0.027	0.027	4	0.28	0.34
12	0.11	0.027	5.3e-06	0.0001	0.33	0.0001	0.027	0	0.11	0	5.3e-06	0.11	0.11	1.2e-06	2.3e-06	0.11	0	0.00067	0.027	0.027	4	0.28	0.34
13	0.028	0.13	0.022	2.6e-05	0.3	2.6e-05	0.13	0	0.028	0	0.022	0.028	0.028	0	0.00087	0.028	0	1.5e-06	0.13	0.13	4	0.28	0.34
14	0.085	0.038	0.00047	0.00039	0.42	0.00039	0.038	0	0.085	0	0.00047	0.085	0.085	6e-06	2.3e-05	0.085	7.8e-05	0.00078	0.038	0.038	4	0.28	0.34
15	0.025	0.14	0.00014	7.1e-06	0.32	7.1e-06	0.14	0	0.025	0	0.00014	0.025	0.025	0	0.00011	0.025	0	0	0.14	0.14	4	0.28	0.34
16	0.11	0.044	0.00066	8.1e-05	0.29	8.1e-05	0.044	0	0.11	0	0.00066	0.11	0.11	0.00087	3.4e-05	0.11	3.5e-06	0.00033	0.044	0.044	4	0.28	0.34
17	0.0086	0.00012	0	0	0.0017	0	0.00012	0	0.0086	0	0	0.0086	0.0086	0.95	0	0.0086	0	4.9e-05	0.00012	0.00012	13	0.11	0.33
18	0.024	0.00043	0	0	0.0057	0	0.00043	0	0.024	0	0	0.024	0.024	0.87	0	0.024	0	0.00012	0.00043	0.00043	13	0.11	0.33
19	0.094	0.014	0	0.00049	0.47	0.00049	0.014	0	0.094	0	0	0.094	0.094	0	0	0.094	0	0.0019	0.014	0.014	4	0.28	0.34
20	0.15	0.02	0	9e-06	0.16	9e-06	0.02	0	0.15	0	0	0.15	0.15	0.0017	0	0.15	0	0.00031	0.02	0.02	4	0.28	0.34
