SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster	dcf0	dcf1
0	0.15	0.12	0.03	1.5e-05	3.3e-05	0	0	0.15	1.5e-05	0	0.0039	0.12	0.42	0.0039	0	5e-05	12	0.28	0.34
1	0.15	0.11	0.023	1.3e-05	0	0	0	0.15	1.3e-05	0	0.0027	0.11	0.45	0.0027	0	4e-05	12	0.28	0.34
2	0.21	0.084	0.042	2e-05	0.00012	0	0	0.21	2e-05	0.00015	0.0027	0.084	0.36	0.0027	0	0.00028	12	0.28	0.34
3	0.29	0.06	0.083	0	0	0	0	0.29	0	4.1e-06	0.0017	0.06	0.21	0.0017	0	5.9e-05	0	0.25	0.34
4	0.19	0.092	0.035	3.1e-05	0.0005	0	0	0.19	3.1e-05	4.1e-05	0.0032	0.092	0.39	0.0032	0	0.00031	12	0.28	0.34
5	0.3	0.029	0.033	3.7e-05	0	0.00093	9.6e-05	0.3	3.7e-05	0.0033	0.0004	0.029	0.31	0.0004	0	0.0038	12	0.28	0.34
6	0.37	0.02	0.086	0	0	0	0	0.37	0	0.0021	0.00033	0.02	0.13	0.00033	0	0.00025	0	0.25	0.34
7	0.036	0.013	0.013	0	0.0003	0	0	0.036	0	0.06	0.0008	0.013	0.032	0.0008	0.8	2.2e-05	14	0	0.56
8	0.13	0.07	0.011	0.00013	4.4e-06	0	0	0.13	0.00013	0	0.0011	0.07	0.58	0.0011	0	0.00044	12	0.28	0.34
9	0	0	0	0	0	0.0046	1	0	0	3.6e-06	0	0	0	0	0	0	6	0.11	0.11
10	0.15	0.036	0.0075	0.0003	0	0	0	0.15	0.0003	0	0.00023	0.036	0.62	0.00023	0	0.0017	12	0.28	0.34
11	0.27	0.045	0.039	1.7e-05	0	0	0	0.27	1.7e-05	2.2e-05	0.00084	0.045	0.32	0.00084	0	0.001	12	0.28	0.34
12	0.24	0.043	0.025	4e-05	0	0	0	0.24	4e-05	1.3e-06	0.00059	0.043	0.41	0.00059	0	0.0012	12	0.28	0.34
13	0.062	0.22	0.016	1e-05	0.0029	0	0	0.062	1e-05	0	0.013	0.22	0.38	0.013	0	2.8e-06	12	0.28	0.34
