k	loglikelihood	observations	parameters	BIC
1	-554.299	716	4	1134.89
2	-488.533	716	6	1016.51
3	-479.729	716	8	1012.05
4	-479.309	716	10	1024.36
5	-475.546	716	12	1029.98
6	-475.293	716	14	1042.62
7	-476.017	716	16	1057.21
8	-475.104	716	18	1068.53
9	-475.075	716	20	1081.62
10	-475.051	716	22	1094.72
11	-474.795	716	24	1107.36
12	-474.802	716	26	1120.52
13	-474.392	716	28	1132.85
14	-474.243	716	30	1145.7
15	-474.146	716	32	1158.65
16	-474.078	716	34	1171.66
17	-474.809	716	36	1186.27
18	-474.077	716	38	1197.95
19	-474.156	716	40	1211.26
20	-474.16	716	42	1224.41
