SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster	dcf0	dcf1
0	0.62	0.35	0.031	0	0	0	0	0	0.28	0.38
1	0.61	0.36	0.032	0	0	0	0	0	0.28	0.38
2	0.43	0.5	0.073	0	0	0	0.00016	1	0.25	0.34
3	0.3	0.65	0.05	0	0	0	4.2e-06	1	0.25	0.34
4	0.48	0.45	0.071	0	0	0	4.4e-05	0	0.28	0.38
5	0.13	0.61	0.26	0	0.00082	8.5e-05	0.0031	1	0.25	0.34
6	0.096	0.79	0.11	0	0	0	0.0021	1	0.25	0.34
7	0.3	0.38	0.035	0	0	1.6e-06	0.29	1	0.25	0.34
8	0.49	0.41	0.1	0	0	0	0	0	0.28	0.38
9	0	0	0	0	0.0046	1	3.8e-06	5	0.11	0.11
10	0.26	0.49	0.25	0	0	0	0	1	0.25	0.34
11	0.22	0.62	0.15	0	0	0	2.3e-05	1	0.25	0.34
12	0.23	0.59	0.18	0	0	0	1.4e-06	1	0.25	0.34
13	0.88	0.11	0.004	0	0	0	0	0	0.28	0.38
14	0.36	0.48	0.16	0	8.8e-05	0	7.3e-06	1	0.25	0.34
15	0.9	0.096	0.0019	0	0	0	0	0	0.28	0.38
16	0.37	0.53	0.1	0	3.5e-06	0	0.00095	1	0.25	0.34
17	0.00092	0.039	0.012	0	0	0	0.95	6	0.11	0.33
18	0.0033	0.11	0.032	0	0	0	0.86	6	0.11	0.33
19	0.13	0.52	0.35	0	0	0	0	1	0.25	0.34
20	0.16	0.71	0.13	0	0	0	0.0018	1	0.25	0.34
21	0.021	0.55	0.27	0	0	0	0.16	1	0.25	0.34
22	0.47	0.49	0.046	0	0	0	0.0024	1	0.25	0.34
23	0.76	0.22	0.018	0	0	0	0	0	0.28	0.38
24	0.046	0.87	0.084	0	0	0	0.0019	1	0.25	0.34
25	0.4	0.53	0.071	0	0	0	0	1	0.25	0.34
26	0.34	0.59	0.075	0	0	0	0	1	0.25	0.34
27	0.78	0.22	0.0041	0	0	0	0	0	0.28	0.38
28	0.078	0.86	0.037	0	0	0	0.028	1	0.25	0.34
29	0.42	0.51	0.072	0	0	0	0	1	0.25	0.34
30	0.7	0.26	0.04	0	0	0	0	0	0.28	0.38
31	0.15	0.7	0.15	0	0	0	0	1	0.25	0.34
32	0.37	0.55	0.086	0	3.1e-06	0	0.0012	1	0.25	0.34
33	0.87	0.13	0.0078	0	0	0	0	0	0.28	0.38
34	0.6	0.36	0.041	0	0	0	4.2e-05	0	0.28	0.38
35	0.29	0.58	0.14	0	0	0	0	1	0.25	0.34
36	0.066	0.56	0.37	0	0	0	0	1	0.25	0.34
37	0.26	0.51	0.23	0	0.0024	2.7e-05	0.00015	1	0.25	0.34
38	0.58	0.41	0.01	0	0	0	2.2e-05	0	0.28	0.38
39	0.65	0.31	0.04	0	2.6e-06	0	4.3e-05	0	0.28	0.38
40	0.08	0.53	0.38	0	0.012	0.00072	0.0015	1	0.25	0.34
41	0	0	0	0	1	0.0021	0	4	0.22	0.11
42	0.41	0.45	0.14	0	0	0	0	1	0.25	0.34
43	0.28	0.59	0.098	0	4.2e-06	4.9e-06	0.035	1	0.25	0.34
44	0.27	0.59	0.098	0	4.4e-06	5.8e-06	0.041	1	0.25	0.34
45	0.43	0.5	0.063	0	0	0	4.9e-06	1	0.25	0.34
46	0.41	0.51	0.078	0	0	0	0	1	0.25	0.34
47	0.099	0.6	0.3	0	2e-05	0	2.6e-05	1	0.25	0.34
48	0.61	0.34	0.045	0	0	0	0	0	0.28	0.38
49	0.61	0.32	0.062	0	0	0	0	0	0.28	0.38
50	0.38	0.54	0.081	0	0	0	0.0043	1	0.25	0.34
51	0.34	0.57	0.091	0	0	0	0	1	0.25	0.34
52	0.76	0.24	0.006	0	0	0	0	0	0.28	0.38
53	0.14	0.71	0.14	0	0	0	0.0037	1	0.25	0.34
54	0.1	0.63	0.26	0	0	0	0	1	0.25	0.34
55	0.27	0.57	0.16	0	4.9e-05	0	7.8e-05	1	0.25	0.34
56	0.51	0.48	0.019	0	0	0	0	0	0.28	0.38
57	0.39	0.58	0.028	0	0	0	0	1	0.25	0.34
58	0.3	0.63	0.064	0	0	0	0	1	0.25	0.34
59	0.35	0.55	0.1	0	2.8e-06	0	0.0015	1	0.25	0.34
60	0.49	0.46	0.044	0	0	0	0.0034	0	0.28	0.38
61	0.34	0.45	0.21	0	0.0017	0	0	1	0.25	0.34
62	0	0	0	0	1.5e-06	1	0	5	0.11	0.11
63	0.52	0.45	0.028	0	0	0	0.00066	0	0.28	0.38
64	0.43	0.48	0.089	0	0	0	0	1	0.25	0.34
65	0.17	0.63	0.2	0	0	0	0	1	0.25	0.34
66	0.21	0.61	0.17	0	0	0	0	1	0.25	0.34
67	0.44	0.52	0.041	0	0	0	0	1	0.25	0.34
68	0.86	0.13	0.0041	0	0	0	0	0	0.28	0.38
69	0.091	0.61	0.3	0	4.3e-06	0	3.4e-06	1	0.25	0.34
70	0.45	0.52	0.037	0	0	0	2.6e-06	1	0.25	0.34
