SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster	dcf0	dcf1
0	0.09	0.18	0	0.046	0.18	0.09	0.046	0.0012	0.09	0.09	0	0	0.18	0	1	0.28	0.34
1	0.085	0.2	0	0.032	0.2	0.085	0.032	9.5e-05	0.085	0.085	0	0	0.2	0	1	0.28	0.34
2	0.12	0.15	0	0.031	0.15	0.12	0.031	0.0013	0.12	0.12	0	0	0.15	0.00015	1	0.28	0.34
3	0.17	0.092	0	0.02	0.092	0.17	0.02	2.2e-06	0.17	0.17	0	0	0.092	4.3e-06	0	0.25	0.34
4	0.11	0.17	0	0.035	0.17	0.11	0.035	0.0036	0.11	0.11	0	0	0.17	4.2e-05	1	0.28	0.34
5	0.16	0.12	0	0.0041	0.12	0.16	0.0041	9.7e-06	0.16	0.16	9.1e-05	0.00088	0.12	0.0031	0	0.25	0.34
6	0.21	0.053	0	0.0036	0.053	0.21	0.0036	0	0.21	0.21	0	0	0.053	0.0021	0	0.25	0.34
7	0.02	0.013	0.8	0.0088	0.013	0.02	0.0088	0.001	0.02	0.02	0	0	0.013	0.06	2	0	0.56
8	0.07	0.23	0	0.011	0.23	0.07	0.011	0.0002	0.07	0.07	0	0	0.23	0	1	0.28	0.34
9	0	0	0	0	0	0	0	0	0	0	1	0.0046	0	3.6e-06	10	0.11	0.11
10	0.074	0.23	0	0.0023	0.23	0.074	0.0023	5.6e-06	0.074	0.074	0	0	0.23	0	1	0.28	0.34
11	0.15	0.13	0	0.009	0.13	0.15	0.009	1.4e-05	0.15	0.15	0	0	0.13	2.1e-05	0	0.25	0.34
12	0.13	0.16	0	0.0062	0.16	0.13	0.0062	1e-05	0.13	0.13	0	0	0.16	1.2e-06	1	0.28	0.34
13	0.036	0.17	0	0.15	0.17	0.036	0.15	0.049	0.036	0.036	0	0	0.17	0	1	0.28	0.34
14	0.094	0.2	0	0.012	0.2	0.094	0.012	0.00089	0.094	0.094	0	7.3e-05	0.2	5.6e-06	1	0.28	0.34
15	0.038	0.21	0	0.11	0.21	0.038	0.11	0.00037	0.038	0.038	0	0	0.21	0	1	0.28	0.34
16	0.12	0.15	0	0.023	0.15	0.12	0.023	0.0013	0.12	0.12	0	3.5e-06	0.15	0.00088	1	0.28	0.34
17	0.01	0.00085	0	2.4e-05	0.00085	0.01	2.4e-05	0	0.01	0.01	0	0	0.00085	0.96	13	0.11	0.33
18	0.028	0.0029	0	9.3e-05	0.0029	0.028	9.3e-05	0	0.028	0.028	0	0	0.0029	0.88	13	0.11	0.33
19	0.095	0.21	0	0.00085	0.21	0.095	0.00085	0	0.095	0.095	0	0	0.21	0	1	0.28	0.34
20	0.18	0.085	0	0.0073	0.085	0.18	0.0073	1.9e-06	0.18	0.18	0	0	0.085	0.0018	0	0.25	0.34
21	0.17	0.039	0	0.00039	0.039	0.17	0.00039	0	0.17	0.17	0	0	0.039	0.19	13	0.11	0.33
22	0.13	0.12	0	0.056	0.12	0.13	0.056	0.0033	0.13	0.13	0	0	0.12	0.0025	0	0.25	0.34
23	0.045	0.26	0	0.021	0.26	0.045	0.021	2e-05	0.045	0.045	0	0	0.26	0	1	0.28	0.34
24	0.23	0.023	0	0.0016	0.023	0.23	0.0016	0	0.23	0.23	0	0	0.023	0.002	0	0.25	0.34
25	0.12	0.15	0	0.02	0.15	0.12	0.02	3.8e-05	0.12	0.12	0	0	0.15	0	1	0.28	0.34
26	0.13	0.15	0	0.012	0.15	0.13	0.012	2.8e-06	0.13	0.13	0	0	0.15	0	1	0.28	0.34
27	0.08	0.12	0	0.16	0.12	0.08	0.16	0.00014	0.08	0.08	0	0	0.12	0	3	0.28	0.41
28	0.23	0.017	0	0.0066	0.017	0.23	0.0066	0	0.23	0.23	0	0	0.017	0.029	0	0.25	0.34
29	0.11	0.18	0	0.015	0.18	0.11	0.015	1.8e-05	0.11	0.11	0	0	0.18	0	1	0.28	0.34
30	0.053	0.24	0	0.03	0.24	0.053	0.03	0.0039	0.053	0.053	0	0	0.24	0	1	0.28	0.34
31	0.16	0.12	0	0.0027	0.12	0.16	0.0027	0	0.16	0.16	0	0	0.12	0	0	0.25	0.34
32	0.14	0.13	0	0.032	0.13	0.14	0.032	0.0011	0.14	0.14	0	3.3e-06	0.13	0.0012	0	0.25	0.34
33	0.015	0.068	0	0.072	0.068	0.015	0.072	0.59	0.015	0.015	0	0	0.068	0	7	0.38	0.48
34	0.091	0.16	0	0.061	0.16	0.091	0.061	0.023	0.091	0.091	0	0	0.16	4.1e-05	1	0.28	0.34
35	0.12	0.17	0	0.0082	0.17	0.12	0.0082	8.9e-06	0.12	0.12	0	0	0.17	0	1	0.28	0.34
36	0.14	0.14	0	0.0006	0.14	0.14	0.0006	0	0.14	0.14	0	0	0.14	0	1	0.28	0.34
