SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster	dcf0	dcf1
0	0.34	0.52	0.14	0	0	0	1	0.28	0.34
1	0.33	0.57	0.095	0	0	0	1	0.28	0.34
2	0.47	0.44	0.092	0	0	0.00017	0	0.25	0.34
3	0.67	0.27	0.06	0	0	4.9e-06	0	0.25	0.34
4	0.42	0.48	0.11	0	0	4.7e-05	1	0.28	0.34
5	0.62	0.36	0.013	9.2e-05	0.00089	0.0036	0	0.25	0.34
6	0.83	0.16	0.011	0	0	0.0024	0	0.25	0.34
7	0.37	0.18	0.13	1.6e-06	0	0.32	0	0.25	0.34
8	0.28	0.69	0.034	0	0	0	1	0.28	0.34
9	0	0	0	1	0.0046	4.1e-06	3	0.11	0.11
10	0.3	0.7	0.0072	0	0	0	1	0.28	0.34
11	0.58	0.39	0.028	0	0	2.5e-05	0	0.25	0.34
12	0.5	0.48	0.019	0	0	1.4e-06	0	0.25	0.34
13	0.13	0.45	0.42	0	0	0	1	0.28	0.34
14	0.37	0.59	0.036	0	7.3e-05	6.5e-06	1	0.28	0.34
15	0.13	0.56	0.31	0	0	0	1	0.28	0.34
16	0.49	0.44	0.07	0	3.4e-06	0.001	0	0.25	0.34
17	0.035	0.0022	6.5e-05	0	0	0.96	5	0.11	0.33
18	0.099	0.0076	0.00025	0	0	0.89	5	0.11	0.33
19	0.38	0.62	0.0027	0	0	0	1	0.28	0.34
20	0.72	0.25	0.022	0	0	0.0021	0	0.25	0.34
21	0.67	0.11	0.0012	0	0	0.22	0	0.25	0.34
22	0.49	0.34	0.16	0	0	0.0028	0	0.25	0.34
23	0.18	0.76	0.065	0	0	0	1	0.28	0.34
24	0.92	0.07	0.0048	0	0	0.0023	0	0.25	0.34
25	0.48	0.45	0.062	0	0	0	0	0.25	0.34
26	0.53	0.44	0.036	0	0	0	0	0.25	0.34
27	0.27	0.3	0.42	0	0	0	2	0.28	0.41
28	0.9	0.05	0.02	0	0	0.033	0	0.25	0.34
29	0.43	0.52	0.046	0	0	0	1	0.28	0.34
30	0.2	0.71	0.09	0	0	0	1	0.28	0.34
31	0.63	0.36	0.0085	0	0	0	0	0.25	0.34
32	0.53	0.37	0.096	0	3.2e-06	0.0013	0	0.25	0.34
33	0.13	0.41	0.46	0	0	0	2	0.28	0.41
34	0.35	0.47	0.18	0	0	4.6e-05	1	0.28	0.34
35	0.48	0.49	0.025	0	0	0	1	0.28	0.34
36	0.56	0.43	0.0019	0	0	0	0	0.25	0.34
37	0.42	0.56	0.022	2.4e-05	0.002	0.00014	1	0.28	0.34
38	0.44	0.2	0.36	0	0	2.8e-05	0	0.25	0.34
39	0.29	0.48	0.23	0	2.6e-06	4.6e-05	1	0.28	0.34
40	0.58	0.4	0.0052	0.00085	0.014	0.0019	0	0.25	0.34
41	0	0	0	0.0021	1	0	4	0.22	0.11
42	0.33	0.64	0.032	0	0	0	1	0.28	0.34
43	0.58	0.31	0.068	5.2e-06	4.5e-06	0.04	0	0.25	0.34
44	0.59	0.3	0.066	6.1e-06	4.6e-06	0.046	0	0.25	0.34
45	0.47	0.45	0.078	0	0	5.2e-06	0	0.25	0.34
46	0.43	0.53	0.044	0	0	0	1	0.28	0.34
47	0.62	0.38	0.0065	0	2.2e-05	3e-05	0	0.25	0.34
48	0.3	0.59	0.11	0	0	0	1	0.28	0.34
49	0.19	0.76	0.06	0	0	0	1	0.28	0.34
50	0.52	0.38	0.095	0	0	0.0048	0	0.25	0.34
51	0.5	0.47	0.033	0	0	0	0	0.25	0.34
52	0.26	0.25	0.49	0	0	0	2	0.28	0.41
53	0.73	0.25	0.019	0	0	0.0043	0	0.25	0.34
54	0.58	0.42	0.004	0	0	0	0	0.25	0.34
55	0.51	0.45	0.035	0	4.7e-05	8.1e-05	0	0.25	0.34
56	0.53	0.32	0.16	0	0	0	0	0.25	0.34
57	0.62	0.29	0.09	0	0	0	0	0.25	0.34
58	0.61	0.34	0.044	0	0	0	0	0.25	0.34
59	0.52	0.4	0.073	0	2.8e-06	0.0016	0	0.25	0.34
60	0.46	0.34	0.2	0	0	0.0039	0	0.25	0.34
61	0.31	0.66	0.023	0	0.0012	0	1	0.28	0.34
62	0	0	0	1	1.5e-06	0	3	0.11	0.11
63	0.47	0.3	0.23	0	0	0.00079	0	0.25	0.34
64	0.34	0.64	0.025	0	0	0	1	0.28	0.34
65	0.57	0.42	0.012	0	0	0	0	0.25	0.34
66	0.4	0.6	0.0044	0	0	0	1	0.28	0.34
67	0.5	0.44	0.062	0	0	0	0	0.25	0.34
68	0.13	0.26	0.61	0	0	0	2	0.28	0.41
69	0.64	0.36	0.0058	0	4.8e-06	4e-06	0	0.25	0.34
70	0.53	0.35	0.11	0	0	3e-06	0	0.25	0.34
