SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster	dcf0	dcf1
0	0.21	0.044	8.3e-05	0.17	0.044	0.51	0.021	0	0	0	5	0.28	0.34
1	0.21	0.035	6.6e-05	0.16	0.035	0.56	0.01	0	0	0	5	0.28	0.34
2	0.3	0.063	0.00046	0.12	0.063	0.44	0.011	0.00017	0	0	5	0.28	0.34
3	0.41	0.12	9.7e-05	0.086	0.12	0.26	0.00089	4.6e-06	0	0	0	0.25	0.34
4	0.27	0.052	0.00052	0.13	0.052	0.48	0.017	4.6e-05	0	0	5	0.28	0.34
5	0.44	0.052	0.0066	0.043	0.052	0.4	0.00084	0.004	0.00097	0.0001	0	0.25	0.34
6	0.54	0.13	0.00044	0.03	0.13	0.16	6.9e-05	0.0025	0	0	0	0.25	0.34
7	0.23	0.091	0.00017	0.085	0.091	0.18	0.009	0.31	0	1.6e-06	7	0.11	0.33
8	0.18	0.016	0.0007	0.097	0.016	0.68	0.0094	0	0	0	5	0.28	0.34
9	0	0	0	0	0	0	0	4.1e-06	0.0046	1	9	0.11	0.11
10	0.2	0.011	0.0028	0.049	0.011	0.73	0.0019	0	0	0	5	0.28	0.34
11	0.4	0.06	0.0017	0.066	0.06	0.41	0.0014	2.6e-05	0	0	5	0.28	0.34
12	0.35	0.038	0.002	0.064	0.038	0.51	0.0016	1.5e-06	0	0	5	0.28	0.34
13	0.079	0.021	4.2e-06	0.29	0.021	0.42	0.16	0	0	0	5	0.28	0.34
14	0.24	0.026	0.0022	0.086	0.026	0.6	0.0096	6.5e-06	7.3e-05	0	5	0.28	0.34
15	0.077	0.018	0	0.33	0.018	0.5	0.057	0	0	0	5	0.28	0.34
16	0.32	0.06	0.00098	0.1	0.06	0.45	0.0093	0.001	3.4e-06	0	5	0.28	0.34
17	0.023	0.0052	0.00013	0.00025	0.0052	0.0022	0	0.96	0	0	7	0.11	0.33
18	0.065	0.015	0.00032	0.00091	0.015	0.0077	0	0.9	0	0	7	0.11	0.33
19	0.27	0.011	0.0053	0.031	0.011	0.67	0.0003	0	0	0	5	0.28	0.34
20	0.48	0.1	0.00099	0.05	0.1	0.26	0.00047	0.0021	0	0	0	0.25	0.34
21	0.49	0.059	0.0063	0.0088	0.059	0.13	9.9e-06	0.25	0	0	0	0.25	0.34
22	0.31	0.098	0.00021	0.14	0.098	0.34	0.014	0.0027	0	0	5	0.28	0.34
23	0.1	0.011	1.9e-05	0.16	0.011	0.7	0.012	0	0	0	5	0.28	0.34
24	0.55	0.18	0.00015	0.013	0.18	0.065	4.3e-06	0.0021	0	0	0	0.25	0.34
25	0.31	0.056	0.00031	0.11	0.056	0.46	0.0037	0	0	0	5	0.28	0.34
26	0.35	0.056	0.00023	0.091	0.056	0.45	0.0015	0	0	0	5	0.28	0.34
