SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster	dcf0	dcf1
0	0.25	0.19	8.4e-05	0.035	0.035	0.0084	0	3.3e-05	0	0	0.48	10	0.28	0.34
1	0.24	0.18	6.7e-05	0.027	0.027	0.0058	0	0	0	0	0.52	10	0.28	0.34
2	0.35	0.14	0.00047	0.05	0.05	0.0059	0.00017	0.00012	0	0	0.41	10	0.28	0.34
3	0.47	0.096	9.8e-05	0.096	0.096	0.0036	4.6e-06	0	0	0	0.24	0	0.25	0.34
4	0.31	0.15	0.00053	0.042	0.042	0.0068	4.6e-05	0.00051	0	0	0.45	10	0.28	0.34
5	0.49	0.048	0.0065	0.041	0.041	0.00088	0.0039	0	9.8e-05	0.00095	0.37	0	0.25	0.34
6	0.61	0.034	0.00043	0.1	0.1	0.00071	0.0024	0	0	0	0.15	0	0.25	0.34
7	0.27	0.096	0.00017	0.072	0.072	0.008	0.31	0.0014	1.6e-06	0	0.17	6	0.11	0.33
8	0.21	0.11	0.00072	0.013	0.013	0.0022	0	4.3e-06	0	0	0.66	10	0.28	0.34
9	0	0	0	0	0	0	4.1e-06	0	1	0.0046	0	8	0.11	0.11
10	0.23	0.055	0.0028	0.0085	0.0085	0.00048	0	0	0	0	0.69	10	0.28	0.34
11	0.45	0.073	0.0017	0.047	0.047	0.0018	2.5e-05	0	0	0	0.38	0	0.25	0.34
12	0.39	0.071	0.002	0.03	0.03	0.0013	1.4e-06	0	0	0	0.48	10	0.28	0.34
13	0.1	0.37	4.8e-06	0.019	0.019	0.029	0	0.003	0	0	0.46	10	0.28	0.34
14	0.28	0.097	0.0023	0.021	0.021	0.0024	6.6e-06	0.00011	0	7.4e-05	0.57	10	0.28	0.34
15	0.09	0.38	0	0.015	0.015	0.018	0	0	0	0	0.48	10	0.28	0.34
16	0.36	0.12	0.00099	0.047	0.047	0.0045	0.001	0.00018	0	3.4e-06	0.42	10	0.28	0.34
17	0.026	0.00028	0.00013	0.0041	0.0041	4.1e-06	0.96	0	0	0	0.0021	6	0.11	0.33
18	0.074	0.001	0.00032	0.012	0.012	1.6e-05	0.89	0	0	0	0.0072	6	0.11	0.33
19	0.31	0.035	0.0054	0.0091	0.0091	0.00018	0	0	0	0	0.64	10	0.28	0.34
20	0.54	0.055	0.00099	0.078	0.078	0.0015	0.0021	0	0	0	0.24	0	0.25	0.34
21	0.54	0.0095	0.0061	0.045	0.045	8.3e-05	0.24	0	0	0	0.12	0	0.25	0.34
22	0.36	0.16	0.00021	0.078	0.078	0.01	0.0027	0.00039	0	0	0.32	0	0.25	0.34
23	0.12	0.19	2e-05	0.0087	0.0087	0.0039	0	0	0	0	0.67	10	0.28	0.34
24	0.63	0.015	0.00015	0.15	0.15	0.00028	0.0021	0	0	0	0.061	0	0.25	0.34
25	0.36	0.12	0.00031	0.044	0.044	0.0039	0	0	0	0	0.43	10	0.28	0.34
26	0.39	0.1	0.00023	0.044	0.044	0.0023	0	0	0	0	0.42	10	0.28	0.34
27	0.21	0.34	1.8e-06	0.065	0.065	0.028	0	0	0	0	0.3	1	0.28	0.38
