SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0
0	0.1	0.041	0.026	0.048	0	0.1	0.041	0.1	0.017	0	0.041	0.1	0.029	0.041	0.017	0.1	0.1	0	0.032	0.041	0	0.14
1	0.13	0.027	0.018	0.00011	0	0.13	0.027	0.13	0.021	0	0.027	0.13	0.02	0.027	0.021	0.13	0.13	0	7.6e-05	0.027	0	0.14
2	0.16	0.00011	7.3e-05	0	0	0.16	0.00011	0.16	0.025	0	0.00011	0.16	8.1e-05	0.00011	0.025	0.16	0.16	0	0	0.00011	0	0.14
3	0.15	0.0066	0.0043	5.2e-06	0	0.15	0.0066	0.15	0.024	0	0.0066	0.15	0.0047	0.0066	0.024	0.15	0.15	0	3.5e-06	0.0066	0	0.14
4	5.1e-06	0	0	0	0.00094	5.1e-06	0	5.1e-06	0	1	0	5.1e-06	0	0	0	5.1e-06	5.1e-06	0.00094	0	0	9	0.016
5	0.15	0.0057	0.0037	0.00042	0.0023	0.15	0.0057	0.15	0.024	0	0.0057	0.15	0.0041	0.0057	0.024	0.15	0.15	0.0023	0.00028	0.0057	0	0.14
6	0.12	0	0	0	0.13	0.12	0	0.12	0.019	0	0	0.12	0	0	0.019	0.12	0.12	0.13	0	0	4	0.078
7	0.16	0.0018	0.0011	3.8e-06	0.00019	0.16	0.0018	0.16	0.025	0	0.0018	0.16	0.0013	0.0018	0.025	0.16	0.16	0.00019	2.6e-06	0.0018	0	0.14
8	0.15	0.004	0.0026	9.2e-06	2.9e-05	0.15	0.004	0.15	0.025	0	0.004	0.15	0.0028	0.004	0.025	0.15	0.15	2.9e-05	6.1e-06	0.004	0	0.14
9	0.14	0.017	0.011	0.00011	3e-06	0.14	0.017	0.14	0.022	0	0.017	0.14	0.012	0.017	0.022	0.14	0.14	3e-06	7.1e-05	0.017	0	0.14
10	0.16	0.00014	8.8e-05	0	0.0094	0.16	0.00014	0.16	0.025	0	0.00014	0.16	9.7e-05	0.00014	0.025	0.16	0.16	0.0094	0	0.00014	0	0.14
11	0.16	0.003	0.002	3.8e-06	2.2e-05	0.16	0.003	0.16	0.025	0	0.003	0.16	0.0022	0.003	0.025	0.16	0.16	2.2e-05	2.5e-06	0.003	0	0.14
12	0.14	0.018	0.012	0.0017	0.00013	0.14	0.018	0.14	0.022	0	0.018	0.14	0.013	0.018	0.022	0.14	0.14	0.00013	0.0012	0.018	0	0.14
