k	loglikelihood	observations	parameters	BIC
1	-11679.7	18969	2	23379
2	-10875.3	18969	3	21780.1
3	-10406.6	18969	4	20852.6
4	-10354.9	18969	5	20759
5	-10304.2	18969	6	20667.6
6	-10304.2	18969	7	20677.4
7	-10304.2	18969	8	20687.3
8	-10304.2	18969	9	20697.1
9	-10282.4	18969	10	20663.4
10	-10304.2	18969	11	20716.8
11	-10282.4	18969	12	20683.1
12	-10282.4	18969	13	20692.9
13	-10282.4	18969	14	20702.8
14	-10304.2	18969	15	20756.2
15	-10281.6	18969	16	20720.8
16	-10282.4	18969	17	20732.3
17	-10282.4	18969	18	20742.2
18	-10281.6	18969	19	20750.3
19	-10282.4	18969	20	20761.9
20	-10304.2	18969	21	20815.3
