SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster	dcf0
0	0.13	0.058	0.13	3.7e-06	0.13	0.13	0.058	0.037	0.13	0.078	0.037	0	0.037	0	0	0.033	2	0.14
1	0.16	0.039	0.16	0	0.16	0.16	0.039	0.025	0.16	0.00018	0.025	0	0.025	0	0	0.022	2	0.14
2	0.2	0.00016	0.2	0	0.2	0.2	0.00016	0.0001	0.2	0	0.0001	0	0.0001	0	0	9.2e-05	2	0.14
3	0.19	0.0093	0.19	3.2e-06	0.19	0.19	0.0093	0.006	0.19	8.4e-06	0.006	0	0.006	0	0	0.0054	2	0.14
4	6.4e-06	0	6.4e-06	0.0019	6.4e-06	6.4e-06	0	0	6.4e-06	0	0	0	0	0	1	0	14	0.016
5	0.19	0.0081	0.19	0.0047	0.19	0.19	0.0081	0.0052	0.19	0.00068	0.0052	0	0.0052	0	0	0.0047	2	0.14
6	0.15	0	0.15	0.25	0.15	0.15	0	0	0.15	0	0	0	0	4.9e-05	0	0	3	0.078
7	0.2	0.0025	0.2	0.00038	0.2	0.2	0.0025	0.0016	0.2	6.1e-06	0.0016	0	0.0016	0	0	0.0014	2	0.14
8	0.19	0.0056	0.19	5.8e-05	0.19	0.19	0.0056	0.0036	0.19	1.5e-05	0.0036	0	0.0036	0	0	0.0033	2	0.14
9	0.18	0.024	0.18	6e-06	0.18	0.18	0.024	0.016	0.18	0.00017	0.016	0	0.016	0	0	0.014	2	0.14
10	0.2	0.00019	0.2	0.019	0.2	0.2	0.00019	0.00012	0.2	0	0.00012	0	0.00012	4e-06	0	0.00011	2	0.14
11	0.2	0.0043	0.2	4.4e-05	0.2	0.2	0.0043	0.0028	0.2	6.1e-06	0.0028	0	0.0028	0	0	0.0025	2	0.14
12	0.18	0.026	0.18	0.00026	0.18	0.18	0.026	0.017	0.18	0.0028	0.017	0	0.017	0	0	0.015	2	0.14
13	0.2	5.2e-05	0.2	0.023	0.2	0.2	5.2e-05	3.4e-05	0.2	0	3.4e-05	0	3.4e-05	5.3e-06	0	3e-05	2	0.14
14	0.2	0.00022	0.2	1e-05	0.2	0.2	0.00022	0.00014	0.2	0	0.00014	0	0.00014	0	0	0.00013	2	0.14
15	0.2	0.0015	0.2	0	0.2	0.2	0.0015	0.00098	0.2	0	0.00098	0	0.00098	0	0	0.00088	2	0.14
16	0	0	0	2.7e-06	0	0	0	0	0	0	0	0	0	0	1	0	14	0.016
17	0.2	0.002	0.2	0	0.2	0.2	0.002	0.0013	0.2	0	0.0013	0	0.0013	0	0	0.0012	2	0.14
18	0.2	0.00065	0.2	5.4e-05	0.2	0.2	0.00065	0.00042	0.2	0	0.00042	0	0.00042	0	0	0.00038	2	0.14
19	0.14	0.049	0.14	0	0.14	0.14	0.049	0.032	0.14	0.058	0.032	0	0.032	0	0	0.028	2	0.14
