SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster	dcf0
0	0.59	0.26	0.03	0.07	0.05	0	3.7e-06	0	0.14
1	0.74	0.17	7.2e-05	0.087	0.00012	0	0	0	0.14
2	0.89	0.00072	0	0.11	0	0	0	0	0.14
3	0.86	0.042	3.3e-06	0.1	5.4e-06	0	3.2e-06	0	0.14
4	2.9e-05	0	0	3.4e-06	0	1	0.0019	5	0.016
5	0.86	0.036	0.00027	0.1	0.00044	0	0.0047	0	0.14
6	0.67	0	0	0.079	0	0	0.25	0	0.14
7	0.88	0.011	2.4e-06	0.1	4e-06	0	0.00038	0	0.14
8	0.87	0.025	5.8e-06	0.1	9.5e-06	0	5.8e-05	0	0.14
9	0.8	0.11	6.7e-05	0.094	0.00011	0	6e-06	0	0.14
10	0.88	0.00086	0	0.1	0	0	0.019	0	0.14
11	0.88	0.019	2.4e-06	0.1	3.9e-06	0	4.4e-05	0	0.14
12	0.79	0.12	0.0011	0.093	0.0018	0	0.00026	0	0.14
13	0.87	0.00024	0	0.1	0	0	0.023	0	0.14
14	0.89	0.001	0	0.11	0	0	1e-05	0	0.14
15	0.89	0.0068	0	0.11	0	0	0	0	0.14
16	0	0	0	0	0	1	2.7e-06	5	0.016
17	0.89	0.0091	0	0.1	0	0	0	0	0.14
18	0.89	0.0029	0	0.11	0	0	5.4e-05	0	0.14
19	0.64	0.22	0.023	0.076	0.037	0	0	0	0.14
20	0.29	0.66	0.0021	0.035	0.0034	0	0	1	0.22
21	0.5	0.43	0.0033	0.06	0.0054	0	0	0	0.14
22	0.87	0.027	3.9e-06	0.1	6.5e-06	0	2.6e-05	0	0.14
23	0.87	0.022	0	0.1	0	0	5.3e-06	0	0.14
24	0.89	0.0033	0	0.11	0	0	1.8e-05	0	0.14
25	0.72	0.19	0.00064	0.086	0.0011	0	1.3e-05	0	0.14
26	0.89	0.0078	0	0.1	0	0	1.2e-05	0	0.14
27	0.61	0.3	0.0054	0.072	0.0089	0	3.5e-06	0	0.14
28	0.83	0.07	4.1e-05	0.098	6.8e-05	0	1.9e-05	0	0.14
29	0.88	0.017	8.1e-06	0.1	1.3e-05	0	0.00044	0	0.14
30	0.64	0.28	6.2e-06	0.076	1e-05	0	0	0	0.14
31	0.88	0.014	0	0.1	0	0	1.7e-05	0	0.14
32	0.83	0.068	0.00033	0.098	0.00054	0	0.00047	0	0.14
33	0.88	0.014	0	0.1	0	0	2.6e-05	0	0.14
34	0.34	0.62	0	0.04	3e-06	0	0	1	0.22
35	0.79	0.12	0	0.093	0	0	0	0	0.14
36	0.53	0.4	0.00045	0.063	0.00074	0	0	0	0.14
37	0.54	0.4	0.00091	0.064	0.0015	0	0	0	0.14
38	0.83	0.069	1.3e-05	0.099	2.1e-05	0	3.4e-06	0	0.14
39	0.82	0.081	0.00024	0.097	0.0004	0	0.00015	0	0.14
