SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster	dcf0
0	0.59	0.085	3.7e-06	0.085	0.074	0.04	0.049	0.048	0	0.032	0	0.14
1	0.73	0.057	0	0.057	0.092	0.027	0.00012	0.032	0	7.4e-05	0	0.14
2	0.89	0.00024	0	0.00024	0.11	0.00011	0	0.00013	0	0	0	0.14
3	0.85	0.014	3.2e-06	0.014	0.11	0.0065	5.3e-06	0.0078	0	3.4e-06	0	0.14
4	2.9e-05	0	0.0019	0	3.6e-06	0	0	0	1	0	8	0.016
5	0.85	0.012	0.0047	0.012	0.11	0.0056	0.00043	0.0068	0	0.00028	0	0.14
6	0.66	0	0.25	0	0.083	0	0	0	0	0	0	0.14
7	0.88	0.0037	0.00038	0.0037	0.11	0.0017	3.9e-06	0.0021	0	2.5e-06	0	0.14
8	0.87	0.0084	5.8e-05	0.0084	0.11	0.0039	9.3e-06	0.0047	0	6e-06	0	0.14
9	0.79	0.036	6e-06	0.036	0.099	0.017	0.00011	0.02	0	6.9e-05	0	0.14
10	0.87	0.00028	0.019	0.00028	0.11	0.00013	0	0.00016	0	0	0	0.14
11	0.87	0.0064	4.4e-05	0.0064	0.11	0.003	3.8e-06	0.0036	0	2.5e-06	0	0.14
12	0.78	0.038	0.00026	0.038	0.098	0.018	0.0018	0.022	0	0.0011	0	0.14
13	0.87	7.8e-05	0.023	7.8e-05	0.11	3.6e-05	0	4.4e-05	0	0	0	0.14
14	0.89	0.00033	1e-05	0.00033	0.11	0.00016	0	0.00019	0	0	0	0.14
15	0.88	0.0023	0	0.0023	0.11	0.0011	0	0.0013	0	0	0	0.14
16	0	0	2.7e-06	0	0	0	0	0	1	0	8	0.016
17	0.88	0.003	0	0.003	0.11	0.0014	0	0.0017	0	0	0	0.14
18	0.89	0.00096	5.4e-05	0.00096	0.11	0.00045	0	0.00054	0	0	0	0.14
19	0.64	0.072	0	0.072	0.08	0.034	0.037	0.041	0	0.024	0	0.14
20	0.29	0.22	0	0.22	0.037	0.1	0.0034	0.12	0	0.0022	0	0.14
21	0.5	0.14	0	0.14	0.063	0.066	0.0052	0.08	0	0.0034	0	0.14
22	0.86	0.0088	2.6e-05	0.0088	0.11	0.0041	6.4e-06	0.0049	0	4.1e-06	0	0.14
23	0.87	0.0073	5.3e-06	0.0073	0.11	0.0034	0	0.0041	0	0	0	0.14
24	0.89	0.0011	1.8e-05	0.0011	0.11	0.00052	0	0.00062	0	0	0	0.14
25	0.72	0.062	1.3e-05	0.062	0.09	0.029	0.001	0.035	0	0.00066	0	0.14
26	0.88	0.0026	1.2e-05	0.0026	0.11	0.0012	0	0.0015	0	0	0	0.14
27	0.61	0.099	3.5e-06	0.099	0.076	0.047	0.0087	0.056	0	0.0056	0	0.14
28	0.83	0.023	1.9e-05	0.023	0.1	0.011	6.6e-05	0.013	0	4.3e-05	0	0.14
29	0.87	0.0057	0.00044	0.0057	0.11	0.0027	1.3e-05	0.0032	0	8.4e-06	0	0.14
30	0.64	0.092	0	0.092	0.08	0.043	1e-05	0.052	0	6.4e-06	0	0.14
31	0.88	0.0045	1.7e-05	0.0045	0.11	0.0021	0	0.0025	0	0	0	0.14
32	0.83	0.023	0.00047	0.023	0.1	0.011	0.00053	0.013	0	0.00034	0	0.14
33	0.88	0.0047	2.6e-05	0.0047	0.11	0.0022	0	0.0026	0	0	0	0.14
34	0.33	0.21	0	0.21	0.042	0.097	2.9e-06	0.12	0	0	0	0.14
35	0.78	0.039	0	0.039	0.098	0.018	0	0.022	0	0	0	0.14
36	0.53	0.13	0	0.13	0.066	0.062	0.00073	0.075	0	0.00047	0	0.14
37	0.53	0.13	0	0.13	0.067	0.061	0.0015	0.074	0	0.00095	0	0.14
38	0.83	0.023	3.4e-06	0.023	0.1	0.011	2.1e-05	0.013	0	1.3e-05	0	0.14
39	0.82	0.027	0.00015	0.027	0.1	0.012	0.00039	0.015	0	0.00025	0	0.14
40	0.82	0.024	4.9e-05	0.024	0.1	0.011	0.00014	0.014	0	9.3e-05	0	0.14
41	0.89	0.00093	0	0.00093	0.11	0.00044	0	0.00052	0	0	0	0.14
42	0.89	0.0012	0.00012	0.0012	0.11	0.00057	0	0.00069	0	0	0	0.14
43	0.82	0.027	0	0.027	0.1	0.013	0	0.015	0	0	0	0.14
44	0.86	0.012	0.00015	0.012	0.11	0.0057	4.6e-05	0.0069	0	3e-05	0	0.14
45	0.89	0.001	0	0.001	0.11	0.00048	0	0.00058	0	0	0	0.14
46	0.85	0.014	3.7e-05	0.014	0.11	0.0068	2.9e-05	0.0082	0	1.9e-05	0	0.14
47	0.83	0.021	0.00014	0.021	0.1	0.0096	0.00023	0.012	0	0.00015	0	0.14
48	0.67	0.077	0	0.077	0.084	0.036	0.0077	0.044	0	0.0049	0	0.14
49	0.76	0.047	6.5e-05	0.047	0.095	0.022	0.0025	0.027	0	0.0016	0	0.14
50	0.53	0.13	0	0.13	0.066	0.063	0.00077	0.075	0	0.0005	0	0.14
51	0.8	0.031	0	0.031	0.1	0.015	0	0.018	0	0	0	0.14
52	0.71	0.067	2.5e-06	0.067	0.089	0.031	0.00057	0.037	0	0.00036	0	0.14
53	0.87	9.3e-05	0.025	9.3e-05	0.11	4.4e-05	0	5.3e-05	0	0	0	0.14
54	0.75	0.047	8.5e-05	0.047	0.094	0.022	0.0082	0.027	0	0.0053	0	0.14
