SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster	dcf0
0	0.26	0.59	0.038	0.071	0	0.021	0.021	3.7e-06	1	0.14
1	0.17	0.74	9.1e-05	0.089	0	5e-05	5e-05	0	1	0.14
2	0.00072	0.89	0	0.11	0	0	0	0	1	0.14
3	0.042	0.86	4.2e-06	0.1	0	2.3e-06	2.3e-06	3.2e-06	1	0.14
4	0	2.9e-05	0	3.4e-06	1	0	0	0.0019	4	0.016
5	0.036	0.86	0.00034	0.1	0	0.00018	0.00018	0.0047	1	0.14
6	0	0.67	0	0.08	0	0	0	0.25	1	0.14
7	0.011	0.88	3e-06	0.11	0	0	0	0.00038	1	0.14
8	0.025	0.87	7.3e-06	0.1	0	4e-06	4e-06	5.8e-05	1	0.14
9	0.11	0.8	8.4e-05	0.096	0	4.6e-05	4.6e-05	6e-06	1	0.14
10	0.00086	0.88	0	0.11	0	0	0	0.019	1	0.14
11	0.019	0.88	3e-06	0.11	0	0	0	4.4e-05	1	0.14
12	0.12	0.79	0.0014	0.094	0	0.00076	0.00076	0.00026	1	0.14
13	0.00024	0.87	0	0.1	0	0	0	0.023	1	0.14
14	0.001	0.89	0	0.11	0	0	0	1e-05	1	0.14
15	0.0068	0.89	0	0.11	0	0	0	0	1	0.14
16	0	0	0	0	1	0	0	2.7e-06	4	0.016
17	0.0091	0.88	0	0.11	0	0	0	0	1	0.14
18	0.0029	0.89	0	0.11	0	0	0	5.4e-05	1	0.14
19	0.22	0.64	0.029	0.077	0	0.016	0.016	0	1	0.14
20	0.66	0.29	0.0026	0.035	0	0.0014	0.0014	0	0	0.22
21	0.43	0.5	0.0041	0.06	0	0.0023	0.0023	0	1	0.14
22	0.027	0.87	5e-06	0.1	0	2.7e-06	2.7e-06	2.6e-05	1	0.14
23	0.022	0.87	0	0.1	0	0	0	5.3e-06	1	0.14
24	0.0033	0.89	0	0.11	0	0	0	1.8e-05	1	0.14
25	0.19	0.72	0.00081	0.087	0	0.00044	0.00044	1.3e-05	1	0.14
26	0.0078	0.89	0	0.11	0	0	0	1.2e-05	1	0.14
27	0.3	0.61	0.0068	0.074	0	0.0037	0.0037	3.5e-06	1	0.14
28	0.07	0.83	5.2e-05	0.1	0	2.8e-05	2.8e-05	1.9e-05	1	0.14
29	0.017	0.88	1e-05	0.11	0	5.6e-06	5.6e-06	0.00044	1	0.14
30	0.28	0.64	7.8e-06	0.077	0	4.3e-06	4.3e-06	0	1	0.14
31	0.014	0.88	0	0.11	0	0	0	1.7e-05	1	0.14
32	0.068	0.83	0.00041	0.1	0	0.00023	0.00023	0.00047	1	0.14
33	0.014	0.88	0	0.11	0	0	0	2.6e-05	1	0.14
34	0.62	0.34	2.3e-06	0.04	0	0	0	0	0	0.22
35	0.12	0.79	0	0.095	0	0	0	0	1	0.14
36	0.4	0.53	0.00057	0.064	0	0.00031	0.00031	0	1	0.14
37	0.4	0.54	0.0012	0.064	0	0.00063	0.00063	0	1	0.14
38	0.069	0.83	1.6e-05	0.1	0	8.9e-06	8.9e-06	3.4e-06	1	0.14
39	0.081	0.82	0.00031	0.099	0	0.00017	0.00017	0.00015	1	0.14
40	0.074	0.83	0.00011	0.099	0	6.2e-05	6.2e-05	4.9e-05	1	0.14
41	0.0028	0.89	0	0.11	0	0	0	0	1	0.14
42	0.0037	0.89	0	0.11	0	0	0	0.00012	1	0.14
43	0.082	0.82	0	0.099	0	0	0	0	1	0.14
44	0.037	0.86	3.6e-05	0.1	0	2e-05	2e-05	0.00015	1	0.14
45	0.0031	0.89	0	0.11	0	0	0	0	1	0.14
46	0.044	0.85	2.3e-05	0.1	0	1.3e-05	1.3e-05	3.7e-05	1	0.14
47	0.062	0.84	0.00018	0.1	0	9.9e-05	9.9e-05	0.00014	1	0.14
48	0.23	0.67	0.006	0.081	0	0.0033	0.0033	0	1	0.14
49	0.14	0.76	0.0019	0.092	0	0.0011	0.0011	6.5e-05	1	0.14
50	0.4	0.53	0.00061	0.064	0	0.00033	0.00033	0	1	0.14
51	0.094	0.81	0	0.097	0	0	0	0	1	0.14
52	0.2	0.71	0.00045	0.086	0	0.00024	0.00024	2.5e-06	1	0.14
53	0.00028	0.87	0	0.1	0	0	0	0.025	1	0.14
54	0.14	0.75	0.0064	0.09	0	0.0035	0.0035	8.5e-05	1	0.14
55	0.019	0.88	1.4e-06	0.11	0	0	0	9.6e-06	1	0.14
56	0.00029	0.6	0	0.072	0.083	0	0	0.25	1	0.14
57	0.026	0.87	4.2e-06	0.1	0	2.3e-06	2.3e-06	1.6e-05	1	0.14
58	0.018	0.88	1.6e-06	0.11	0	0	0	1.7e-05	1	0.14
59	0.13	0.78	0.0017	0.093	0	0.00092	0.00092	0.0001	1	0.14
60	0.32	0.6	0.0042	0.072	0	0.0023	0.0023	0	1	0.14
61	0.13	0.77	0	0.093	0	0	0	0	1	0.14
62	0.00054	0.84	0	0.1	8.1e-06	0	0	0.064	1	0.14
63	0.046	0.85	1e-05	0.1	0	5.5e-06	5.5e-06	6e-06	1	0.14
64	0.00028	0.89	0	0.11	0	0	0	0	1	0.14
65	0.049	0.85	2.1e-05	0.1	0	1.2e-05	1.2e-05	1.5e-05	1	0.14
66	0.025	0.87	1.2e-05	0.1	0	6.5e-06	6.5e-06	9.2e-05	1	0.14
