SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster	dcf0
0	0.15	3.7e-06	0.052	0.15	0.032	0.15	0	0.078	0.026	0.032	0.15	0.028	0	0.052	0.032	0.026	0.032	0	0.14
1	0.19	0	0.035	0.19	0.021	0.19	0	0.00018	0.032	0.021	0.19	0.019	0	0.035	0.021	0.032	0.021	0	0.14
2	0.23	0	0.00014	0.23	8.9e-05	0.23	0	0	0.039	8.9e-05	0.23	7.8e-05	0	0.00014	8.9e-05	0.039	8.9e-05	0	0.14
3	0.22	3.2e-06	0.0084	0.22	0.0052	0.22	0	8.4e-06	0.038	0.0052	0.22	0.0046	0	0.0084	0.0052	0.038	0.0052	0	0.14
4	7.4e-06	0.0019	0	7.4e-06	0	7.4e-06	0	0	0	0	7.4e-06	0	1	0	0	0	0	12	0.016
5	0.22	0.0047	0.0073	0.22	0.0045	0.22	0	0.00068	0.038	0.0045	0.22	0.004	0	0.0073	0.0045	0.038	0.0045	0	0.14
6	0.17	0.25	0	0.17	0	0.17	0	0	0.029	0	0.17	0	0	0	0	0.029	0	1	0.078
7	0.23	0.00038	0.0023	0.23	0.0014	0.23	0	6.1e-06	0.039	0.0014	0.23	0.0012	0	0.0023	0.0014	0.039	0.0014	0	0.14
8	0.22	5.8e-05	0.0051	0.22	0.0031	0.22	0	1.5e-05	0.038	0.0031	0.22	0.0028	0	0.0051	0.0031	0.038	0.0031	0	0.14
9	0.21	6e-06	0.022	0.21	0.013	0.21	0	0.00017	0.035	0.013	0.21	0.012	0	0.022	0.013	0.035	0.013	0	0.14
10	0.23	0.019	0.00017	0.23	0.00011	0.23	0	0	0.038	0.00011	0.23	9.4e-05	0	0.00017	0.00011	0.038	0.00011	0	0.14
11	0.23	4.4e-05	0.0039	0.23	0.0024	0.23	0	6.1e-06	0.038	0.0024	0.23	0.0021	0	0.0039	0.0024	0.038	0.0024	0	0.14
12	0.2	0.00026	0.024	0.2	0.014	0.2	0	0.0028	0.035	0.014	0.2	0.013	0	0.024	0.014	0.035	0.014	0	0.14
13	0.22	0.023	4.7e-05	0.22	2.9e-05	0.22	0	0	0.038	2.9e-05	0.22	2.6e-05	0	4.7e-05	2.9e-05	0.038	2.9e-05	0	0.14
14	0.23	1e-05	0.0002	0.23	0.00012	0.23	0	0	0.039	0.00012	0.23	0.00011	0	0.0002	0.00012	0.039	0.00012	0	0.14
15	0.23	0	0.0014	0.23	0.00084	0.23	0	0	0.039	0.00084	0.23	0.00074	0	0.0014	0.00084	0.039	0.00084	0	0.14
16	0	2.7e-06	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	12	0.016
17	0.23	0	0.0018	0.23	0.0011	0.23	0	0	0.039	0.0011	0.23	0.00099	0	0.0018	0.0011	0.039	0.0011	0	0.14
18	0.23	5.4e-05	0.00059	0.23	0.00036	0.23	0	0	0.039	0.00036	0.23	0.00032	0	0.00059	0.00036	0.039	0.00036	0	0.14
19	0.17	0	0.044	0.17	0.027	0.17	0	0.058	0.028	0.027	0.17	0.024	0	0.044	0.027	0.028	0.027	0	0.14
20	0.076	0	0.13	0.076	0.082	0.076	0	0.0053	0.013	0.082	0.076	0.072	0	0.13	0.082	0.013	0.082	2	0.22
21	0.13	0	0.086	0.13	0.053	0.13	0	0.0083	0.022	0.053	0.13	0.046	0	0.086	0.053	0.022	0.053	0	0.14
22	0.22	2.6e-05	0.0054	0.22	0.0033	0.22	0	1e-05	0.038	0.0033	0.22	0.0029	0	0.0054	0.0033	0.038	0.0033	0	0.14
23	0.23	5.3e-06	0.0045	0.23	0.0027	0.23	0	2.3e-06	0.038	0.0027	0.23	0.0024	0	0.0045	0.0027	0.038	0.0027	0	0.14
24	0.23	1.8e-05	0.00067	0.23	0.00041	0.23	0	0	0.039	0.00041	0.23	0.00036	0	0.00067	0.00041	0.039	0.00041	0	0.14
25	0.19	1.3e-05	0.038	0.19	0.023	0.19	0	0.0016	0.032	0.023	0.19	0.021	0	0.038	0.023	0.032	0.023	0	0.14
26	0.23	1.2e-05	0.0016	0.23	0.00096	0.23	0	0	0.039	0.00096	0.23	0.00085	0	0.0016	0.00096	0.039	0.00096	0	0.14
27	0.16	3.5e-06	0.06	0.16	0.037	0.16	0	0.014	0.027	0.037	0.16	0.033	0	0.06	0.037	0.027	0.037	0	0.14
28	0.21	1.9e-05	0.014	0.21	0.0086	0.21	0	0.0001	0.036	0.0086	0.21	0.0076	0	0.014	0.0086	0.036	0.0086	0	0.14
29	0.23	0.00044	0.0035	0.23	0.0021	0.23	0	2.1e-05	0.039	0.0021	0.23	0.0019	0	0.0035	0.0021	0.039	0.0021	0	0.14
30	0.17	0	0.056	0.17	0.034	0.17	0	1.6e-05	0.028	0.034	0.17	0.03	0	0.056	0.034	0.028	0.034	0	0.14
31	0.23	1.7e-05	0.0027	0.23	0.0017	0.23	0	0	0.039	0.0017	0.23	0.0015	0	0.0027	0.0017	0.039	0.0017	0	0.14
32	0.21	0.00047	0.014	0.21	0.0084	0.21	0	0.00084	0.036	0.0084	0.21	0.0074	0	0.014	0.0084	0.036	0.0084	0	0.14
33	0.23	2.6e-05	0.0028	0.23	0.0017	0.23	0	0	0.039	0.0017	0.23	0.0015	0	0.0028	0.0017	0.039	0.0017	0	0.14
34	0.086	0	0.13	0.086	0.077	0.086	0	4.6e-06	0.015	0.077	0.086	0.068	0	0.13	0.077	0.015	0.077	2	0.22
35	0.2	0	0.024	0.2	0.015	0.2	0	3e-06	0.035	0.015	0.2	0.013	0	0.024	0.015	0.035	0.015	0	0.14
36	0.14	0	0.081	0.14	0.049	0.14	0	0.0012	0.023	0.049	0.14	0.044	0	0.081	0.049	0.023	0.049	0	0.14
37	0.14	0	0.08	0.14	0.049	0.14	0	0.0023	0.024	0.049	0.14	0.043	0	0.08	0.049	0.024	0.049	0	0.14
38	0.21	3.4e-06	0.014	0.21	0.0084	0.21	0	3.3e-05	0.037	0.0084	0.21	0.0075	0	0.014	0.0084	0.037	0.0084	0	0.14
39	0.21	0.00015	0.016	0.21	0.0099	0.21	0	0.00062	0.036	0.0099	0.21	0.0088	0	0.016	0.0099	0.036	0.0099	0	0.14
40	0.21	4.9e-05	0.015	0.21	0.0091	0.21	0	0.00023	0.036	0.0091	0.21	0.008	0	0.015	0.0091	0.036	0.0091	0	0.14
