SNV	cluster0	cluster1	cluster2	cluster3	cluster	dcf0
0	0.67	0.33	3.8e-06	0	0	0.14
1	0.79	0.21	0	0	0	0.14
2	1	0.00089	0	0	0	0.14
3	0.95	0.052	3.2e-06	0	0	0.14
4	3.2e-05	0	0.0019	1	3	0.016
5	0.95	0.045	0.0047	0	0	0.14
6	0.74	0	0.26	0	0	0.14
7	0.99	0.014	0.00038	0	0	0.14
8	0.97	0.031	5.8e-05	0	0	0.14
9	0.87	0.13	5.9e-06	0	0	0.14
10	0.98	0.0011	0.019	0	0	0.14
11	0.98	0.024	4.4e-05	0	0	0.14
12	0.86	0.14	0.00025	0	0	0.14
13	0.98	0.00029	0.024	0	0	0.14
14	1	0.0012	1e-05	0	0	0.14
15	0.99	0.0085	0	0	0	0.14
16	0	0	2.7e-06	1	3	0.016
17	0.99	0.011	0	0	0	0.14
18	1	0.0036	5.4e-05	0	0	0.14
19	0.73	0.27	0	0	0	0.14
20	0.29	0.71	0	0	1	0.22
21	0.51	0.49	0	0	0	0.14
22	0.97	0.033	2.6e-05	0	0	0.14
23	0.97	0.028	5.4e-06	0	0	0.14
24	1	0.0042	1.8e-05	0	0	0.14
25	0.78	0.22	1.3e-05	0	0	0.14
26	0.99	0.0097	1.2e-05	0	0	0.14
27	0.65	0.35	3.3e-06	0	0	0.14
28	0.91	0.085	1.9e-05	0	0	0.14
29	0.98	0.021	0.00045	0	0	0.14
30	0.67	0.33	0	0	0	0.14
31	0.98	0.017	1.7e-05	0	0	0.14
32	0.92	0.084	0.00047	0	0	0.14
33	0.98	0.017	2.7e-05	0	0	0.14
34	0.33	0.67	0	0	1	0.22
35	0.86	0.14	0	0	0	0.14
36	0.54	0.46	0	0	0	0.14
37	0.55	0.45	0	0	0	0.14
38	0.92	0.084	3.4e-06	0	0	0.14
39	0.9	0.098	0.00015	0	0	0.14
40	0.91	0.09	4.8e-05	0	0	0.14
41	1	0.0035	0	0	0	0.14
42	1	0.0046	0.00012	0	0	0.14
43	0.9	0.1	0	0	0	0.14
44	0.95	0.046	0.00015	0	0	0.14
45	1	0.0039	0	0	0	0.14
46	0.95	0.054	3.7e-05	0	0	0.14
47	0.92	0.076	0.00014	0	0	0.14
48	0.72	0.28	0	0	0	0.14
49	0.83	0.17	6.4e-05	0	0	0.14
50	0.54	0.46	0	0	0	0.14
51	0.89	0.11	0	0	0	0.14
52	0.76	0.24	2.4e-06	0	0	0.14
53	0.97	0.00035	0.025	0	0	0.14
54	0.82	0.18	8.4e-05	0	0	0.14
55	0.98	0.024	9.6e-06	0	0	0.14
56	0.67	0.00036	0.25	0.083	0	0.14
57	0.97	0.032	1.6e-05	0	0	0.14
58	0.98	0.022	1.7e-05	0	0	0.14
59	0.85	0.15	0.0001	0	0	0.14
60	0.63	0.37	0	0	0	0.14
61	0.84	0.16	0	0	0	0.14
62	0.94	0.00067	0.064	8.2e-06	0	0.14
63	0.94	0.057	6e-06	0	0	0.14
64	1	0.00035	0	0	0	0.14
65	0.94	0.06	1.5e-05	0	0	0.14
66	0.97	0.031	9.2e-05	0	0	0.14
67	0.8	0.2	4.2e-06	0	0	0.14
68	0.98	0.022	0	0	0	0.14
69	0.83	0.17	0	0	0	0.14
70	0.97	0.032	7.6e-06	0	0	0.14
71	0.95	0.052	0.0018	0	0	0.14
72	0.77	0.23	0	0	0	0.14
73	0.73	0.27	3e-06	0	0	0.14
74	0.82	0.18	1.2e-05	0	0	0.14
75	0.99	0.01	8.5e-05	0	0	0.14
76	0.84	0.16	0	0	0	0.14
77	0.99	0.0089	0	0	0	0.14
78	0.92	0.0044	0.067	0.0046	0	0.14
79	0.97	0.00035	0.025	0	0	0.14
80	0.96	0.036	8.9e-06	0	0	0.14
