SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster	dcf0
0	0.58	0.13	0.072	3.7e-06	0.078	0	0.061	0.077	0	0	0.14
1	0.73	0.086	0.048	0	0.00018	0	0.041	0.096	0	0	0.14
2	0.88	0.00035	0.0002	0	0	0	0.00017	0.12	0	0	0.14
3	0.85	0.021	0.012	3.2e-06	8.4e-06	0	0.0098	0.11	0	0	0.14
4	2.8e-05	0	0	0.0019	0	0	0	3.7e-06	1	8	0.016
5	0.85	0.018	0.01	0.0047	0.00068	0	0.0085	0.11	0	0	0.14
6	0.66	0	0	0.25	0	0	0	0.087	0	0	0.14
7	0.87	0.0055	0.0031	0.00038	6.1e-06	0	0.0026	0.11	0	0	0.14
8	0.86	0.012	0.007	5.8e-05	1.5e-05	0	0.0059	0.11	0	0	0.14
9	0.79	0.054	0.03	6e-06	0.00017	0	0.025	0.1	0	0	0.14
10	0.87	0.00043	0.00024	0.019	0	0	0.0002	0.11	0	0	0.14
11	0.87	0.0095	0.0054	4.4e-05	6.1e-06	0	0.0045	0.11	0	0	0.14
12	0.78	0.058	0.032	0.00026	0.0028	0	0.027	0.1	0	0	0.14
13	0.86	0.00012	6.5e-05	0.023	0	0	5.5e-05	0.11	0	0	0.14
14	0.88	0.00049	0.00028	1e-05	0	0	0.00023	0.12	0	0	0.14
15	0.88	0.0034	0.0019	0	0	0	0.0016	0.12	0	0	0.14
16	0	0	0	2.7e-06	0	0	0	0	1	8	0.016
17	0.88	0.0045	0.0025	0	0	0	0.0021	0.12	0	0	0.14
18	0.88	0.0014	0.00081	5.4e-05	0	0	0.00068	0.12	0	0	0.14
19	0.64	0.11	0.061	0	0.058	0	0.051	0.084	0	0	0.14
20	0.29	0.33	0.18	0	0.0053	0	0.15	0.038	0	1	0.22
21	0.5	0.21	0.12	0	0.0083	0	0.1	0.065	0	0	0.14
22	0.86	0.013	0.0074	2.6e-05	1e-05	0	0.0062	0.11	0	0	0.14
23	0.86	0.011	0.0062	5.3e-06	2.3e-06	0	0.0052	0.11	0	0	0.14
24	0.88	0.0016	0.00093	1.8e-05	0	0	0.00078	0.12	0	0	0.14
25	0.71	0.093	0.052	1.3e-05	0.0016	0	0.044	0.094	0	0	0.14
26	0.88	0.0039	0.0022	1.2e-05	0	0	0.0018	0.12	0	0	0.14
27	0.61	0.15	0.083	3.5e-06	0.014	0	0.07	0.079	0	0	0.14
28	0.82	0.034	0.019	1.9e-05	0.0001	0	0.016	0.11	0	0	0.14
29	0.87	0.0085	0.0048	0.00044	2.1e-05	0	0.004	0.11	0	0	0.14
30	0.64	0.14	0.078	0	1.6e-05	0	0.065	0.084	0	0	0.14
31	0.87	0.0067	0.0038	1.7e-05	0	0	0.0032	0.11	0	0	0.14
32	0.82	0.034	0.019	0.00047	0.00084	0	0.016	0.11	0	0	0.14
33	0.87	0.007	0.0039	2.6e-05	0	0	0.0033	0.11	0	0	0.14
34	0.33	0.31	0.17	0	4.6e-06	0	0.15	0.044	0	0	0.14
35	0.78	0.058	0.033	0	3e-06	0	0.028	0.1	0	0	0.14
36	0.53	0.2	0.11	0	0.0012	0	0.094	0.069	0	0	0.14
37	0.53	0.2	0.11	0	0.0023	0	0.093	0.07	0	0	0.14
38	0.82	0.034	0.019	3.4e-06	3.3e-05	0	0.016	0.11	0	0	0.14
39	0.81	0.04	0.022	0.00015	0.00062	0	0.019	0.11	0	0	0.14
40	0.82	0.036	0.021	4.9e-05	0.00023	0	0.017	0.11	0	0	0.14
41	0.88	0.0014	0.00078	0	0	0	0.00066	0.12	0	0	0.14
42	0.88	0.0018	0.001	0.00012	0	0	0.00086	0.12	0	0	0.14
43	0.81	0.04	0.023	0	0	0	0.019	0.11	0	0	0.14
44	0.85	0.018	0.01	0.00015	7.3e-05	0	0.0086	0.11	0	0	0.14
45	0.88	0.0015	0.00086	0	0	0	0.00073	0.12	0	0	0.14
46	0.84	0.022	0.012	3.7e-05	4.6e-05	0	0.01	0.11	0	0	0.14
47	0.83	0.031	0.017	0.00014	0.00036	0	0.015	0.11	0	0	0.14
48	0.66	0.12	0.065	0	0.012	0	0.055	0.087	0	0	0.14
49	0.75	0.07	0.04	6.5e-05	0.0039	0	0.033	0.099	0	0	0.14
50	0.52	0.2	0.11	0	0.0012	0	0.094	0.069	0	0	0.14
51	0.8	0.046	0.026	0	0	0	0.022	0.11	0	0	0.14
52	0.7	0.099	0.056	2.5e-06	0.0009	0	0.047	0.093	0	0	0.14
53	0.86	0.00014	7.9e-05	0.025	0	0	6.6e-05	0.11	0	0	0.14
54	0.74	0.071	0.04	8.5e-05	0.013	0	0.034	0.098	0	0	0.14
55	0.87	0.0094	0.0053	9.6e-06	2.8e-06	0	0.0045	0.11	0	0	0.14
56	0.59	0.00014	8.1e-05	0.25	0	0	6.8e-05	0.078	0.083	0	0.14
57	0.86	0.013	0.0073	1.6e-05	8.5e-06	0	0.0061	0.11	0	0	0.14
58	0.87	0.0088	0.005	1.7e-05	3.3e-06	0	0.0042	0.11	0	0	0.14
59	0.77	0.063	0.035	0.0001	0.0034	0	0.03	0.1	0	0	0.14
60	0.59	0.16	0.089	0	0.0086	0	0.075	0.078	0	0	0.14
61	0.76	0.066	0.037	0	0	0	0.031	0.1	0	0	0.14
62	0.83	0.00026	0.00015	0.064	0	0	0.00013	0.11	8.1e-06	0	0.14
63	0.84	0.023	0.013	6e-06	2e-05	0	0.011	0.11	0	0	0.14
64	0.88	0.00014	7.9e-05	0	0	0	6.6e-05	0.12	0	0	0.14
65	0.84	0.024	0.014	1.5e-05	4.3e-05	0	0.011	0.11	0	0	0.14
66	0.86	0.012	0.007	9.2e-05	2.4e-05	0	0.0059	0.11	0	0	0.14
67	0.72	0.082	0.046	4.3e-06	0.016	0	0.039	0.095	0	0	0.14
68	0.87	0.0088	0.005	0	0	0	0.0042	0.11	0	0	0.14
69	0.73	0.069	0.039	0	0.033	0	0.033	0.096	0	0	0.14
70	0.86	0.013	0.0072	7.6e-06	5.1e-06	0	0.006	0.11	0	0	0.14
71	0.84	0.021	0.012	0.0018	0.00067	0	0.0098	0.11	0	0	0.14
72	0.71	0.096	0.054	0	0.00011	0	0.046	0.093	0	0	0.14
73	0.68	0.11	0.063	3.1e-06	0.0078	0	0.053	0.089	0	0	0.14
74	0.75	0.075	0.042	1.2e-05	0.001	0	0.035	0.098	0	0	0.14
75	0.88	0.0041	0.0023	8.4e-05	0	0	0.0019	0.12	0	0	0.14
76	0.77	0.064	0.036	0	4.3e-05	0	0.03	0.1	0	0	0.14
77	0.88	0.0035	0.002	0	0	0	0.0017	0.12	0	0	0.14
78	0.82	0.0017	0.00098	0.067	1.3e-05	0	0.00083	0.11	0.0046	0	0.14
79	0.86	0.00014	7.9e-05	0.025	0	0	6.6e-05	0.11	0	0	0.14
80	0.86	0.014	0.008	8.9e-06	7.6e-06	0	0.0068	0.11	0	0	0.14
81	0.76	0.067	0.038	0	9.3e-05	0	0.032	0.1	0	0	0.14
82	0.42	0.26	0.14	0	0.00071	0	0.12	0.055	0	0	0.14
83	0.87	0.009	0.0051	0	0	0	0.0042	0.11	0	0	0.14
84	0.52	0.2	0.11	0	0.0061	0	0.094	0.068	0	0	0.14
85	0.85	0.02	0.011	1.8e-05	3e-05	0	0.0096	0.11	0	0	0.14
86	0.78	0.06	0.034	0	3.2e-05	0	0.028	0.1	0	0	0.14
87	0.86	0.015	0.0087	0.0007	0.00016	0	0.0073	0.11	0	0	0.14
88	0.7	0.095	0.054	0	0.013	0	0.045	0.092	0	0	0.14
89	0.71	0.083	0.047	4.2e-06	0.03	0	0.039	0.093	0	0	0.14
90	0.76	0.07	0.039	0	2.8e-05	0	0.033	0.1	0	0	0.14
91	0	0	0	0	0	0	0	0	1	8	0.016
92	0.82	0.031	0.018	0.0014	0.002	0	0.015	0.11	0	0	0.14
93	0.77	0.035	0.02	0	0.057	0	0.017	0.1	0	0	0.14
94	0.86	0.014	0.0078	0.00098	0.00015	0	0.0066	0.11	0	0	0.14
95	0.87	0.0069	0.0039	0.00019	8.3e-06	0	0.0032	0.11	0	0	0.14
96	0.88	0.0012	0.0007	7.5e-05	0	0	0.00059	0.12	0	0	0.14
97	0.76	0.066	0.037	5.6e-06	0.00039	0	0.031	0.1	0	0	0.14
98	0.88	6.1e-05	3.5e-05	0.0066	0	0	2.9e-05	0.12	0	0	0.14
99	0.73	0.076	0.043	3.1e-05	0.014	0	0.036	0.096	0	0	0.14
100	0.73	0.081	0.046	1.7e-05	0.013	0	0.038	0.095	0	0	0.14
101	0.56	0.18	0.1	0	0.0044	0	0.084	0.073	0	0	0.14
102	0.77	0.065	0.037	4.4e-05	0.0018	0	0.031	0.1	0	0	0.14
103	0.87	0.0025	0.0014	0.013	1e-05	0	0.0012	0.11	0	0	0.14
104	0.75	0.07	0.039	9e-05	0.0058	0	0.033	0.099	0	0	0.14
105	0.87	0.0095	0.0054	0.00011	1.4e-05	0	0.0045	0.11	0	0	0.14
106	0.88	0.0018	0.00099	0	0	0	0.00083	0.12	0	0	0.14
107	0.78	0.058	0.033	6.5e-06	0.00029	0	0.028	0.1	0	0	0.14
108	0.75	0.065	0.036	0	0.023	0	0.031	0.098	0	0	0.14
109	0.76	0.063	0.036	0.00018	0.0077	0	0.03	0.1	0	0	0.14
110	0.88	0.0013	0.00071	0	0	0	0.0006	0.12	0	0	0.14
111	0.87	0.0087	0.0049	0.00033	2.2e-05	0	0.0041	0.11	0	0	0.14
112	0.5	0.21	0.12	0	0.0042	0	0.1	0.065	0	0	0.14
113	0.87	0.0081	0.0046	0.00056	2.6e-05	0	0.0039	0.11	0	0	0.14
114	0.57	0.17	0.097	0	2.5e-05	0	0.082	0.075	0	0	0.14
115	0.73	0.054	0.031	0	0.058	0	0.026	0.096	0	0	0.14
116	0.7	0.1	0.059	0	7e-05	0	0.049	0.091	0	0	0.14
117	0.42	0.26	0.14	0	0.0029	0	0.12	0.055	0	0	0.14
118	0.56	0.18	0.099	0	0.0073	0	0.083	0.074	0	0	0.14
119	0.83	0.028	0.016	0	0	0	0.013	0.11	0	0	0.14
120	0.81	0.043	0.024	0	4.3e-06	0	0.02	0.11	0	0	0.14
121	0.58	0.17	0.096	0	0.00011	0	0.081	0.076	0	0	0.14
122	0.72	0.088	0.05	1.8e-05	0.0087	0	0.042	0.094	0	0	0.14
123	0.88	0.00088	0.0005	3e-06	0	0	0.00042	0.12	0	0	0.14
124	0.69	0.1	0.059	4.1e-06	0.0018	0	0.05	0.091	0	0	0.14
125	0.032	0.44	0.25	0	0.061	0	0.21	0.0042	0	1	0.22
126	0.84	0.00082	0.00046	0.046	1.5e-06	0	0.00039	0.11	3.3e-05	0	0.14
127	0.85	0.018	0.01	0	3.6e-06	0	0.0087	0.11	0	0	0.14
128	0.85	0.018	0.0099	0	0	0	0.0083	0.11	0	0	0.14
129	0.86	0.0025	0.0014	0.021	1.4e-05	0	0.0012	0.11	6.6e-06	0	0.14
130	0.79	0.055	0.031	8.9e-06	0.0003	0	0.026	0.1	0	0	0.14
131	0.75	0.075	0.042	0	3.8e-05	0	0.035	0.098	0	0	0.14
132	0.88	0.0043	0.0024	0	0	0	0.002	0.12	0	0	0.14
133	0.85	0.017	0.0097	9.7e-06	1.3e-05	0	0.0082	0.11	0	0	0.14
134	0.59	0.16	0.092	0	0.00043	0	0.077	0.077	0	0	0.14
135	0.73	0.075	0.042	0	0.02	0	0.036	0.096	0	0	0.14
136	0.76	0.069	0.039	0	4.7e-06	0	0.033	0.1	0	0	0.14
137	0.75	0.077	0.043	0	0.00024	0	0.036	0.098	0	0	0.14
138	0.76	0.069	0.039	1.3e-05	0.00085	0	0.033	0.1	0	0	0.14
139	0.83	0.025	0.014	0.0024	0.0014	0	0.012	0.11	0	0	0.14
140	0.8	0.044	0.025	7.6e-05	0.00068	0	0.021	0.11	0	0	0.14
141	0.72	0.076	0.043	0	0.034	0	0.036	0.094	0	0	0.14
142	0.85	0.016	0.0092	0.0029	0.00047	0	0.0077	0.11	0	0	0.14
143	0.78	0.055	0.031	0.0005	0.0081	0	0.026	0.1	0	0	0.14
144	0.88	0.003	0.0017	3.9e-05	0	0	0.0014	0.12	0	0	0.14
145	0.61	0.15	0.086	0	0.00085	0	0.072	0.08	0	0	0.14
146	0.87	0.007	0.0039	0	0	0	0.0033	0.11	0	0	0.14
147	0.17	0.39	0.22	0	0.00039	0	0.19	0.023	0	1	0.22
148	0.8	0.045	0.025	1.4e-05	0.00023	0	0.021	0.11	0	0	0.14
149	0.54	0.17	0.093	0	0.053	0	0.078	0.071	0	0	0.14
150	0.72	0.088	0.05	0	0.00011	0	0.042	0.095	0	0	0.14
151	0.69	0.1	0.058	2.4e-06	0.011	0	0.049	0.091	0	0	0.14
152	0.19	0.39	0.22	0	0.00034	0	0.18	0.024	0	1	0.22
153	0.46	0.23	0.13	0	1.2e-05	0	0.11	0.061	0	0	0.14
154	0.88	0.0034	0.0019	0.00026	0	0	0.0016	0.12	0	0	0.14
155	0.84	4.6e-06	2.6e-06	0.055	0	0	2.2e-06	0.11	0	0	0.14
156	0.85	0.018	0.01	0	0	0	0.0084	0.11	0	0	0.14
157	0.85	0.02	0.012	0	0	0	0.0097	0.11	0	0	0.14
158	0.11	0.43	0.24	0	0.0003	0	0.2	0.014	0	1	0.22
159	0.86	0.013	0.0073	0.0013	0.00015	0	0.0061	0.11	0	0	0.14
160	0.81	0.044	0.025	8.9e-06	0.00015	0	0.021	0.11	0	0	0.14
161	0.85	0.016	0.009	0.00053	0.00015	0	0.0075	0.11	0	0	0.14
162	0.86	0.012	0.0067	0.00042	5.7e-05	0	0.0056	0.11	0	0	0.14
163	0.86	0.012	0.0067	0.00042	5.7e-05	0	0.0056	0.11	0	0	0.14
164	0.81	0.043	0.024	2.7e-06	6.6e-05	0	0.02	0.11	0	0	0.14
165	0.76	0.067	0.038	0	1.6e-05	0	0.032	0.1	0	0	0.14
166	0.88	0.00092	0.00052	3.7e-06	0	0	0.00044	0.12	0	0	0.14
167	0.85	0.021	0.012	0	0	0	0.0099	0.11	0	0	0.14
168	0.86	0.0026	0.0015	0.02	1.5e-05	0	0.0012	0.11	6.3e-06	0	0.14
169	0.24	0.36	0.2	0	1.6e-05	0	0.17	0.032	0	1	0.22
170	0.86	0.013	0.0073	0.0013	0.00015	0	0.0061	0.11	0	0	0.14
171	0.73	0.077	0.043	1.3e-05	0.017	0	0.037	0.096	0	0	0.14
172	0.52	0.2	0.11	0	1.4e-05	0	0.095	0.069	0	0	0.14
173	0.87	0.0072	0.0041	0.0035	6.3e-05	0	0.0034	0.11	0	0	0.14
174	0.57	0.17	0.096	0	0.005	0	0.081	0.075	0	0	0.14
175	0.79	0.041	0.023	0	0.021	0	0.02	0.1	0	0	0.14
176	0.83	0.032	0.018	0	7.2e-06	0	0.015	0.11	0	0	0.14
177	0.79	0.053	0.03	0	2.9e-05	0	0.025	0.1	0	0	0.14
178	0.85	0.017	0.0093	0.00066	0.00019	0	0.0078	0.11	0	0	0.14
179	0.31	0.32	0.18	0	0.00054	0	0.15	0.041	0	1	0.22
180	0.87	0.01	0.0059	0	0	0	0.005	0.11	0	0	0.14
181	0.87	0.0063	0.0035	2.3e-06	0	0	0.003	0.11	0	0	0.14
182	0.8	0.029	0.016	0	0.033	0	0.014	0.11	0	0	0.14
183	0.87	0.0079	0.0045	0.00013	9.5e-06	0	0.0038	0.11	0	0	0.14
184	0.85	0.02	0.012	0.00055	0.00029	0	0.0097	0.11	0	0	0.14
