SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster	dcf0
0	0.029	0.095	0.095	0.05	0.095	0.095	0.05	0.033	0.095	0.033	0.095	0	0.078	0.095	0	0	3.7e-06	0.033	0.033	1	0.14
1	0.02	0.12	0.12	0.034	0.12	0.12	0.034	0.022	0.12	0.022	0.12	0	0.00018	0.12	0	0	0	0.022	0.022	1	0.14
2	8.2e-05	0.14	0.14	0.00014	0.14	0.14	0.00014	9.1e-05	0.14	9.1e-05	0.14	0	0	0.14	0	0	0	9.1e-05	9.1e-05	1	0.14
3	0.0048	0.14	0.14	0.0081	0.14	0.14	0.0081	0.0053	0.14	0.0053	0.14	0	8.4e-06	0.14	0	0	3.2e-06	0.0053	0.0053	1	0.14
4	0	4.6e-06	4.6e-06	0	4.6e-06	4.6e-06	0	0	4.6e-06	0	4.6e-06	0	0	4.6e-06	0	1	0.0019	0	0	15	0.016
5	0.0041	0.14	0.14	0.007	0.14	0.14	0.007	0.0046	0.14	0.0046	0.14	0	0.00068	0.14	0	0	0.0047	0.0046	0.0046	1	0.14
6	0	0.11	0.11	0	0.11	0.11	0	0	0.11	0	0.11	0	0	0.11	4.1e-05	0	0.25	0	0	16	0.078
7	0.0013	0.14	0.14	0.0022	0.14	0.14	0.0022	0.0014	0.14	0.0014	0.14	0	6.1e-06	0.14	0	0	0.00038	0.0014	0.0014	1	0.14
8	0.0029	0.14	0.14	0.0049	0.14	0.14	0.0049	0.0032	0.14	0.0032	0.14	0	1.5e-05	0.14	0	0	5.8e-05	0.0032	0.0032	1	0.14
9	0.012	0.13	0.13	0.021	0.13	0.13	0.021	0.014	0.13	0.014	0.13	0	0.00017	0.13	0	0	6e-06	0.014	0.014	1	0.14
10	9.8e-05	0.14	0.14	0.00017	0.14	0.14	0.00017	0.00011	0.14	0.00011	0.14	0	0	0.14	3.4e-06	0	0.019	0.00011	0.00011	1	0.14
11	0.0022	0.14	0.14	0.0037	0.14	0.14	0.0037	0.0024	0.14	0.0024	0.14	0	6.1e-06	0.14	0	0	4.4e-05	0.0024	0.0024	1	0.14
12	0.013	0.13	0.13	0.022	0.13	0.13	0.022	0.015	0.13	0.015	0.13	0	0.0028	0.13	0	0	0.00026	0.015	0.015	1	0.14
13	2.7e-05	0.14	0.14	4.5e-05	0.14	0.14	4.5e-05	3e-05	0.14	3e-05	0.14	0	0	0.14	4.5e-06	0	0.023	3e-05	3e-05	1	0.14
14	0.00011	0.14	0.14	0.00019	0.14	0.14	0.00019	0.00013	0.14	0.00013	0.14	0	0	0.14	0	0	1e-05	0.00013	0.00013	1	0.14
15	0.00078	0.14	0.14	0.0013	0.14	0.14	0.0013	0.00087	0.14	0.00087	0.14	0	0	0.14	0	0	0	0.00087	0.00087	1	0.14
16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2.7e-06	0	0	15	0.016
17	0.001	0.14	0.14	0.0018	0.14	0.14	0.0018	0.0012	0.14	0.0012	0.14	0	0	0.14	0	0	0	0.0012	0.0012	1	0.14
18	0.00033	0.14	0.14	0.00056	0.14	0.14	0.00056	0.00037	0.14	0.00037	0.14	0	0	0.14	0	0	5.4e-05	0.00037	0.00037	1	0.14
19	0.025	0.1	0.1	0.042	0.1	0.1	0.042	0.028	0.1	0.028	0.1	0	0.058	0.1	0	0	0	0.028	0.028	1	0.14
20	0.075	0.047	0.047	0.13	0.047	0.047	0.13	0.084	0.047	0.084	0.047	0	0.0053	0.047	0	0	0	0.084	0.084	3	0.22
21	0.049	0.08	0.08	0.082	0.08	0.08	0.082	0.054	0.08	0.054	0.08	0	0.0083	0.08	0	0	0	0.054	0.054	3	0.22
