SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster	dcf0
0	0.66	0.26	3.7e-06	0.081	0	0	0.14
1	0.83	0.17	0	0.00019	0	0	0.14
2	1	0.00072	0	0	0	0	0.14
3	0.96	0.042	3.2e-06	8.7e-06	0	0	0.14
4	3.2e-05	0	0.0019	0	1	4	0.016
5	0.96	0.036	0.0047	0.0007	0	0	0.14
6	0.75	0	0.25	0	0	0	0.14
7	0.99	0.011	0.00038	6.4e-06	0	0	0.14
8	0.97	0.025	5.8e-05	1.5e-05	0	0	0.14
9	0.89	0.11	6e-06	0.00018	0	0	0.14
10	0.98	0.00086	0.019	0	0	0	0.14
11	0.98	0.019	4.4e-05	6.3e-06	0	0	0.14
12	0.88	0.12	0.00026	0.0029	0	0	0.14
13	0.98	0.00024	0.023	0	0	0	0.14
14	1	0.001	1e-05	0	0	0	0.14
15	0.99	0.0068	0	0	0	0	0.14
16	0	0	2.7e-06	0	1	4	0.016
17	0.99	0.0091	0	0	0	0	0.14
18	1	0.0029	5.4e-05	0	0	0	0.14
19	0.72	0.22	0	0.06	0	0	0.14
20	0.33	0.66	0	0.0055	0	1	0.22
21	0.56	0.43	0	0.0086	0	0	0.14
22	0.97	0.027	2.6e-05	1e-05	0	0	0.14
23	0.98	0.022	5.3e-06	2.3e-06	0	0	0.14
24	1	0.0033	1.8e-05	0	0	0	0.14
25	0.81	0.19	1.3e-05	0.0017	0	0	0.14
26	0.99	0.0078	1.2e-05	0	0	0	0.14
27	0.69	0.3	3.5e-06	0.014	0	0	0.14
28	0.93	0.07	1.9e-05	0.00011	0	0	0.14
29	0.98	0.017	0.00044	2.2e-05	0	0	0.14
30	0.72	0.28	0	1.6e-05	0	0	0.14
31	0.99	0.014	1.7e-05	0	0	0	0.14
32	0.93	0.068	0.00047	0.00087	0	0	0.14
33	0.99	0.014	2.6e-05	2e-06	0	0	0.14
34	0.38	0.62	0	4.8e-06	0	1	0.22
35	0.88	0.12	0	3.1e-06	0	0	0.14
36	0.6	0.4	0	0.0012	0	0	0.14
37	0.6	0.4	0	0.0024	0	0	0.14
38	0.93	0.069	3.4e-06	3.4e-05	0	0	0.14
39	0.92	0.081	0.00015	0.00064	0	0	0.14
40	0.93	0.074	4.9e-05	0.00024	0	0	0.14
41	1	0.0028	0	0	0	0	0.14
42	1	0.0037	0.00012	0	0	0	0.14
43	0.92	0.082	0	0	0	0	0.14
44	0.96	0.037	0.00015	7.5e-05	0	0	0.14
45	1	0.0031	0	0	0	0	0.14
46	0.96	0.044	3.7e-05	4.8e-05	0	0	0.14
47	0.94	0.062	0.00014	0.00038	0	0	0.14
48	0.75	0.23	0	0.013	0	0	0.14
49	0.85	0.14	6.5e-05	0.0041	0	0	0.14
50	0.59	0.4	0	0.0013	0	0	0.14
51	0.91	0.094	0	0	0	0	0.14
52	0.8	0.2	2.5e-06	0.00093	0	0	0.14
53	0.97	0.00028	0.025	0	0	0	0.14
54	0.84	0.14	8.5e-05	0.013	0	0	0.14
55	0.98	0.019	9.6e-06	2.9e-06	0	0	0.14
56	0.67	0.00029	0.25	0	0.083	0	0.14
57	0.97	0.026	1.6e-05	8.8e-06	0	0	0.14
58	0.98	0.018	1.7e-05	3.4e-06	0	0	0.14
59	0.87	0.13	0.0001	0.0035	0	0	0.14
60	0.67	0.32	0	0.0089	0	0	0.14
61	0.87	0.13	0	0	0	0	0.14
62	0.94	0.00054	0.064	0	8.1e-06	0	0.14
63	0.95	0.046	6e-06	2.1e-05	0	0	0.14
64	1	0.00028	0	0	0	0	0.14
65	0.95	0.049	1.5e-05	4.5e-05	0	0	0.14
66	0.97	0.025	9.2e-05	2.5e-05	0	0	0.14
67	0.82	0.17	4.3e-06	0.017	0	0	0.14
68	0.98	0.018	0	0	0	0	0.14
69	0.83	0.14	0	0.034	0	0	0.14
70	0.97	0.026	7.6e-06	5.3e-06	0	0	0.14
71	0.96	0.042	0.0018	0.00069	0	0	0.14
72	0.8	0.2	0	0.00011	0	0	0.14
73	0.77	0.23	3.1e-06	0.0081	0	0	0.14
74	0.85	0.15	1.2e-05	0.0011	0	0	0.14
75	0.99	0.0083	8.4e-05	0	0	0	0.14
76	0.87	0.13	0	4.4e-05	0	0	0.14
77	0.99	0.0072	0	0	0	0	0.14
78	0.93	0.0035	0.067	1.4e-05	0.0046	0	0.14
79	0.97	0.00028	0.025	0	0	0	0.14
80	0.97	0.029	8.9e-06	7.9e-06	0	0	0.14
81	0.86	0.14	0	9.7e-05	0	0	0.14
82	0.48	0.52	0	0.00073	0	1	0.22
83	0.98	0.018	0	0	0	0	0.14
84	0.59	0.41	0	0.0063	0	0	0.14
85	0.96	0.041	1.8e-05	3.1e-05	0	0	0.14
86	0.88	0.12	0	3.4e-05	0	0	0.14
87	0.97	0.031	0.0007	0.00017	0	0	0.14
88	0.79	0.19	0	0.014	0	0	0.14
89	0.8	0.17	4.2e-06	0.031	0	0	0.14
90	0.86	0.14	0	2.9e-05	0	0	0.14
91	0	0	0	0	1	4	0.016
92	0.93	0.064	0.0014	0.0021	0	0	0.14
93	0.87	0.072	0	0.059	0	0	0.14
94	0.97	0.028	0.00098	0.00016	0	0	0.14
95	0.99	0.014	0.00019	8.6e-06	0	0	0.14
96	1	0.0025	7.5e-05	0	0	0	0.14
97	0.87	0.13	5.6e-06	0.0004	0	0	0.14
98	0.99	0.00012	0.0066	0	0	0	0.14
99	0.83	0.15	3.1e-05	0.015	0	0	0.14
100	0.82	0.16	1.7e-05	0.014	0	0	0.14
101	0.63	0.36	0	0.0046	0	0	0.14
102	0.87	0.13	4.4e-05	0.0018	0	0	0.14
103	0.98	0.0051	0.013	1.1e-05	0	0	0.14
104	0.85	0.14	9e-05	0.006	0	0	0.14
105	0.98	0.019	0.00011	1.4e-05	0	0	0.14
106	1	0.0036	0	0	0	0	0.14
107	0.88	0.12	6.5e-06	0.0003	0	0	0.14
108	0.85	0.13	0	0.024	0	0	0.14
109	0.86	0.13	0.00018	0.008	0	0	0.14
110	1	0.0026	0	0	0	0	0.14
111	0.98	0.018	0.00033	2.3e-05	0	0	0.14
112	0.56	0.43	0	0.0043	0	0	0.14
113	0.98	0.017	0.00056	2.7e-05	0	0	0.14
114	0.65	0.35	0	2.6e-05	0	0	0.14
115	0.83	0.11	0	0.06	0	0	0.14
116	0.79	0.21	0	7.2e-05	0	0	0.14
117	0.48	0.52	0	0.003	0	1	0.22
118	0.63	0.36	0	0.0075	0	0	0.14
119	0.94	0.056	0	0	0	0	0.14
120	0.91	0.087	0	4.5e-06	0	0	0.14
121	0.65	0.35	0	0.00011	0	0	0.14
122	0.81	0.18	1.8e-05	0.009	0	0	0.14
123	1	0.0018	3e-06	0	0	0	0.14
124	0.79	0.21	4.1e-06	0.0019	0	0	0.14
125	0.036	0.9	0	0.063	0	1	0.22
126	0.95	0.0017	0.046	1.5e-06	3.3e-05	0	0.14
127	0.96	0.037	0	3.7e-06	0	0	0.14
128	0.96	0.036	0	0	0	0	0.14
129	0.97	0.0051	0.021	1.5e-05	6.6e-06	0	0.14
130	0.89	0.11	8.9e-06	0.00031	0	0	0.14
131	0.85	0.15	0	4e-05	0	0	0.14
132	0.99	0.0087	0	0	0	0	0.14
133	0.97	0.035	9.7e-06	1.4e-05	0	0	0.14
134	0.67	0.33	0	0.00045	0	0	0.14
135	0.83	0.15	0	0.021	0	0	0.14
136	0.86	0.14	0	4.9e-06	0	0	0.14
137	0.84	0.16	0	0.00025	0	0	0.14
