SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster	dcf0
0	0.59	0.26	0.081	0.067	3.7e-06	0	0	0.14
1	0.74	0.17	0.00019	0.084	0	0	0	0.14
2	0.9	0.00072	0	0.1	0	0	0	0.14
3	0.86	0.042	8.7e-06	0.097	3.2e-06	0	0	0.14
4	2.9e-05	0	0	3.3e-06	0.0019	1	5	0.016
5	0.86	0.036	0.0007	0.097	0.0047	0	0	0.14
6	0.67	0	0	0.076	0.25	0	0	0.14
7	0.89	0.011	6.4e-06	0.1	0.00038	0	0	0.14
8	0.88	0.025	1.5e-05	0.099	5.8e-05	0	0	0.14
9	0.8	0.11	0.00018	0.09	6e-06	0	0	0.14
10	0.88	0.00086	0	0.099	0.019	0	0	0.14
11	0.88	0.019	6.3e-06	0.099	4.4e-05	0	0	0.14
12	0.79	0.12	0.0029	0.089	0.00026	0	0	0.14
13	0.88	0.00024	0	0.099	0.023	0	0	0.14
14	0.9	0.001	0	0.1	1e-05	0	0	0.14
15	0.89	0.0068	0	0.1	0	0	0	0.14
16	0	0	0	0	2.7e-06	1	5	0.016
17	0.89	0.0091	0	0.1	0	0	0	0.14
18	0.9	0.0029	0	0.1	5.4e-05	0	0	0.14
19	0.65	0.22	0.06	0.073	0	0	0	0.14
20	0.3	0.66	0.0055	0.033	0	0	1	0.22
21	0.51	0.43	0.0086	0.057	0	0	0	0.14
22	0.87	0.027	1e-05	0.099	2.6e-05	0	0	0.14
23	0.88	0.022	2.3e-06	0.099	5.3e-06	0	0	0.14
24	0.9	0.0033	0	0.1	1.8e-05	0	0	0.14
25	0.73	0.19	0.0017	0.082	1.3e-05	0	0	0.14
26	0.89	0.0078	0	0.1	1.2e-05	0	0	0.14
27	0.62	0.3	0.014	0.069	3.5e-06	0	0	0.14
28	0.84	0.07	0.00011	0.094	1.9e-05	0	0	0.14
29	0.88	0.017	2.2e-05	0.099	0.00044	0	0	0.14
30	0.65	0.28	1.6e-05	0.073	0	0	0	0.14
31	0.89	0.014	0	0.1	1.7e-05	0	0	0.14
32	0.84	0.068	0.00087	0.094	0.00047	0	0	0.14
33	0.89	0.014	2e-06	0.1	2.6e-05	0	0	0.14
34	0.34	0.62	4.8e-06	0.038	0	0	1	0.22
35	0.79	0.12	3.1e-06	0.089	0	0	0	0.14
36	0.54	0.4	0.0012	0.06	0	0	0	0.14
37	0.54	0.4	0.0024	0.061	0	0	0	0.14
38	0.84	0.069	3.4e-05	0.094	3.4e-06	0	0	0.14
39	0.83	0.081	0.00064	0.093	0.00015	0	0	0.14
40	0.83	0.074	0.00024	0.094	4.9e-05	0	0	0.14
41	0.9	0.0028	0	0.1	0	0	0	0.14
42	0.9	0.0037	0	0.1	0.00012	0	0	0.14
43	0.83	0.082	0	0.093	0	0	0	0.14
44	0.87	0.037	7.5e-05	0.098	0.00015	0	0	0.14
45	0.9	0.0031	0	0.1	0	0	0	0.14
46	0.86	0.044	4.8e-05	0.097	3.7e-05	0	0	0.14
47	0.84	0.062	0.00038	0.095	0.00014	0	0	0.14
48	0.68	0.23	0.013	0.076	0	0	0	0.14
49	0.77	0.14	0.0041	0.086	6.5e-05	0	0	0.14
50	0.53	0.4	0.0013	0.06	0	0	0	0.14
51	0.81	0.094	0	0.092	0	0	0	0.14
52	0.72	0.2	0.00093	0.081	2.5e-06	0	0	0.14
53	0.88	0.00028	0	0.099	0.025	0	0	0.14
54	0.76	0.14	0.013	0.085	8.5e-05	0	0	0.14
55	0.88	0.019	2.9e-06	0.099	9.6e-06	0	0	0.14
56	0.6	0.00029	0	0.068	0.25	0.083	0	0.14
57	0.88	0.026	8.8e-06	0.099	1.6e-05	0	0	0.14
58	0.88	0.018	3.4e-06	0.099	1.7e-05	0	0	0.14
59	0.78	0.13	0.0035	0.088	0.0001	0	0	0.14
60	0.6	0.32	0.0089	0.068	0	0	0	0.14
61	0.78	0.13	0	0.088	0	0	0	0.14
62	0.84	0.00054	0	0.095	0.064	8.1e-06	0	0.14
63	0.86	0.046	2.1e-05	0.097	6e-06	0	0	0.14
64	0.9	0.00028	0	0.1	0	0	0	0.14
65	0.85	0.049	4.5e-05	0.096	1.5e-05	0	0	0.14
66	0.88	0.025	2.5e-05	0.099	9.2e-05	0	0	0.14
67	0.73	0.17	0.017	0.083	4.3e-06	0	0	0.14
68	0.88	0.018	0	0.099	0	0	0	0.14
69	0.74	0.14	0.034	0.084	0	0	0	0.14
70	0.88	0.026	5.3e-06	0.099	7.6e-06	0	0	0.14
71	0.86	0.042	0.00069	0.097	0.0018	0	0	0.14
72	0.72	0.2	0.00011	0.081	0	0	0	0.14
73	0.69	0.23	0.0081	0.078	3.1e-06	0	0	0.14
74	0.76	0.15	0.0011	0.086	1.2e-05	0	0	0.14
75	0.89	0.0083	0	0.1	8.4e-05	0	0	0.14
76	0.78	0.13	4.4e-05	0.088	0	0	0	0.14
77	0.89	0.0072	0	0.1	0	0	0	0.14
78	0.83	0.0035	1.4e-05	0.094	0.067	0.0046	0	0.14
79	0.88	0.00028	0	0.099	0.025	0	0	0.14
80	0.87	0.029	7.9e-06	0.098	8.9e-06	0	0	0.14
81	0.78	0.14	9.7e-05	0.087	0	0	0	0.14
82	0.43	0.52	0.00073	0.048	0	0	1	0.22
83	0.88	0.018	0	0.099	0	0	0	0.14
84	0.53	0.41	0.0063	0.06	0	0	0	0.14
85	0.86	0.041	3.1e-05	0.097	1.8e-05	0	0	0.14
86	0.79	0.12	3.4e-05	0.089	0	0	0	0.14
87	0.87	0.031	0.00017	0.098	0.0007	0	0	0.14
88	0.71	0.19	0.014	0.08	0	0	0	0.14
89	0.72	0.17	0.031	0.081	4.2e-06	0	0	0.14
90	0.77	0.14	2.9e-05	0.087	0	0	0	0.14
91	0	0	0	0	0	1	5	0.016
92	0.84	0.064	0.0021	0.094	0.0014	0	0	0.14
93	0.78	0.072	0.059	0.088	0	0	0	0.14
94	0.87	0.028	0.00016	0.098	0.00098	0	0	0.14
95	0.89	0.014	8.6e-06	0.1	0.00019	0	0	0.14
96	0.9	0.0025	0	0.1	7.5e-05	0	0	0.14
97	0.78	0.13	0.0004	0.088	5.6e-06	0	0	0.14
98	0.89	0.00012	0	0.1	0.0066	0	0	0.14
99	0.75	0.15	0.015	0.084	3.1e-05	0	0	0.14
100	0.74	0.16	0.014	0.083	1.7e-05	0	0	0.14
101	0.57	0.36	0.0046	0.064	0	0	0	0.14
102	0.78	0.13	0.0018	0.088	4.4e-05	0	0	0.14
103	0.88	0.0051	1.1e-05	0.099	0.013	0	0	0.14
104	0.77	0.14	0.006	0.086	9e-05	0	0	0.14
105	0.88	0.019	1.4e-05	0.099	0.00011	0	0	0.14
106	0.9	0.0036	0	0.1	0	0	0	0.14
107	0.79	0.12	0.0003	0.089	6.5e-06	0	0	0.14
108	0.76	0.13	0.024	0.086	0	0	0	0.14
109	0.78	0.13	0.008	0.087	0.00018	0	0	0.14
110	0.9	0.0026	0	0.1	0	0	0	0.14
111	0.88	0.018	2.3e-05	0.099	0.00033	0	0	0.14
112	0.51	0.43	0.0043	0.057	0	0	0	0.14
113	0.88	0.017	2.7e-05	0.1	0.00056	0	0	0.14
114	0.58	0.35	2.6e-05	0.066	0	0	0	0.14
115	0.75	0.11	0.06	0.084	0	0	0	0.14
116	0.71	0.21	7.2e-05	0.08	0	0	0	0.14
117	0.43	0.52	0.003	0.048	0	0	1	0.22
118	0.57	0.36	0.0075	0.064	0	0	0	0.14
119	0.85	0.056	0	0.096	0	0	0	0.14
120	0.82	0.087	4.5e-06	0.092	0	0	0	0.14
121	0.59	0.35	0.00011	0.066	0	0	0	0.14
122	0.73	0.18	0.009	0.082	1.8e-05	0	0	0.14
123	0.9	0.0018	0	0.1	3e-06	0	0	0.14
