SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster	dcf0	dcf1
0	0	0	0.017	0.53	0	0	0	0	0.0017	0.0027	0	0.45	0	0	0	3	0.56	0.48
1	0	0	0.052	0.0048	0	0	0	0	0.00051	0.017	0	0.93	0	0	0	11	0.32	0.28
2	0.2	0.0044	0	0	0	0	0.6	0	0	0	0	0	0.2	0	0	6	0	0.062
3	0	0	0	0	0.13	1.6e-06	0	0	0	0	0	0	0	0.87	0	13	0.11	0
4	0	0	0	0	0.068	0.012	0	0	0	0	0.00014	1.4e-06	0	0.92	0	13	0.11	0
5	0	0	0.0011	0.95	0	0	0	0	2.2e-05	2.7e-06	0	0.047	0	0	0	3	0.56	0.48
6	0	0	0	0	0.014	0	0	0	0	0	0.86	0.13	0	0.00022	3.8e-06	10	0.25	0
7	0	0	0	0	0.035	0.00011	0	0	0	0	0	0	0	0.96	0	13	0.11	0
8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0.071	0.031
9	0	0	0.0018	0.032	0	0	0	0.00027	0.023	0.0062	0	0.94	0	0	1.3e-06	11	0.32	0.28
10	0	0	0	0	0.11	0.0036	0	0	0	0	0.00065	1e-05	0	0.88	0	13	0.11	0
11	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	1	14	0.32	0.062
12	0	0	2.9e-05	1	0	0	0	0	0	0	0	0.0027	0	0	0	3	0.56	0.48
13	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0.75	0	13	0.11	0
14	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	11	0.32	0.28
15	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0.071	0.031
16	0	0	0	0	0.00034	0	0	0.039	2.7e-05	0	0.59	0.00038	0	1.3e-05	0.37	10	0.25	0
17	0	0	0.01	0.74	0	0	0	0	0	0.0015	0	0.25	0	0	0	3	0.56	0.48
18	0	0	0.027	0.18	0	0	0	0	0.0066	0.00045	0	0.79	0	0	0	11	0.32	0.28
