SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster	dcf0	dcf1
0	0.065	0.93	0	0	0	0	0	0	1	0.32	0.28
1	0.12	0.88	0	0	0	0	0	0	1	0.32	0.28
2	0	0	0	0	0.0057	0	0.99	0	6	0	0.093
3	0	0	1	5e-05	0	0	0	0	2	0.11	0
4	0	1.4e-06	0.99	0.0081	0	0.00013	0	0	2	0.11	0
5	0.016	0.98	0	0	0	0	0	0	1	0.32	0.28
6	0	0.14	0.00026	0	0	0.86	0	0	5	0.25	0
7	0	0	1	0.0002	0	0	0	0	2	0.11	0
8	0	0	0	1	0	0	0	0	3	0.11	0.031
9	0.014	0.99	0	0	0	0	0	0.00043	1	0.32	0.28
10	0	1e-05	0.99	0.0056	0	0.00063	0	0	2	0.11	0
11	0	0	0	0.52	0	0	0	0.48	3	0.11	0.031
12	0.00011	1	0	0	0	0	0	0	1	0.32	0.28
13	0	0	1	8.6e-06	0	0	0	0	2	0.11	0
14	0	1	0	0	0	0	0	0	1	0.32	0.28
15	0	0	0	1	0	0	0	0	3	0.11	0.031
16	0	0.00063	2.2e-05	0	0	0.9	0	0.099	5	0.25	0
17	0.2	0.8	0	0	0	0	0	0	1	0.32	0.28
18	0.015	0.99	0	0	0	0	0	0	1	0.32	0.28
19	0.13	0.87	0	0	0	0	0	0	1	0.32	0.28
20	0	0	0	0	0	0	0	1	7	0.32	0.12
21	0.41	0.59	0	0	0	0	0	0	1	0.32	0.28
22	0.3	0.7	0	0	0	0	0	0	1	0.32	0.28
23	0	0	0.047	4.6e-05	0	0.95	0	0	5	0.25	0
24	0	0	0.98	0.002	0	0.015	0	0	2	0.11	0
25	0	0	1	2.2e-05	0	2.7e-06	0	0	2	0.11	0
26	0	0	0	0	0.079	0	0.92	0	6	0	0.093
27	0.23	0.77	0	0	0	0	0	0	1	0.32	0.28
28	0.23	0.77	0	0	0	0	0	0	1	0.32	0.28
29	0.43	0.57	0	0	0	0	0	0	1	0.32	0.28
30	0	0	0	0	0.65	0	0.35	0	4	0	0.12
31	0.36	0.64	0	0	0	0	0	0	1	0.32	0.28
32	0.37	0.63	0	0	0	0	0	0	1	0.32	0.28
33	6.3e-06	1	0	0	0	0	0	0	1	0.32	0.28
34	0.66	0.34	0	0	0	0	0	0	0	0.6	0.62
35	0	0	0	0	0.049	0	0.95	0	6	0	0.093
