SNV	cluster0	cluster1	cluster	dcf0	dcf1
0	1	0	0	0.32	0.28
1	1	0	0	0.32	0.28
2	0	1	1	0.11	0.031
3	0	1	1	0.11	0.031
4	2.2e-05	1	1	0.11	0.031
5	1	0	0	0.32	0.28
6	1	1.9e-05	0	0.32	0.28
7	0	1	1	0.11	0.031
8	0	1	1	0.11	0.031
9	1	0	0	0.32	0.28
10	0.00024	1	1	0.11	0.031
11	0	1	1	0.11	0.031
12	1	0	0	0.32	0.28
13	0	1	1	0.11	0.031
14	1	0	0	0.32	0.28
15	0	1	1	0.11	0.031
16	0.98	0.017	0	0.32	0.28
17	1	0	0	0.32	0.28
18	1	0	0	0.32	0.28
19	1	0	0	0.32	0.28
20	1	0	0	0.32	0.28
21	1	0	0	0.32	0.28
22	1	0	0	0.32	0.28
23	0	1	1	0.11	0.031
24	0	1	1	0.11	0.031
25	0	1	1	0.11	0.031
26	0	1	1	0.11	0.031
27	1	0	0	0.32	0.28
28	1	0	0	0.32	0.28
29	1	0	0	0.32	0.28
30	0	1	1	0.11	0.031
31	1	0	0	0.32	0.28
32	1	0	0	0.32	0.28
33	1	0	0	0.32	0.28
34	1	0	0	0.32	0.28
35	0	1	1	0.11	0.031
36	1	0	0	0.32	0.28
37	1	0	0	0.32	0.28
38	0.98	0.02	0	0.32	0.28
39	0	1	1	0.11	0.031
40	1	0	0	0.32	0.28
41	0	1	1	0.11	0.031
42	1	0	0	0.32	0.28
43	0	1	1	0.11	0.031
44	0.99	0.0078	0	0.32	0.28
45	1	0	0	0.32	0.28
46	1	0	0	0.32	0.28
47	0.61	0.39	0	0.32	0.28
48	1	0	0	0.32	0.28
49	1	0	0	0.32	0.28
50	1	0	0	0.32	0.28
51	1	0	0	0.32	0.28
52	1	0	0	0.32	0.28
53	1	0	0	0.32	0.28
54	0	1	1	0.11	0.031
55	1	0	0	0.32	0.28
56	1	0	0	0.32	0.28
57	0	1	1	0.11	0.031
58	1	0	0	0.32	0.28
59	0	1	1	0.11	0.031
60	0	1	1	0.11	0.031
61	1	0	0	0.32	0.28
62	1	0	0	0.32	0.28
63	0.0064	0.99	1	0.11	0.031
64	1	0	0	0.32	0.28
65	0	1	1	0.11	0.031
66	1	0	0	0.32	0.28
67	1	0.0026	0	0.32	0.28
68	1	0	0	0.32	0.28
69	1	0	0	0.32	0.28
70	0	1	1	0.11	0.031
71	1	0.00019	0	0.32	0.28
72	1	0	0	0.32	0.28
73	1	0	0	0.32	0.28
74	1	0	0	0.32	0.28
75	0	1	1	0.11	0.031
76	0	1	1	0.11	0.031
77	0.00089	1	1	0.11	0.031
78	1	0	0	0.32	0.28
79	1	0	0	0.32	0.28
80	1	0	0	0.32	0.28
81	0	1	1	0.11	0.031
82	0	1	1	0.11	0.031
83	0	1	1	0.11	0.031
84	0	1	1	0.11	0.031
85	1	0	0	0.32	0.28
86	0	1	1	0.11	0.031
87	1	0	0	0.32	0.28
88	0.17	0.83	1	0.11	0.031
89	0	1	1	0.11	0.031
90	1	0	0	0.32	0.28
91	1	0	0	0.32	0.28
92	0	1	1	0.11	0.031
93	1	0	0	0.32	0.28
94	1	0	0	0.32	0.28
95	1	0	0	0.32	0.28
96	0	1	1	0.11	0.031
97	1	0	0	0.32	0.28
98	0	1	1	0.11	0.031
99	0	1	1	0.11	0.031
100	1	0	0	0.32	0.28
101	1	0	0	0.32	0.28
102	0	1	1	0.11	0.031
103	1	0	0	0.32	0.28
104	0	1	1	0.11	0.031
105	0	1	1	0.11	0.031
106	1	0	0	0.32	0.28
107	0	1	1	0.11	0.031
108	1	0	0	0.32	0.28
109	1	0	0	0.32	0.28
110	0	1	1	0.11	0.031
111	0	1	1	0.11	0.031
112	1	0	0	0.32	0.28
113	1	0	0	0.32	0.28
114	0	1	1	0.11	0.031
115	1	0	0	0.32	0.28
116	0	1	1	0.11	0.031
117	0.0018	1	1	0.11	0.031
118	1	0	0	0.32	0.28
119	1	0	0	0.32	0.28
120	1	0	0	0.32	0.28
121	0	1	1	0.11	0.031
122	1	0	0	0.32	0.28
123	0	1	1	0.11	0.031
124	1	0	0	0.32	0.28
125	0	1	1	0.11	0.031
126	0.042	0.96	1	0.11	0.031
127	1	0.00045	0	0.32	0.28
128	0	1	1	0.11	0.031
129	0.017	0.98	1	0.11	0.031
130	1	0	0	0.32	0.28
131	1	0	0	0.32	0.28
132	1	0	0	0.32	0.28
133	1	0	0	0.32	0.28
134	1	0	0	0.32	0.28
135	1	0	0	0.32	0.28
136	1	0	0	0.32	0.28
137	1	0	0	0.32	0.28
138	1	0	0	0.32	0.28
139	1	0	0	0.32	0.28
140	1	0	0	0.32	0.28
141	0	1	1	0.11	0.031
142	1	0	0	0.32	0.28
143	1	0	0	0.32	0.28
144	0	1	1	0.11	0.031
145	1	0	0	0.32	0.28
146	0	1	1	0.11	0.031
147	1	0	0	0.32	0.28
148	0	1	1	0.11	0.031
149	0	1	1	0.11	0.031
150	1	0.00022	0	0.32	0.28
151	1	0	0	0.32	0.28
152	1	0	0	0.32	0.28
153	1	0	0	0.32	0.28
154	1	0	0	0.32	0.28
155	0	1	1	0.11	0.031
156	0	1	1	0.11	0.031
157	0	1	1	0.11	0.031
158	1	0	0	0.32	0.28
159	1	0	0	0.32	0.28
160	1	0	0	0.32	0.28
161	0	1	1	0.11	0.031
162	1	0	0	0.32	0.28
163	1	0	0	0.32	0.28
164	1	0	0	0.32	0.28
165	1	0	0	0.32	0.28
166	1	0	0	0.32	0.28
167	1	0	0	0.32	0.28
168	1	0	0	0.32	0.28
169	1	0	0	0.32	0.28
170	1	0	0	0.32	0.28
171	0.98	0.018	0	0.32	0.28
172	1	0	0	0.32	0.28
173	1	0	0	0.32	0.28
174	1	0	0	0.32	0.28
175	1	0	0	0.32	0.28
176	0	1	1	0.11	0.031
177	1	0	0	0.32	0.28
178	0	1	1	0.11	0.031
179	1	0.0028	0	0.32	0.28
180	1	0	0	0.32	0.28
181	1	0	0	0.32	0.28
182	1	0	0	0.32	0.28
183	0	1	1	0.11	0.031
184	0	1	1	0.11	0.031
185	1	0	0	0.32	0.28
186	0	1	1	0.11	0.031
187	1	0	0	0.32	0.28
188	1	0	0	0.32	0.28
189	1	0	0	0.32	0.28
190	1	0	0	0.32	0.28
191	1	0	0	0.32	0.28
192	1	0	0	0.32	0.28
193	1	0	0	0.32	0.28
194	1	0.00022	0	0.32	0.28
195	1	0	0	0.32	0.28
196	1	0	0	0.32	0.28
197	0	1	1	0.11	0.031
198	0	1	1	0.11	0.031
199	1	0	0	0.32	0.28
200	1	0	0	0.32	0.28
201	0	1	1	0.11	0.031
202	0	1	1	0.11	0.031
203	1	0	0	0.32	0.28
204	1	0	0	0.32	0.28
205	1	0	0	0.32	0.28
206	1	0	0	0.32	0.28
207	0	1	1	0.11	0.031
