SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster	dcf0	dcf1
0	0	0.00031	0.035	0	0	0	0	0	0.0043	0.035	0.92	10	0.32	0.28
1	0	0.0018	0.066	0	0	0	0	0	0.00056	0.066	0.87	10	0.32	0.28
2	1	0	0	0	0	0	0	0	0	0	0	0	0	0.093
3	0	0	0	0	1	0	1.4e-06	0	0	0	0	4	0.11	0
4	0	0	0	0.00013	0.99	0	0.01	0	0	0	1.2e-06	4	0.11	0
5	0	0	0.0087	0	0	0	0	0	0.00055	0.0087	0.98	10	0.32	0.28
6	0	0	0	0.87	0.00027	0	0	0	0	0	0.13	3	0.25	0
7	0	0	0	0	1	0	9e-05	0	0	0	0	4	0.11	0
8	0	0	0	0	0	0	1	0	0	0	0	6	0.071	0.031
9	0	0.059	0.0068	0	0	4.1e-05	0	0.00014	0.026	0.0068	0.9	10	0.32	0.28
10	0	0	0	0.00063	1	0	0.0032	0	0	0	9.1e-06	4	0.11	0
11	0	0	0	0	0	0.93	0	0.071	0	0	0	5	0.32	0.093
12	0	0	6.1e-05	0	0	0	0	0	2.8e-06	6.1e-05	1	10	0.32	0.28
13	0	0	0	0	1	0	0	0	0	0	0	4	0.11	0
14	0	0.00097	0	0	0	0	0	0	0	0	1	10	0.32	0.28
15	0	0	0	0	0	0	1	0	0	0	0	6	0.071	0.031
16	0	0	0	0.78	1.9e-05	0.21	0	0.014	3.9e-05	0	0.00047	3	0.25	0
17	0	1.1e-05	0.11	0	0	0	0	0	0	0.11	0.78	10	0.32	0.28
18	0	3.5e-05	0.008	0	0	0	0	0	0.0098	0.008	0.97	10	0.32	0.28
19	0	0.0023	0.068	0	0	0	0	0	0.0028	0.068	0.86	10	0.32	0.28
20	0	0	0	0	0	0.73	0	0.27	0	0	0	5	0.32	0.093
21	0	0.076	0.2	0	0	0	0	0	0.0063	0.2	0.52	10	0.32	0.28
22	0	0.084	0.14	0	0	0	0	0	0.019	0.14	0.61	10	0.32	0.28
23	0	0	0	0.95	0.047	0	0	0	0	0	0	3	0.25	0
24	0	0	0	0.015	0.99	0	3.9e-05	0	0	0	0	4	0.11	0
25	0	0	0	2.7e-06	1	0	0	0	0	0	0	4	0.11	0
26	1	0	0	0	0	0	1.1e-05	0	0	0	0	0	0	0.093
27	0	0.00087	0.12	0	0	0	0	0	9.6e-05	0.12	0.75	10	0.32	0.28
28	0	0.001	0.12	0	0	0	0	0	0.00012	0.12	0.76	10	0.32	0.28
29	0	0.073	0.21	0	0	0	0	0	0.0023	0.21	0.51	10	0.32	0.28
30	1	0	0	0	0	0	0	0	0	0	0	0	0	0.093
31	0	0.069	0.17	0	0	0	0	0	0.0092	0.17	0.57	10	0.32	0.28
32	0	0.12	0.17	0	0	0	0	0	0.032	0.17	0.51	10	0.32	0.28
33	0	0.0019	0	0	0	0	0	0	0.8	0	0.2	8	0.44	0.28
34	0	0.089	0.31	0	0	0	0	0	0.00038	0.31	0.29	2	0.6	0.62
35	1	0	0	0	0	0	0	0	0	0	0	0	0	0.093
36	0	0.00098	0.052	0	0	0	0	0	0.0029	0.052	0.89	10	0.32	0.28
37	0	0.074	0	0	0	0	0	0	0.00085	0	0.93	10	0.32	0.28
38	0	0.0007	0	0	0	0.2	9.5e-05	0.37	0.00041	0	0.42	10	0.32	0.28
39	0	0	0	0.016	0.98	0	0.0048	0	0	0	0	4	0.11	0
40	0	0.00017	0.023	0	0	0	0	0	0.0019	0.023	0.95	10	0.32	0.28
41	1	0	0	0	0	0	0	0	0	0	0	0	0	0.093
42	0	0.0034	0.28	0	0	0	0	0	1.5e-05	0.28	0.43	10	0.32	0.28
43	0	0	0	0.0055	0.99	0	2.2e-05	0	0	0	0	4	0.11	0
44	0	8.1e-06	0	0	0	0.58	0	0.36	0.0004	0	0.061	5	0.32	0.093
45	0	0.038	0.12	0	0	0	0	0	0.018	0.12	0.71	10	0.32	0.28
46	0	0.011	0.071	0	0	0	0	0	0.02	0.071	0.83	10	0.32	0.28
47	0	0	0	0	0	0.98	0	0.024	0	0	0	5	0.32	0.093
48	0	0.097	0.14	0	0	0	0	0	0.027	0.14	0.59	10	0.32	0.28
49	0	0.013	0.057	0	0	0	0	0	0.054	0.057	0.82	10	0.32	0.28
50	0	2.9e-05	0.0008	0	0	0	0	0	0.53	0.0008	0.47	8	0.44	0.28
51	0	6e-05	0.01	0	0	0	0	0	0.0065	0.01	0.97	10	0.32	0.28
52	0	0.026	0	0	0	7.7e-05	0	0.00076	0.0067	0	0.97	10	0.32	0.28
53	0	0.0003	0.053	0	0	0	0	0	0.00071	0.053	0.89	10	0.32	0.28
54	0	0	0	0.00011	1	0	0.0022	0	0	0	0	4	0.11	0
55	0	0.00062	0.029	0	0	0	0	0	0.01	0.029	0.93	10	0.32	0.28
56	0	0.032	0.17	0	0	0	0	0	0.0027	0.17	0.63	10	0.32	0.28
57	0	0	0	0.23	0.77	3.3e-06	0.00034	0	0	0	0	4	0.11	0
58	0	0.0046	0.2	0	0	0	0	0	0.0011	0.2	0.59	10	0.32	0.28
59	1	0	0	0	0	0	0	0	0	0	0	0	0	0.093
60	1	0	0	0	0	0	9.8e-06	0	0	0	0	0	0	0.093
61	0	0.0043	0.16	0	0	0	0	0	0.0025	0.16	0.67	10	0.32	0.28
62	0	0.099	0.099	0	0	0	0	0	0.0011	0.099	0.7	10	0.32	0.28
63	0	0	0	0.014	0.99	0	2.4e-05	0	0	0	6.6e-05	4	0.11	0
64	0	3.7e-05	0.0029	0	0	0.32	0	0.4	0.00054	0.0029	0.27	7	0.28	0.12
65	0	0	0	0.0056	0.99	0	0.0006	0	0	0	0	4	0.11	0
66	0	0.069	0.011	0	0	0	0	0	0.13	0.011	0.78	10	0.32	0.28
67	0.91	0	0	0	0	0.095	0	0	0	0	4.6e-05	0	0	0.093
68	0	0.059	0.0065	0	0	0	0	0	0.05	0.0065	0.88	10	0.32	0.28
69	0	0.099	0.14	0	0	0	0	0	0.028	0.14	0.59	10	0.32	0.28
70	0.98	0.023	0	0	0	0	1e-05	0	0	0	0	0	0	0.093
71	0.91	0	0	0	0	0.095	0	0	0	0	1.3e-06	0	0	0.093
72	0	0	0	0	0	0.66	0	0.34	0	0	0	5	0.32	0.093
73	0	0	0	0.99	2.4e-05	0	0	0	0	0	0.013	3	0.25	0
74	0	0.33	0	0	0	0	0	0	0.00032	0	0.66	10	0.32	0.28
75	1	0	0	0	0	0	0	0	0	0	0	0	0	0.093
76	0	0	0	0	0	0	1	0	0	0	0	6	0.071	0.031
77	0	0	0	0.0065	0.99	0	0	0	0	0	0	4	0.11	0
78	0	0	0	0	0	0.3	0	0.7	0	0	1.1e-05	7	0.28	0.12
79	0	0.00079	0.18	0	0	0	0	0	0.4	0.18	0.24	8	0.44	0.28
80	0	0.019	0.28	0	0	0	0	0	1.7e-05	0.28	0.42	10	0.32	0.28
81	0	0	0	0.095	0.8	0.00012	0.0058	4.9e-05	0.095	0	0	4	0.11	0
82	0.92	0.075	0	0	0	0	0.00012	0	0	0	0	0	0	0.093
83	0	0	0	0.0022	0.91	0	0.0016	0	0.089	0	0	4	0.11	0
84	0	0	0	0	1	0	8.9e-05	0	0	0	0	4	0.11	0
85	0	0	0	0	0	0.0014	0	1	0	0	0	7	0.28	0.12
86	0.96	0.043	0	0	0	0	1.3e-05	0	0	0	0	0	0	0.093
87	0	0.0032	0.41	0	0	0	0	0	0	0.41	0.18	2	0.6	0.62
88	0	0	0	0	0	0.93	0	0.074	0	0	3.7e-06	5	0.32	0.093
89	0.97	0.027	0	0	0	0	0	0	0	0	0	0	0	0.093
90	0	0	0	0	0	0.96	0	0.04	0	0	0	5	0.32	0.093
91	0	0	0	0	0	0.0041	0	1	0	0	2e-05	7	0.28	0.12
92	0	0	0	0	0	0.98	0	0.018	0	0	0	5	0.32	0.093
93	0	0.0058	0.074	0	0	0	0	0	0.073	0.074	0.77	10	0.32	0.28
94	0	0	0	0	0	0.057	0	0.94	0	0	2.8e-05	7	0.28	0.12
95	0	1.5e-06	0.0082	0	0	0	0	0	0.0028	0.0082	0.98	10	0.32	0.28
96	0	0	0	1	0.0011	0	0	0	0	0	0	3	0.25	0
97	0	0.86	0	0	0	0	0	0	0	0	0.14	1	0.32	0.43
98	0	0	0	0.35	0.65	0.00065	0.0024	0.00017	0	0	0	4	0.11	0
99	0	0	0	0	0	0.97	0	0.032	0	0	0	5	0.32	0.093
100	0	0.069	0.15	0	0	0	0	0	0.014	0.15	0.62	10	0.32	0.28
101	0	0.23	0.16	0	0	0	0	0	0.015	0.16	0.44	10	0.32	0.28
102	1	0	0	0	0	0	0	0	0	0	0	0	0	0.093
103	0	0.0047	0.046	0	0	0	0	0	0.021	0.046	0.88	10	0.32	0.28
104	0	0	0	1	1.5e-05	1.4e-05	0	0	0	0	0	3	0.25	0
105	0	0	0	0	1	0	0.0012	0	0	0	0	4	0.11	0
106	0	0.12	0.14	0	0	0	0	0	0.02	0.14	0.58	10	0.32	0.28
107	1	0	0	0	0	0	0	0	0	0	0	0	0	0.093
108	0	0.0018	0.062	0	0	0	0	0	0.0028	0.062	0.87	10	0.32	0.28
109	0	0.054	0.41	0	0	0	0	0	1.3e-05	0.41	0.12	2	0.6	0.62
110	1	0	0	0	0	0	2.9e-06	0	0	0	0	0	0	0.093
111	1	0	0	0	0	0	0	0	0	0	0	0	0	0.093
112	0	0	0.0094	0	0	0	0	0	1.3e-05	0.0094	0.98	10	0.32	0.28
113	0	4.4e-05	0.0038	0	0	0	0	0	0.075	0.0038	0.92	10	0.32	0.28
114	1	0	0	0	0	0	0	0	0	0	0	0	0	0.093
115	0	0.39	0	0	0	0	0	0	2.6e-05	0	0.61	10	0.32	0.28
116	0	0	0	1	0.00039	0	0	0	0	0	0	3	0.25	0
117	0	0	0	0	0	0.99	0	0.0091	0	0	0	5	0.32	0.093
118	0	8.7e-05	0.015	0	0	0	0	0	0.0031	0.015	0.97	10	0.32	0.28
119	0	3.5e-06	0.0019	0	0	0	0	0	0.023	0.0019	0.97	10	0.32	0.28
