k	loglikelihood	observations	parameters	BIC
1	-5937.01	3766	4	11906.9
2	-3006.72	3766	6	6062.85
3	-2297.15	3766	8	4660.18
4	-2284.68	3766	10	4651.7
5	-2022.38	3766	12	4143.56
6	-1947.15	3766	14	4009.57
7	-1936.33	3766	16	4004.4
8	-1833.15	3766	18	3814.5
9	-1793.25	3766	20	3751.17
10	-1810.33	3766	22	3801.81
11	-1801.34	3766	24	3800.29
12	-1765.95	3766	26	3745.99
13	-1773.27	3766	28	3777.09
14	-1764.81	3766	30	3776.63
15	-1777.92	3766	32	3819.32
16	-1790.48	3766	34	3860.91
17	-1767.97	3766	36	3832.35
18	-1790.44	3766	38	3893.76
19	-1782.81	3766	40	3894.97
20	-1754.87	3766	42	3855.56
