SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster	dcf0	dcf1	dcf2	dcf3
0	0	0.16	0.31	0	0	0	0.53	0	6	0.25	0.19	0.22	0.14
1	0	0.68	0.026	0	0	0	0.29	0	1	0.25	0.19	0.22	0.093
2	0	0	0	0	0	0	1	0	6	0.25	0.19	0.22	0.14
3	0	0.018	9.8e-05	0	0	0	0.98	0	6	0.25	0.19	0.22	0.14
4	0	0.0017	0.0041	0	0	0	0.99	0	6	0.25	0.19	0.22	0.14
5	0.76	0	0	0	0	0	0.24	0	0	0.47	0.26	0.28	0.22
6	0	0.59	0	0	0	0	0.41	0	1	0.25	0.19	0.22	0.093
7	0.003	0	0	0	0	0	1	0	6	0.25	0.19	0.22	0.14
8	0.0023	0.29	0.0087	0	0	0.019	0.68	0	6	0.25	0.19	0.22	0.14
9	9.5e-05	0	0	0	0	0	1	0	6	0.25	0.19	0.22	0.14
10	0	0.13	8.8e-05	0	0	0	0.87	0	6	0.25	0.19	0.22	0.14
11	0	0	0	0	0	1	0	0	5	0.22	0.15	0.22	0.016
12	0	0.17	0.061	0	0	6.9e-06	0.76	0	6	0.25	0.19	0.22	0.14
13	0	0.11	0.43	0	0	0	0.46	0	6	0.25	0.19	0.22	0.14
14	7.2e-06	0.061	0.0039	0	0	0	0.94	0	6	0.25	0.19	0.22	0.14
15	0	0.012	0.00017	0	0	0.99	0.0028	0	5	0.22	0.15	0.22	0.016
16	0.043	0	0	0	0	0	0.96	0	6	0.25	0.19	0.22	0.14
17	4.4e-05	0.022	0.036	0	0	0	0.94	0	6	0.25	0.19	0.22	0.14
18	0	0.33	0.016	0	0	3.1e-05	0.66	0	6	0.25	0.19	0.22	0.14
19	0	0.16	0.28	0	0	6.7e-05	0.56	0	6	0.25	0.19	0.22	0.14
20	0.12	0.15	0.0055	0	0	0.00013	0.72	0	6	0.25	0.19	0.22	0.14
21	0.47	0.0019	8.5e-05	0	0	0	0.53	0	6	0.25	0.19	0.22	0.14
22	0.78	0	0	0	0	0	0.22	0	0	0.47	0.26	0.28	0.22
23	0	0.94	0.0028	0	0	0	0.06	0	1	0.25	0.19	0.22	0.093
24	0	0.012	0.24	0	0	0	0.75	0	6	0.25	0.19	0.22	0.14
25	0	0.045	0.067	0	0	0	0.89	0	6	0.25	0.19	0.22	0.14
26	1.2e-05	0.087	0.021	0	0	0	0.89	0	6	0.25	0.19	0.22	0.14
27	0.0026	0	0	0	0	0	1	0	6	0.25	0.19	0.22	0.14
28	4.6e-06	0	0	0	0	0	1	0	6	0.25	0.19	0.22	0.14
29	0.00059	0.039	0.054	0	0	0	0.91	0	6	0.25	0.19	0.22	0.14
30	5.3e-05	0.044	0.19	0	0	0	0.77	0	6	0.25	0.19	0.22	0.14
31	4.8e-05	0.068	0.0089	0	0	0	0.92	0	6	0.25	0.19	0.22	0.14
32	0	0	0	0	0	0	1	0	6	0.25	0.19	0.22	0.14
33	0.00017	0	0	0	0	0	1	0	6	0.25	0.19	0.22	0.14
34	0.031	0	0	0	0	0	0.97	0	6	0.25	0.19	0.22	0.14
35	0	0.048	0.00039	0	0	0	0.95	0	6	0.25	0.19	0.22	0.14
36	4e-06	0.082	0.093	0	0	0	0.82	0	6	0.25	0.19	0.22	0.14
37	0	0.034	0.6	0	0	0	0.37	0	2	0.19	0.15	0.17	0.14
38	1.5e-05	0.11	0.0096	0	0	0	0.88	0	6	0.25	0.19	0.22	0.14
39	0.25	0	0	0	0	0	0.75	0	6	0.25	0.19	0.22	0.14
40	0.00033	0	0	0	0	0	1	0	6	0.25	0.19	0.22	0.14
41	0	0.19	0.0013	0	0	0	0.81	0	6	0.25	0.19	0.22	0.14
42	0.005	0.031	0.04	0	0	0	0.92	0	6	0.25	0.19	0.22	0.14
43	1	0	0	0	0	0	3.1e-06	0	0	0.47	0.26	0.28	0.22
44	0	0.23	0.15	0	0	4.3e-05	0.62	0	6	0.25	0.19	0.22	0.14
45	0	0.03	0.43	0	0	0	0.54	0	6	0.25	0.19	0.22	0.14
46	0	0	0	0	0	1	0	0	5	0.22	0.15	0.22	0.016
47	0	0.68	0.00013	0	0	4.2e-05	0.32	0	1	0.25	0.19	0.22	0.093
48	0.99	0	0	0	0	0	0.013	0	0	0.47	0.26	0.28	0.22
49	0	0.23	0.065	0	0	0	0.7	0	6	0.25	0.19	0.22	0.14
50	0	0.36	0.27	0	0	4.2e-05	0.36	0	6	0.25	0.19	0.22	0.14
51	0	0.00016	0.21	0	0	0	0.79	0	6	0.25	0.19	0.22	0.14
52	0	0.19	0.12	0	0	0	0.69	0	6	0.25	0.19	0.22	0.14
53	0	0	0	0	1	0	0	0	4	0	0.021	0	0.14
54	2.3e-06	0	0	0	0	0	1	0	6	0.25	0.19	0.22	0.14
55	0.00016	0.46	0.00041	0	0	0.0045	0.54	0	6	0.25	0.19	0.22	0.14
56	6.6e-06	0.0044	0	0	0	0	1	0	6	0.25	0.19	0.22	0.14
57	5.8e-06	0.059	0.15	0	0	5.1e-05	0.79	0	6	0.25	0.19	0.22	0.14
58	0	0.17	4.7e-06	0	0	0	0.83	0	6	0.25	0.19	0.22	0.14
59	0	0	0	0	1	0	0	0	4	0	0.021	0	0.14
60	0	0.0061	0.68	0	0	0	0.31	0	2	0.19	0.15	0.17	0.14
61	0.035	7.5e-05	0	0	0	0	0.96	0	6	0.25	0.19	0.22	0.14
62	0	0.098	0.27	0	0	0	0.63	0	6	0.25	0.19	0.22	0.14
63	0	0.23	0.66	0	0	0	0.1	0	2	0.19	0.15	0.17	0.14
64	3.6e-05	0.018	4.3e-05	0	0	0	0.98	0	6	0.25	0.19	0.22	0.14
65	0.58	0.011	6.1e-06	0	0	0	0.41	0	0	0.47	0.26	0.28	0.22
66	0	0.019	0.9	0	0	0	0.082	0	2	0.19	0.15	0.17	0.14
67	0	0.0012	0	0	0	1	0	0	5	0.22	0.15	0.22	0.016
68	0	0	0	1	0	0	0	0	3	0.75	0	0.087	0.096
69	0	0.17	0.17	0	0	0	0.66	0	6	0.25	0.19	0.22	0.14
70	0	0.31	0	0	0.018	0	0.67	0	6	0.25	0.19	0.22	0.14
71	0.00028	0	0	0	0	0	1	0	6	0.25	0.19	0.22	0.14
72	0	0	0	0	0	0	0	1	7	0.42	0.18	0.61	0
73	0.00026	0.032	3.2e-05	0	0	0	0.97	0	6	0.25	0.19	0.22	0.14
74	0	0	0	0	1	0	0	0	4	0	0.021	0	0.14
75	0	0.082	0.38	0	0	5e-06	0.54	0	6	0.25	0.19	0.22	0.14
76	0	0.014	5.8e-05	0	0	0.98	0.0024	5.8e-06	5	0.22	0.15	0.22	0.016
77	0.00041	0.16	0.022	0	0	0.58	0.24	3.5e-05	5	0.22	0.15	0.22	0.016
78	0	0	0	0	1	0	0	0	4	0	0.021	0	0.14
79	3.8e-06	0.17	0.025	0	0	5.3e-06	0.81	0	6	0.25	0.19	0.22	0.14
80	0	0.42	0.00048	0	0	0	0.58	0	6	0.25	0.19	0.22	0.14
81	0	0	0	0	0	1	0	0	5	0.22	0.15	0.22	0.016
82	1	0	0	0	0	0	0	0	0	0.47	0.26	0.28	0.22
83	0	0.095	0.00097	0	0	0	0.9	0	6	0.25	0.19	0.22	0.14
