SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster	dcf0	dcf1	dcf2	dcf3
0	9e-06	0.11	0	0	0	0.26	0	0	0	6.8e-05	0	0	0	0.51	0	0	0.11	0	0	13	0.22	0.17	0.17	0.11
1	0	0.03	0	0	0	0.22	0	0	0	0.00026	0	0	0	0.72	0	0	0.03	0	0	13	0.22	0.17	0.17	0.11
2	0.038	0.22	0	0	0	0	0.00061	0.0017	0	0	0.52	0	0	0	0	0	0.22	0	0	10	0.53	0.4	0.41	0.22
3	0.005	0.5	0	0	0	0.00017	0	0	0	0.0001	0	0	0	0.0027	0	0	0.5	0	0	16	0.25	0.19	0.22	0.14
4	0.012	0.49	0	0	0	0.00025	0	0	0	1.9e-05	0	0	0	0.0018	0	0	0.49	0	0	16	0.25	0.19	0.22	0.14
5	0.036	0.05	0	0	0	0	0.15	0.038	0.57	0	0.028	0	0.078	0	0	0	0.05	0	0	8	0.75	0.6	0.28	0.38
6	0.0015	0.5	0	0	0	0	0	0	0	1.1e-05	0	0	0	6.7e-05	0	0	0.5	0	0	16	0.25	0.19	0.22	0.14
7	0.028	0.49	0	0	0	0	0.00012	0.00021	0	0	8.2e-05	0	0	0	0	0	0.49	0	0	16	0.25	0.19	0.22	0.14
8	0.033	0.39	0	0	0	0.029	0.00017	0.00016	0	0.0093	9.8e-06	0.037	0	0.083	0	0	0.39	0.037	0	16	0.25	0.19	0.22	0.14
9	0.009	0.5	0	0	0	0	1.2e-05	0.00013	0	0	0.00069	0	0	0	0	0	0.5	0	0	16	0.25	0.19	0.22	0.14
10	0.00051	0.5	0	0	0	0.00057	0	0	0	2.9e-05	0	0	0	0.0042	0	0	0.5	0	0	16	0.25	0.19	0.22	0.14
11	0	0	0	0.0016	1	0	0	0	0	0	0	0.00031	0	0	0	0	0	0.00031	0	4	0.19	0.13	0.22	0
12	0.00045	0.42	0	0	0	0.063	0	0	0	0.00011	0	0	0	0.1	0	0	0.42	0	0	16	0.25	0.19	0.22	0.14
13	0	0.11	0	0	0	0.32	0	0	0	1.8e-05	0	0	0	0.45	0	0	0.11	0	0	13	0.22	0.17	0.17	0.11
