SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster	dcf0	dcf1	dcf2	dcf3
0	0	0.14	0	0	0	0	0	0.002	0	0	0	0	0.73	0.14	0	0	12	0.19	0.17	0.17	0.11
1	0	0.055	0	0	0	0	0	0.00049	0	0	0	0	0.89	0.055	0	0	12	0.19	0.17	0.17	0.11
2	0	0.5	0	0	0	0	0	0	7.3e-06	0	0.00017	0	0	0.5	0	0	1	0.25	0.19	0.22	0.14
3	0	0.5	0	0	0	0	0	0.00091	0	0	0	0	0.00039	0.5	0	0	1	0.25	0.19	0.22	0.14
4	0	0.5	0	0	0	0	0	0.00035	0	0	0	0	0.00059	0.5	0	0	1	0.25	0.19	0.22	0.14
5	0	0.12	0	0	0	0	0.21	0	0.0099	0	0.53	0	0	0.12	0	0	10	0.47	0.33	0.34	0.22
6	0	0.1	0	0	0	0	0	0.79	0	0	0	0	0	0.1	0	0	7	0.25	0.18	0.26	0.096
7	0	0.5	0	0	0	0	0	0	9.4e-05	0	0.00043	0	0	0.5	0	0	1	0.25	0.19	0.22	0.14
8	0	0.41	0	0.075	0	0	0	0.025	6.3e-05	0	0.00077	0	0.071	0.41	0	0	1	0.25	0.19	0.22	0.14
9	0	0.5	0	0	0	0	0	0	3.4e-05	0	2.2e-05	0	0	0.5	0	0	1	0.25	0.19	0.22	0.14
10	0	0.49	0	0	0	0	0	0.016	0	0	0	0	0.0013	0.49	0	0	1	0.25	0.19	0.22	0.14
11	0	0	0	0.00062	0	0	0	0	0	0	0	0	0	0	0.0016	1	15	0.19	0.13	0.22	0
12	0	0.41	0	0	0	0	0	0.043	0	0	0	0	0.14	0.41	0	0	1	0.25	0.19	0.22	0.14
13	0	0.12	0	0	0	0	0	0.0022	0	0	0	0	0.76	0.12	0	0	12	0.19	0.17	0.17	0.11
14	0	0.49	0	0	0	0	0	0.0079	0	0	0	0	0.0086	0.49	0	0	1	0.25	0.19	0.22	0.14
15	0	0.00027	0	0.22	0	0	0	0.00011	0	0	0	0	0.00055	0.00027	0.56	0.23	14	0.25	0.19	0.17	0
16	0	0.39	0	0	0	0	0.0088	0	0.066	0	0.15	0	0	0.39	0	0	1	0.25	0.19	0.22	0.14
17	6.6e-06	0.48	0	0	0	0	0	0.00094	0	0	0	0	0.032	0.48	0	0	1	0.25	0.19	0.22	0.14
18	0	0.42	0	2.9e-05	0	0	0	0.033	0	0	0	0	0.13	0.42	0	0	1	0.25	0.19	0.22	0.14
19	3.2e-06	0.14	0	2.1e-05	0	0	0	0.0015	0	0	0	0	0.72	0.14	0	0	12	0.19	0.17	0.17	0.11
20	4.5e-06	0.48	0	0.00033	0	0	0	0.012	9.5e-05	0	0.0066	0	0.02	0.48	0	0	1	0.25	0.19	0.22	0.14
21	0	0.23	0	0	0	0	0	7.5e-05	0.038	0	0.49	0	0.00021	0.23	0	0	10	0.47	0.33	0.34	0.22
22	0	0.053	0	0	0	0	4e-06	0	0.54	0	0.35	0	0	0.053	0	0	8	0.42	0.33	0.47	0.22
