k	loglikelihood	observations	parameters	BIC
1	-1794.85	3216	8	3654.31
2	-1394.88	3216	12	2886.67
3	-1279.91	3216	16	2689.04
4	-1242.27	3216	20	2646.06
5	-1243.19	3216	24	2680.2
6	-1226.66	3216	28	2679.44
7	-1227.83	3216	32	2714.09
8	-1204.13	3216	36	2698.99
9	-1197.28	3216	40	2717.59
10	-1192.52	3216	44	2740.38
11	-1198.77	3216	48	2785.19
12	-1191.42	3216	52	2802.79
13	-1173.94	3216	56	2800.13
14	-1153.73	3216	60	2792.02
15	-1160.48	3216	64	2837.82
16	-1166.04	3216	68	2881.24
17	-1152.52	3216	72	2886.51
18	-1162.47	3216	76	2938.7
19	-1160.5	3216	80	2967.07
20	-1161.03	3216	84	3000.43
