SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster	dcf0	dcf1	dcf2	dcf3
0	0	0	1	0	0	0	0	4.8e-06	2	0.051	0.087	0.022	0.02
1	0.02	0.95	0	0.00091	0	0	0.029	0	1	0.23	0.26	0.2	0.18
2	0.028	0.77	0	0.19	0	9.4e-06	0.005	0	1	0.23	0.26	0.2	0.18
3	0.085	0.62	0	0.3	0	0	0.00089	0	1	0.23	0.26	0.2	0.18
4	0.69	0.22	0	0.096	0	0	7.1e-06	0	0	0.29	0.31	0.2	0.18
5	0.056	0.68	0	0.026	0	0	0.23	0	1	0.23	0.26	0.2	0.18
6	0.012	0.75	0	0.24	0	0	0.0016	0	1	0.23	0.26	0.2	0.18
7	0	0	0	0	1	0	0	0	4	0	0	0.022	0.02
8	0.069	0.92	0	0.01	0	0	0.00037	0	1	0.23	0.26	0.2	0.18
9	0.065	0.55	0	0.39	0	0	0.00079	0	1	0.23	0.26	0.2	0.18
10	0	0	0	0	1	0	0	0	4	0	0	0.022	0.02
11	0.04	0.96	0	0.0013	0	0	0.0006	0	1	0.23	0.26	0.2	0.18
12	0.18	0.7	0	0.12	0	0	5.5e-06	0	1	0.23	0.26	0.2	0.18
13	0.52	0.42	0	0.0021	0	0	0.059	0	0	0.29	0.31	0.2	0.18
14	0.015	0.95	0	0.035	0	0	2.2e-06	0	1	0.23	0.26	0.2	0.18
15	0.27	0.71	0	0.019	0	0	0.003	0	1	0.23	0.26	0.2	0.18
16	4e-05	0.87	0	0.13	0	0	1.6e-06	0	1	0.23	0.26	0.2	0.18
17	0.24	0.58	0	0.18	0	0	0.0016	0	1	0.23	0.26	0.2	0.18
18	0.29	0.42	0	0.3	0	0	4.5e-05	0	1	0.23	0.26	0.2	0.18
19	0.25	0.75	0	0.00018	0	0	0.00045	0	1	0.23	0.26	0.2	0.18
20	0.069	0.79	0	0.14	0	0	0.0022	0	1	0.23	0.26	0.2	0.18
21	0.012	0.079	0	0.91	0	0	6.8e-06	0	3	0.23	0.26	0.13	0.12
22	0.3	0.7	0	0.0032	0	0	1.7e-05	0	1	0.23	0.26	0.2	0.18
23	0.31	0.42	0	0.00015	0	0	0.27	0	1	0.23	0.26	0.2	0.18
24	0.4	0.56	0	0.017	0	0	0.026	0	1	0.23	0.26	0.2	0.18
25	0.025	0.93	0	0.012	0	0	0.029	0	1	0.23	0.26	0.2	0.18
26	0	0	0	0	1	0	0	0	4	0	0	0.022	0.02
27	0.01	0.7	0	0.28	0	0	0.0072	0	1	0.23	0.26	0.2	0.18
28	0.87	0.13	0	0.00021	0	0	6.9e-06	0	0	0.29	0.31	0.2	0.18
29	0.024	0.51	0	0.47	0	0	0	0	1	0.23	0.26	0.2	0.18
30	0.88	0.12	0	1e-06	0	0	0.0006	0	0	0.29	0.31	0.2	0.18
31	0.27	0.72	0	0.00032	0	0	0.007	0	1	0.23	0.26	0.2	0.18
32	0.88	0.091	0	3.1e-05	0	0	0.034	0	0	0.29	0.31	0.2	0.18
33	0.043	0.0018	0	0.95	0	0	0	0	3	0.23	0.26	0.13	0.12
34	0.027	0.13	0	0.85	0	0	1.5e-06	0	3	0.23	0.26	0.13	0.12
35	0	0	1	0	0	0	0	0	2	0.051	0.087	0.022	0.02
36	0.049	0.94	0	0.014	0	0	0.00039	0	1	0.23	0.26	0.2	0.18
37	0.29	0.67	0	0.0031	0	0	0.035	0	1	0.23	0.26	0.2	0.18
38	0	0	1	0	0	0	0	0.001	2	0.051	0.087	0.022	0.02
39	0.051	0.86	0	0.087	0	0	0.00052	0	1	0.23	0.26	0.2	0.18
40	0.0083	0.25	0	0.74	0	0	0.00027	0	3	0.23	0.26	0.13	0.12
41	0.028	0.93	0	0.021	0	0	0.025	0	1	0.23	0.26	0.2	0.18
42	0.00018	0.31	0	0.69	0	0	0	0	3	0.23	0.26	0.13	0.12
43	0.003	0.95	0	0.05	0	0	0.0003	0	1	0.23	0.26	0.2	0.18
44	1.1e-05	0.65	0	0.35	0	0	0	0	1	0.23	0.26	0.2	0.18
45	0.00012	0.015	0	0.98	0	0	0	0	3	0.23	0.26	0.13	0.12
46	0.97	0.026	0	0.00012	0	0	1.3e-05	0	0	0.29	0.31	0.2	0.18
47	0.0083	0.56	0	0.42	0	0	0.0093	0	1	0.23	0.26	0.2	0.18
48	0.0046	0.67	0	0.3	0	0	0.023	0	1	0.23	0.26	0.2	0.18
49	0.03	0.82	0	0.076	0	0	0.074	0	1	0.23	0.26	0.2	0.18
50	6.3e-06	0.88	0	0.12	0	0	0.00061	0	1	0.23	0.26	0.2	0.18
51	3.4e-05	0.78	0	0.22	0	0	7.1e-05	0	1	0.23	0.26	0.2	0.18
52	0.015	0.14	0	0.85	0	0	0.00026	0	3	0.23	0.26	0.13	0.12
53	0.00018	0.27	0	0.73	0	0	0	0	3	0.23	0.26	0.13	0.12
54	0.029	0.88	0	0.05	0	0	0.045	0	1	0.23	0.26	0.2	0.18
55	0	0.028	0	0.97	0	0	0	0	3	0.23	0.26	0.13	0.12
56	5.3e-05	1	0	0.00028	0	0	0.00038	0	1	0.23	0.26	0.2	0.18
57	0.2	0.5	0	0.3	0	0	0.00048	0	1	0.23	0.26	0.2	0.18
58	0.33	0.44	0	0.0069	0	0	0.23	0	1	0.23	0.26	0.2	0.18
59	0.0001	0.99	0	0.00052	0	0	0.0086	0	1	0.23	0.26	0.2	0.18
60	0.16	0.74	0	0.09	0	0	0.015	0	1	0.23	0.26	0.2	0.18
61	0.14	0.65	0	0.19	0	0	0.02	0	1	0.23	0.26	0.2	0.18
62	0.00087	0.25	0	0.75	0	0	0.00027	0	3	0.23	0.26	0.13	0.12
63	0.024	0.26	0	0.72	0	0	0.00043	0	3	0.23	0.26	0.13	0.12
64	0	0.99	0	0.001	0	0	0.0048	0	1	0.23	0.26	0.2	0.18
65	0	0.99	0	0.0075	0	0	1.3e-06	0	1	0.23	0.26	0.2	0.18
66	0.91	0.085	0	0.00011	0	0	0	0	0	0.29	0.31	0.2	0.18
67	0.074	0.43	0	0.48	0	0	0.0089	0	3	0.23	0.26	0.13	0.12
68	0.56	0.16	0	0.28	0	0	0.00038	0	0	0.29	0.31	0.2	0.18
69	0	1	0	0.00017	0	0	0	0	1	0.23	0.26	0.2	0.18
70	0.00027	0.96	0	0.00071	0	0	0.035	0	1	0.23	0.26	0.2	0.18
71	0.029	0.058	0	0.91	0	0	1.2e-05	0	3	0.23	0.26	0.13	0.12
72	0.0079	0.75	0	0.015	0	0	0.23	0	1	0.23	0.26	0.2	0.18
73	0	0	0.97	0	0	0	0	0.03	2	0.051	0.087	0.022	0.02
74	0.07	0.81	0	0.0015	0	0	0.12	0	1	0.23	0.26	0.2	0.18
75	0.0082	0.73	0	0.23	0	0	0.031	0	1	0.23	0.26	0.2	0.18
76	0.056	0.88	0	0.042	0	0	0.02	0	1	0.23	0.26	0.2	0.18
77	0.51	0.43	0	0.00034	0	0	0.06	0	0	0.29	0.31	0.2	0.18
78	0.26	0.34	0	0.4	0	0	0.00011	0	3	0.23	0.26	0.13	0.12
79	0.037	0.49	0	0.46	0	0	0.005	0	1	0.23	0.26	0.2	0.18
80	0.3	0.22	0	0.48	0	0	0.00047	0	3	0.23	0.26	0.13	0.12
81	0	0	1	0	0	0	0	0	2	0.051	0.087	0.022	0.02
82	0	0	0	0	1	0	0	0	4	0	0	0.022	0.02
83	0	0	0	0	1	0	0	0	4	0	0	0.022	0.02
84	0	0.94	0	0.058	0	0	0	0	1	0.23	0.26	0.2	0.18
