SNV	cluster0	cluster1	cluster2	cluster3	cluster	dcf0	dcf1	dcf2	dcf3
0	0	1	0	0	1	0.026	0.12	0.022	0.02
1	0.99	0	0	0.014	0	0.23	0.26	0.2	0.18
2	0.98	0	0	0.024	0	0.23	0.26	0.2	0.18
3	0.91	0	0	0.087	0	0.23	0.26	0.2	0.18
4	0.31	0	0	0.69	3	0.29	0.31	0.2	0.18
5	0.95	0	0	0.053	0	0.23	0.26	0.2	0.18
6	0.99	0	0	0.011	0	0.23	0.26	0.2	0.18
7	0	0	1	0	2	0	0	0.044	0.02
8	0.95	0	0	0.049	0	0.23	0.26	0.2	0.18
9	0.92	0	0	0.076	0	0.23	0.26	0.2	0.18
10	0	1.8e-05	1	0	2	0	0	0.044	0.02
11	0.97	0	0	0.028	0	0.23	0.26	0.2	0.18
12	0.85	0	0	0.15	0	0.23	0.26	0.2	0.18
13	0.54	0	0	0.46	0	0.23	0.26	0.2	0.18
14	0.99	0	0	0.01	0	0.23	0.26	0.2	0.18
15	0.79	0	0	0.21	0	0.23	0.26	0.2	0.18
16	1	0	0	3.2e-05	0	0.23	0.26	0.2	0.18
17	0.78	0	0	0.22	0	0.23	0.26	0.2	0.18
18	0.68	0	0	0.32	0	0.23	0.26	0.2	0.18
19	0.81	0	0	0.19	0	0.23	0.26	0.2	0.18
20	0.94	0	0	0.057	0	0.23	0.26	0.2	0.18
21	0.91	0	0	0.093	0	0.23	0.26	0.2	0.18
22	0.77	0	0	0.23	0	0.23	0.26	0.2	0.18
23	0.66	0	0	0.34	0	0.23	0.26	0.2	0.18
24	0.67	0	0	0.33	0	0.23	0.26	0.2	0.18
25	0.98	0	0	0.018	0	0.23	0.26	0.2	0.18
26	0	0	1	0	2	0	0	0.044	0.02
27	0.99	0	0	0.0099	0	0.23	0.26	0.2	0.18
28	0.18	0	0	0.82	3	0.29	0.31	0.2	0.18
29	0.97	0	0	0.031	0	0.23	0.26	0.2	0.18
30	0.16	0	0	0.84	3	0.29	0.31	0.2	0.18
31	0.79	0	0	0.21	0	0.23	0.26	0.2	0.18
32	0.13	0	0	0.87	3	0.29	0.31	0.2	0.18
33	0.057	0	0	0.94	3	0.29	0.31	0.2	0.18
34	0.87	0	0	0.13	0	0.23	0.26	0.2	0.18
35	0	1	0	0	1	0.026	0.12	0.022	0.02
36	0.97	0	0	0.035	0	0.23	0.26	0.2	0.18
37	0.77	0	0	0.23	0	0.23	0.26	0.2	0.18
38	0	1	0	0	1	0.026	0.12	0.022	0.02
39	0.96	0	0	0.04	0	0.23	0.26	0.2	0.18
40	0.98	0	0	0.022	0	0.23	0.26	0.2	0.18
41	0.98	0	0	0.02	0	0.23	0.26	0.2	0.18
