k	loglikelihood	observations	parameters	BIC
1	-14840.7	13656	8	29757.6
2	-9037.86	13656	12	18190
3	-8586.65	13656	16	17325.6
4	-8488.9	13656	20	17168.2
5	-8404.81	13656	24	17038.1
6	-8217.16	13656	28	16700.9
7	-7988.59	13656	32	16281.9
8	-8030.04	13656	36	16402.9
9	-7903.4	13656	40	16187.7
10	-7929.57	13656	44	16278.1
11	-7841.22	13656	48	16139.5
12	-7663.64	13656	52	15822.4
13	-7830.89	13656	56	16195
14	-7694.88	13656	60	15961.1
15	-7640.01	13656	64	15889.4
16	-7613.99	13656	68	15875.5
17	-7723.2	13656	72	16132
18	-7474.11	13656	76	15671.9
19	-7526.13	13656	80	15814
20	-7426.54	13656	84	15652.9
