k	loglikelihood	observations	parameters	BIC
1	-39564.1	23877	6	79188.7
2	-19270.4	23877	9	38631.6
3	-18773.4	23877	12	37667.8
4	-17336.7	23877	15	34824.6
5	-16938.5	23877	18	34058.4
6	-16092.8	23877	21	32397.3
7	-15936.3	23877	24	32114.5
8	-16067.1	23877	27	32406.4
9	-15783.4	23877	30	31869.3
10	-15704.9	23877	33	31742.4
11	-15576.9	23877	36	31516.6
12	-16412.6	23877	39	33218.3
13	-15741.4	23877	42	31906.1
14	-15561.9	23877	45	31577.4
15	-16669.1	23877	48	33822
16	-15687	23877	51	31888.1
17	-16617.8	23877	54	33779.9
18	-16617.8	23877	57	33810.2
19	-15589.3	23877	60	31783.5
20	-16582.8	23877	63	33800.7
