SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster	dcf0	dcf1	dcf2
0	0.33	0	0	0.34	0.33	0	5.2e-05	0	0	0	0	0	3	0.68	0.77	0.84
1	0.32	0.029	0	0.33	0.32	0	0.00093	0	0	0	0	0	3	0.68	0.77	0.84
2	0	0	0	0	0	0	0	0	0	0	0	1	11	0.14	0.51	0.75
3	0.33	0.012	0	0.33	0.33	0	0.00017	0	0	0	0	0	3	0.68	0.77	0.84
4	0	0	0	0	0	0	0	0	1	0	0	0	8	0.036	0.077	0.089
5	0	0	0	0	0	0	0	0	1	0	0	0	8	0.036	0.077	0.089
6	0.27	0.18	1.4e-05	0.27	0.27	0.0092	0.0011	0	0	0	0	0	3	0.68	0.77	0.84
7	0	0	0	0	0	0	0	0	9.3e-06	0	1	0	10	0	0.1	0
8	0.11	0.074	0.44	0.11	0.11	0.00011	0.16	0	0	0	0	0	2	0.68	1	0.88
9	0.31	0.063	0	0.31	0.31	2.9e-05	9.4e-05	0	0	0	0	0	3	0.68	0.77	0.84
10	0	0	0	0	0	0	0	0	1	0	0	0	8	0.036	0.077	0.089
11	0.33	0.0017	0.0024	0.33	0.33	0	0.014	0	0	0	0	0	3	0.68	0.77	0.84
12	0.31	0.045	0.014	0.31	0.31	0.00017	0.015	0	0	0	0	0	3	0.68	0.77	0.84
13	0.3	0.092	0	0.3	0.3	0.00024	0.00053	0	0	0	0	0	3	0.68	0.77	0.84
14	0.33	0.0023	0	0.33	0.33	0	0.00062	0	0	0	0	0	3	0.68	0.77	0.84
15	0.33	0.0049	0.00014	0.33	0.33	0	0.0089	0	0	0	0	0	3	0.68	0.77	0.84
16	0.33	4.9e-05	0	0.34	0.33	0	0.0013	0	0	0	0	0	3	0.68	0.77	0.84
17	0.27	0.066	0.098	0.27	0.27	0.00065	0.03	0	0	0	0	0	3	0.68	0.77	0.84
18	0.32	0.029	2.6e-05	0.33	0.32	3.9e-05	0.0008	0	0	0	0	0	3	0.68	0.77	0.84
19	0.25	0.18	4.4e-05	0.26	0.25	0.048	0.00078	0	0	0	0	0	3	0.68	0.77	0.84
20	0.053	0.5	0	0.054	0.053	0.34	2.7e-06	0	0	0	0	0	1	0.79	0.77	0.84
21	0.28	0.14	0.0021	0.28	0.28	0.024	0.0025	0	0	0	0	0	3	0.68	0.77	0.84
22	0.29	0.0017	0.036	0.29	0.29	0	0.091	0	0	0	0	0	3	0.68	0.77	0.84
23	0.33	0.00015	0	0.34	0.33	0	1.1e-05	0	0	0	0	0	3	0.68	0.77	0.84
24	0.31	0.052	0.0017	0.31	0.31	8.1e-05	0.014	0	0	0	0	0	3	0.68	0.77	0.84
25	0.33	0.0002	4.6e-06	0.33	0.33	0	0.0033	0	0	0	0	0	3	0.68	0.77	0.84
26	0.18	0.076	0.34	0.18	0.18	0.018	0.023	0	0	0	0	0	2	0.68	1	0.88
27	0.33	0.016	2e-05	0.33	0.33	0	0.0031	0	0	0	0	0	3	0.68	0.77	0.84
28	0.32	0.007	0.0015	0.33	0.32	0	0.015	0	0	0	0	0	3	0.68	0.77	0.84
29	0.29	0.11	0.0023	0.29	0.29	0.027	0.0032	0	0	0	0	0	3	0.68	0.77	0.84
30	0.31	0.051	4.2e-05	0.32	0.31	0.0019	0.0005	0	0	0	0	0	3	0.68	0.77	0.84
31	0.3	0.071	0.0018	0.31	0.3	5.7e-05	0.017	0	0	0	0	0	3	0.68	0.77	0.84
