SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster	dcf0	dcf1	dcf2
0	0	0	0	0	0	0	0	0.011	0.99	0	8	0.023	0	0.11
1	0	0	0	0	0	0	0	0	0	1	9	0.023	0.14	0
2	0.32	0.32	0	0	0.023	0.34	0	0	0	0	5	0.12	0	0
3	0	0	0	0	0	0	0	0	0	1	9	0.023	0.14	0
4	0.48	0.48	0	0	0.028	0.0064	0	0	0	0	0	0.16	0	0
5	0	0	0.28	0	0	0	0.72	0	0	0	6	0.088	0.096	0.2
6	0.48	0.48	0	0	0.016	0.016	0	0	0	0	0	0.16	0	0
7	0	0	3.3e-06	0	0	0	0.0086	0.15	0.84	0	8	0.023	0	0.11
8	0.26	0.26	0	0	0.018	0.46	0	0	6.2e-06	0	5	0.12	0	0
9	0.24	0.24	0	0	0.015	0.5	0	0	0	0	5	0.12	0	0
10	0	0	0	0	0	0	0	0	0	1	9	0.023	0.14	0
11	0	0	0	0	1	0	0	0	0	0	4	0.16	0.016	0
12	0	0	1	0	0	0	0	0	0	0	2	0.21	0.14	0.11
13	0.47	0.47	0	0	0.0033	0.066	0	0	0	0	0	0.16	0	0
14	0.44	0.44	0	0	0.0092	0.12	0	0	0	0	0	0.16	0	0
15	0.39	0.39	0.011	0.0083	0.09	0.1	4.1e-05	0.00019	2.8e-05	0	0	0.16	0	0
16	0	0	7.4e-06	0	1	0	0	0	0	0	4	0.16	0.016	0
17	0.097	0.097	0	0	0.0035	0.8	0	0	4.7e-06	0	5	0.12	0	0
18	0.47	0.47	0.0052	0.00015	0.012	0.053	0	0	0	0	0	0.16	0	0
19	0	0	1	0	0	0	0	0	0	0	2	0.21	0.14	0.11
20	0.42	0.42	0.015	0.004	0.06	0.087	0	0	0	0	0	0.16	0	0
21	0.4	0.4	0.017	0.0057	0.068	0.11	0	0	0	0	0	0.16	0	0
22	0	0	3.7e-05	2.4e-05	1	0	0	0	0	0	4	0.16	0.016	0
23	0	0	0	0	1	0	0	0	0	0	4	0.16	0.016	0
24	0	0	1	0	0	0	0	0	0	0	2	0.21	0.14	0.11
25	0.34	0.34	0.0022	0.00019	0.025	0.3	0	0	0	0	0	0.16	0	0
26	0.41	0.41	0.0037	0.00031	0.024	0.16	0	0	0	0	0	0.16	0	0
27	0	0	0.0003	0.0002	1	0	0	0	0	0	4	0.16	0.016	0
28	0	0	0	0	0	0	0	0	0	1	9	0.023	0.14	0
29	0	0	0.52	0	0	0	0	0	0.48	0	2	0.21	0.14	0.11
30	0.41	0.41	0.058	0.023	0.069	0.022	0	0	0	0	0	0.16	0	0
31	0.39	0.39	0.062	0.04	0.085	0.029	0	0	0	0	0	0.16	0	0
32	0.48	0.48	0.02	0.00044	0.013	0.0085	0	0	0	0	0	0.16	0	0
33	0.42	0.42	0.016	0.0067	0.084	0.054	2.7e-06	2.9e-05	0	0	0	0.16	0	0
34	0.015	0.015	0	0	0.00066	0.9	0	0	0.074	0	5	0.12	0	0
35	0.43	0.43	0	0	0.02	0.11	0	0	0	0	0	0.16	0	0
36	0	0	0	1	0	0	0	0	0	0	3	0.21	0.14	0.012
37	0.33	0.33	0.0034	0.00057	0.034	0.3	0	0	0	0	0	0.16	0	0
38	0.26	0.26	0.00087	7.8e-05	0.017	0.45	0	0	0	0	5	0.12	0	0
39	0	0	0	0	0	0	0	0	0	1	9	0.023	0.14	0
40	0	0	1	0	0	0	0	0	0	0	2	0.21	0.14	0.11
41	0	0	0	0	0	0	0	0	1	0	8	0.023	0	0.11
42	0.41	0.41	0.055	0.018	0.072	0.025	0	0	0	0	0	0.16	0	0
43	0	0	0	0	0	0	0	0	1	0	8	0.023	0	0.11
44	0.32	0.32	0	0	0.014	0.34	0	0	0	0	5	0.12	0	0
45	0	0	0	0	0	0	0	0.00019	1	0	8	0.023	0	0.11
46	0	0	0.88	0.12	0.00029	0	0	0	0	0	2	0.21	0.14	0.11
47	0.41	0.41	0	0	0.02	0.16	0	0	0	0	0	0.16	0	0
48	0.22	0.22	0	0	0.017	0.54	0	0	3.7e-05	0	5	0.12	0	0
49	0	0	0.02	0.016	0.96	0	0.00096	0	0	0.00025	4	0.16	0.016	0
50	0	0	0	0	0	0	0	0	0	1	9	0.023	0.14	0
51	0.49	0.49	0	0	0.0032	0.015	0	0	0	0	0	0.16	0	0
52	0	0	8.1e-06	1	0	0	0	0	0	0	3	0.21	0.14	0.012
53	0	0	1	0	0	0	0	0	0	0	2	0.21	0.14	0.11
54	0	0	0	0	0	0	0	0	1	0	8	0.023	0	0.11
55	0	0	0	0	0	0	1	0	0	0	6	0.088	0.096	0.2
56	0.44	0.44	0.00021	0.00013	0.069	0.059	0	0	0	0	0	0.16	0	0
57	0	0	0	0	1	0	0	0	0	0	4	0.16	0.016	0
58	0	0	0	0	0	0	0	0	0	1	9	0.023	0.14	0
59	0.44	0.44	0	0.0058	0.034	0.081	0	0	0	0	0	0.16	0	0
60	0	0	1.9e-06	0	0	0	0.025	0.97	0.0055	0	7	0.088	0	0.2
61	0	0	0	1	0	0	0	0	0	0	3	0.21	0.14	0.012
62	0.47	0.47	0	0.025	0.031	0.0067	0	0	0	0	0	0.16	0	0
63	0.38	0.38	0	0.00056	0.025	0.22	0	0	0	0	0	0.16	0	0
64	0.44	0.44	0	0.0094	0.047	0.058	0	0	0	0	0	0.16	0	0
65	0	0	0	0.00018	0	0	0	0	0	1	9	0.023	0.14	0
66	0	0	0	0	0	0	0	0	1	0	8	0.023	0	0.11
67	0	0	0	0	0	0	1	0	0	0	6	0.088	0.096	0.2
68	0.21	0.21	0	0.00031	0.017	0.57	0	0	0	3e-05	5	0.12	0	0
69	0.42	0.42	0	0.00033	0.017	0.14	0	0	0	0	0	0.16	0	0
70	0	0	9.7e-06	0	0	0	0.00039	0.0077	0.99	0	8	0.023	0	0.11
71	0	0	1	0	0	0	0	0	0	0	2	0.21	0.14	0.11
72	0	0	0	0	1	0	0	0	0	0	4	0.16	0.016	0
73	0.39	0.39	0	0.0045	0.046	0.16	0	0	0	0	0	0.16	0	0
74	0.43	0.43	2e-05	0.069	0.061	0.011	0	0	0	0	0	0.16	0	0
75	0	0	0	0	0	0	0	0	0	1	9	0.023	0.14	0
76	0.37	0.37	6.6e-06	0.0073	0.056	0.2	0	0	0	1.2e-06	0	0.16	0	0
77	0.44	0.44	0	0.00029	0.013	0.11	0	0	0	0	0	0.16	0	0
78	0	0	0	0	0	0	0	0	0	1	9	0.023	0.14	0
79	0.29	0.29	3.1e-06	0.0028	0.039	0.38	0	0	0	8.6e-05	5	0.12	0	0
80	0.073	0.073	0	2.9e-05	0.0061	0.84	0	0	0	0.0048	5	0.12	0	0
81	0	0	1	0	0	0	0	0	0	0	2	0.21	0.14	0.11
82	0.41	0.41	1.6e-06	0.15	0.042	0.0013	0	0	0	0	0	0.16	0	0
83	0.08	0.08	0	2.9e-06	0.0025	0.84	0	0	0	0	5	0.12	0	0
84	0.2	0.2	0	1.8e-05	0.0051	0.6	0	0	0	0	5	0.12	0	0
85	0	0	0	1	0	0	0	0	0	0	3	0.21	0.14	0.012
86	0.12	0.12	0	0	0.00055	0.77	0	0	0	0	5	0.12	0	0
87	0	0	0	0	0	0	1	0	0	0	6	0.088	0.096	0.2
88	0.28	0.28	1.1e-06	0.0024	0.046	0.39	0	0	0	9.4e-05	5	0.12	0	0
89	0.32	0.32	0	0	0.058	0.3	0	0	0	0	0	0.16	0	0
90	0.29	0.29	0	0	0.029	0.39	0	0	0	0	5	0.12	0	0
91	0.48	0.48	0	0	0.021	0.01	0	0	0	0	0	0.16	0	0
92	0	0	0	1	0	0	0	0	0	0	3	0.21	0.14	0.012
93	0	0	0.0036	0.97	0	0	5.5e-05	0.0036	0.022	0	3	0.21	0.14	0.012
94	0	0	1	0	0	0	0	0	0	0	2	0.21	0.14	0.11
95	0.37	0.37	0.002	0.014	0.17	0.071	4.5e-06	2e-05	0	0	0	0.16	0	0
96	0.44	0.44	0	0.0003	0.12	0.005	0	0	0	0	0	0.16	0	0
97	0.42	0.42	0	0.00029	0.13	0.03	0	0	0	0	0	0.16	0	0
98	0.25	0.25	0	0.48	0.019	3.1e-05	0	0	0	0	3	0.21	0.14	0.012
99	0	0	1	0	0	0	0	0	0	0	2	0.21	0.14	0.11
100	0	0	0.95	0	0	0	0.048	0	0	0	2	0.21	0.14	0.11
101	0.48	0.48	0	0	0.018	0.027	0	0	0	0	0	0.16	0	0
102	0.29	0.29	0	0	0.021	0.4	0	0	0	0	5	0.12	0	0
103	0	0	0	0	1	0	0	0	0	0	4	0.16	0.016	0
104	0.43	0.43	0	0	0.061	0.085	0	0	0	0	0	0.16	0	0
105	0.34	0.34	0	0	0.058	0.27	0	0	0	0	0	0.16	0	0
106	0.42	0.42	0	0	0.044	0.12	0	0	0	0	0	0.16	0	0
107	0	0	0	0	0	0	0	5.8e-06	1	0	8	0.023	0	0.11
108	0.32	0.32	0	0	0.037	0.32	0	0	0	0	0	0.16	0	0
109	0	0	0	0	0	0	0	0	0	1	9	0.023	0.14	0
110	0	0	2.3e-06	0	0	0	0.0012	0.78	0.22	0	7	0.088	0	0.2
111	0	0	0	0	0	0	1	0	0	0	6	0.088	0.096	0.2
112	0	0	0	0	0	0	0	0	0	1	9	0.023	0.14	0
113	0	0	0	0	1	0	0	0	0	0	4	0.16	0.016	0
114	0.35	0.35	6.8e-06	0.0063	0.061	0.22	0	0	0	1.7e-06	0	0.16	0	0
115	0.31	0.31	0	0.0023	0.034	0.34	0	0	0	2e-05	5	0.12	0	0
116	0	0	0	0	0	0	0	0	0	1	9	0.023	0.14	0
117	0	0	0	0	1	0	0	0	0	0	4	0.16	0.016	0
118	0.48	0.48	0	0	0.033	0	0	0	0	0	0	0.16	0	0
119	0	0	1	0	0	0	0	0	0	0	2	0.21	0.14	0.11
120	0	0	0	0	0	0	0	0	0	1	9	0.023	0.14	0
121	0.26	0.26	0	0	0.05	0.43	0	0	0	0	5	0.12	0	0
122	0	0	1	0	0	0	0	0	0	0	2	0.21	0.14	0.11
123	0	0	1	0	0	0	0	0	0	0	2	0.21	0.14	0.11
124	0	0	0	0	0	0	0	0	0	1	9	0.023	0.14	0
125	0	0	0	0	0	0	1	0	0	0	6	0.088	0.096	0.2
126	0.41	0.41	0	0	0.093	0.08	0	0	0	0	0	0.16	0	0
127	0.4	0.4	0.0004	0.058	0.064	0.071	0	0	0	0	0	0.16	0	0
128	0	0	0	0	0	0	0	2e-05	1	0	8	0.023	0	0.11
129	0	0	0	0	0	0	0	1.8e-05	1	0	8	0.023	0	0.11
130	0.45	0.45	2.3e-06	0	0.081	0.016	0	0	0	0	0	0.16	0	0
131	0	0	0	1	0	0	0	0	0	0	3	0.21	0.14	0.012
132	0.28	0.28	0	0.00063	0.024	0.42	0	0	0	0	5	0.12	0	0
133	0.29	0.29	0	0.41	0.011	1.4e-05	0	0	0	0	3	0.21	0.14	0.012
134	0	0	1	0	0	0	0	0	0	0	2	0.21	0.14	0.11
135	0.15	0.15	0	0.69	0.0014	0	0	0	0	0	3	0.21	0.14	0.012
136	0.23	0.23	0	0	0.014	0.53	0	0	0	0	5	0.12	0	0
137	0.49	0.49	0	0	0.0094	0.0011	0	0	0	0	0	0.16	0	0
138	0	0	1	0	0	0	7.7e-06	0	0	0	2	0.21	0.14	0.11
