SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster	dcf0	dcf1	dcf2
0	0	0	1	0	0	0	0	0	0	0	0	0	2	0.088	0	0.2
1	0	0	0	0	0.013	0	0	0	0	0	0.99	0	10	0.023	0.14	0.11
2	0	0	0	0	0	0	1.4e-05	0	0.98	0.0021	0	0.02	8	0.14	0	0
3	0	0	0	0	0.4	0	0	0	0	0	0.6	0	10	0.023	0.14	0.11
4	0	0.00021	0	0	0	0.00021	0.0041	0	0.85	0.053	0	0.091	8	0.14	0	0
5	0	0	0	1	0	0	0	0	0	0	0	0	3	0.21	0.14	0.11
6	0	2.4e-06	0	0	0	2.4e-06	0.00024	0	0.95	0.011	0	0.037	8	0.14	0	0
7	0	0	1	8.4e-06	0	0	2.7e-06	0	0	0	0.0047	0	2	0.088	0	0.2
8	0	0	0	0	0	0	4.2e-06	0	0.98	0.00081	0	0.015	8	0.14	0	0
9	0	0	0	0	0	0	1.3e-06	0	0.99	0.00041	0	0.012	8	0.14	0	0
10	0	0	0	0	0.16	0	0	0	0	0	0.84	0	10	0.023	0.14	0.11
11	0	0	0	0	0	0	0	0	0	0	0	1	11	0.16	0.016	0
12	0	0	0	1	0	0	0	0	0	0	0	0	3	0.21	0.14	0.11
13	0	0	0	0	0	0	0	0	1	3.1e-05	0	0.003	8	0.14	0	0
14	0	0	0	0	0	0	0	0	0.99	0.0002	0	0.0084	8	0.14	0	0
15	0.0019	0.03	0.00064	0.015	0	0.03	0.011	0	0.67	0.14	0	0.099	8	0.14	0	0
16	0	0	0	8.6e-06	0	0	0	0	0	0	0	1	11	0.16	0.016	0
17	0	0	0	0	0	0	0	0	1	2e-05	0	0.0035	8	0.14	0	0
18	0.0033	0	0	0.0082	0	0	0	0	0.97	0.0018	0	0.016	8	0.14	0	0
19	0	0	0	1	0	0	0	0	0	0	0	0	3	0.21	0.14	0.11
20	0.0095	0.00079	0	0.023	0	0.00079	0	0	0.84	0.044	0	0.078	8	0.14	0	0
21	0.0097	0.0028	0	0.024	0	0.0028	0	0	0.82	0.058	0	0.084	8	0.14	0	0
22	2.8e-05	0	0	4.2e-05	0	0	0	0	0	0	0	1	11	0.16	0.016	0
23	0	0	0	0	0	0	0	0	0	0	0	1	11	0.16	0.016	0
24	0	0	0	1	0	0	0	0	0	0	0	0	3	0.21	0.14	0.11
25	0.00091	0	0	0.0022	0	0	0	0	0.97	0.0014	0	0.021	8	0.14	0	0
26	0.0017	0	0	0.0043	0	0	0	0	0.97	0.0026	0	0.023	8	0.14	0	0
27	0.00023	0	0	0.00035	0	0	0	0	0	0	0	1	11	0.16	0.016	0
28	0	0	0	0	0.97	0	0	0	0	0	0.032	0	4	0	0.22	0
29	0	0	0	0.96	0	0	0	0.006	0	0	0.038	0	3	0.21	0.14	0.11
30	0.033	0.093	0	0.08	0	0.093	7.2e-05	0	0.39	0.23	0	0.083	8	0.14	0	0
31	0.025	0.17	0	0.061	0	0.17	0.0012	0	0.29	0.21	0	0.072	8	0.14	0	0
32	0.026	0	0	0.064	0	0	0	0	0.86	0.01	0	0.035	8	0.14	0	0
33	0.0012	0.12	6.7e-05	0.014	0	0.12	0.042	0	0.36	0.27	0	0.065	8	0.14	0	0
34	0	0	0	0	0	0	0	0	1	5.3e-06	0	0.0017	8	0.14	0	0
35	0	0	0	0	0	0	5.4e-05	0	0.98	0.0033	0	0.022	8	0.14	0	0
36	0	0	0	0	0	0	0	0	0	1	0	0	9	0.21	0	0.012
37	0.0015	0	0	0.0037	0	0	0	0	0.96	0.0046	0	0.032	8	0.14	0	0
38	0.00033	0	0	0.00081	0	0	0	0	0.98	0.00053	0	0.013	8	0.14	0	0
39	0	0	0	0	0.6	0	0	0	0	0	0.4	0	4	0	0.22	0
40	0	0	0	1	0	0	0	0	0	0	0	0	3	0.21	0.14	0.11
41	0	0	0	0	0	0	0	0	0	0	1	0	10	0.023	0.14	0.11
42	0.032	0.096	0	0.078	0	0.096	1.3e-05	0	0.42	0.19	0	0.088	8	0.14	0	0
43	0	0	0	0	0	0	0	1	0	0	0	0	7	0	0	0.2
44	0	0	0	0	0	0	2.1e-06	0	0.99	0.0004	0	0.011	8	0.14	0	0
45	0	0	0.00024	0	0	0	0	1	0	0	0	0	7	0	0	0.2
46	0.048	0	0	0.95	0	0	0	0	0	0	0	0.00027	3	0.21	0.14	0.11
47	0	0	0	0	0	0	2e-05	0	0.98	0.002	0	0.02	8	0.14	0	0
48	0	0	1.6e-06	0	0	0	2.1e-06	0	0.98	0.00093	0	0.015	8	0.14	0	0
49	0.0048	0	0	0.024	0	0	0	0	0	0	0.00026	0.97	11	0.16	0.016	0
50	0	0	0	0	0.0013	0	0	0	0	0	1	0	10	0.023	0.14	0.11
51	0	0	0	0	0	0	0	0	0.99	0.00022	0	0.006	8	0.14	0	0
52	0	0	0	1	0	0	0	0	0	0	0	0	3	0.21	0.14	0.11
53	0	0	0	1	0	0	0	0	0	0	0	0	3	0.21	0.14	0.11
54	0	0	1	0	0	0	0	0	0	0	3.4e-06	0	2	0.088	0	0.2
55	0	0	0	0	0	0	0	0	0	0	1	0	10	0.023	0.14	0.11
56	7.3e-05	0.0049	1.7e-06	0.00036	0	0.0049	0.005	0	0.8	0.085	0	0.1	8	0.14	0	0
57	0	0	0	0	0	0	0	0	0	0	0	1	11	0.16	0.016	0
58	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0.22	0
59	0.0067	0.00044	0	0	0	0.00044	0	0	0.9	0.045	0	0.046	8	0.14	0	0
60	0	0	1	0	0	0	0	0	0	0	0.00018	0	2	0.088	0	0.2
61	0	0	0	1	0	0	0	0	0	0	0	0	3	0.21	0.14	0.11
62	0.057	0.026	0	0	0	0.026	0	0	0.5	0.32	0	0.069	8	0.14	0	0
63	0.00066	0	0	0	0	0	0	0	0.97	0.0029	0	0.022	8	0.14	0	0
64	0.0084	0.00054	0	0	0	0.00054	0	0	0.84	0.078	0	0.069	8	0.14	0	0
65	1.6e-05	0	0	0	1	0	0	0	0	0	0.0011	0	4	0	0.22	0
66	0	0	7.1e-06	0	0	0	0	0.22	0	0	0.78	0	10	0.023	0.14	0.11
67	0	0	0	0	0	0	0	0	0	0	1	0	10	0.023	0.14	0.11
68	0.00022	0	0	0	0	0	0	0	0.98	0.0016	0	0.015	8	0.14	0	0
69	0.00072	0	0	0	0	0	0	0	0.98	0.0018	0	0.016	8	0.14	0	0
70	0	0	0.034	1.7e-05	0	0	0	0.82	0	0	0.14	0	7	0	0	0.2
71	0	0	0	1	0	0	0	0	0	0	0	0	3	0.21	0.14	0.11
72	0	0	0	0	0	0	0	0	0	0	0	1	11	0.16	0.016	0
73	0.003	0.00013	0	0	0	0.00013	0	0	0.92	0.028	0	0.05	8	0.14	0	0
74	0.028	0.14	0	2.3e-05	0	0.14	8e-06	0	0.24	0.39	0	0.06	9	0.21	0	0.012
75	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0.22	0
76	0.0026	0.00024	0	8e-06	0	0.00024	0	0	0.9	0.043	0	0.059	8	0.14	0	0
77	0.0011	0	0	0	0	0	0	0	0.98	0.0018	0	0.014	8	0.14	0	0
78	0.28	0	0	0	0	0	0	0	0	0	0.69	0.032	10	0.023	0.14	0.11
79	0.0009	1.7e-05	0	3.3e-06	0	1.7e-05	0	0	0.95	0.015	0	0.036	8	0.14	0	0
80	3.2e-05	0	0	0	0	0	0	0	0.99	0.00021	0	0.0078	8	0.14	0	0
81	0	0	0	1	0	0	0	0	0	0	0	0	3	0.21	0.14	0.11
82	0.025	0.35	0	0	0	0.35	0	0	0.028	0.24	0	0.012	1	0.34	0	0
83	9.3e-06	0	0	0	0	0	0	0	1	1.7e-05	0	0.0026	8	0.14	0	0
84	4.3e-05	0	0	0	0	0	0	0	1	7.6e-05	0	0.0038	8	0.14	0	0
85	0	0	0	1	0	0	0	0	0	0	0	0	3	0.21	0.14	0.11
86	1.6e-06	0	0	0	0	0	0	0	1	0	0	0.00034	8	0.14	0	0
