SNV	cluster0	cluster1	cluster2	cluster	dcf0	dcf1	dcf2
0	0	1	0	1	0.21	0.047	0.11
1	0	0	1	2	0.023	0.14	0.086
2	1	0.00039	0	0	0.16	0	0
3	0	0	1	2	0.023	0.14	0.086
4	1	0.0023	0	0	0.16	0	0
5	0	1	0	1	0.21	0.047	0.11
6	1	0.00015	0	0	0.16	0	0
7	0	1	0	1	0.21	0.047	0.11
8	1	0.00021	0	0	0.16	0	0
9	1	0.00011	0	0	0.16	0	0
10	0	0.00091	1	2	0.023	0.14	0.086
11	0	1	0	1	0.21	0.047	0.11
12	0	1	0	1	0.21	0.047	0.11
13	1	0	0	0	0.16	0	0
14	1	4.2e-06	0	0	0.16	0	0
15	0.83	0.17	0	0	0.16	0	0
16	0	1	0	1	0.21	0.047	0.11
17	1	4.6e-06	0	0	0.16	0	0
18	1	6.1e-06	0	0	0.16	0	0
19	0	1	0	1	0.21	0.047	0.11
20	1	0.0041	0	0	0.16	0	0
21	0.99	0.0076	0	0	0.16	0	0
22	0	1	0	1	0.21	0.047	0.11
23	0	1	0	1	0.21	0.047	0.11
24	0	1	0	1	0.21	0.047	0.11
25	1	9.2e-05	0	0	0.16	0	0
26	1	6.8e-05	0	0	0.16	0	0
27	0	1	0	1	0.21	0.047	0.11
28	0	0	1	2	0.023	0.14	0.086
29	0	0	1	2	0.023	0.14	0.086
30	0.98	0.024	0	0	0.16	0	0
31	0.94	0.063	0	0	0.16	0	0
32	1	2.8e-05	0	0	0.16	0	0
33	0.62	0.38	0	0	0.16	0	0
34	1	5.7e-06	0	0	0.16	0	0
35	1	0.0004	0	0	0.16	0	0
36	0	1	0	1	0.21	0.047	0.11
37	1	0.00042	0	0	0.16	0	0
38	1	3.1e-05	0	0	0.16	0	0
39	0	0	1	2	0.023	0.14	0.086
40	0	1	0	1	0.21	0.047	0.11
41	0	0	1	2	0.023	0.14	0.086
42	0.98	0.025	0	0	0.16	0	0
43	0	0	1	2	0.023	0.14	0.086
44	1	4.3e-05	0	0	0.16	0	0
45	0	1.4e-05	1	2	0.023	0.14	0.086
46	0	1	0	1	0.21	0.047	0.11
47	1	0.00016	0	0	0.16	0	0
48	1	0.00024	0	0	0.16	0	0
49	0	1	8.8e-06	1	0.21	0.047	0.11
50	0	9.2e-06	1	2	0.023	0.14	0.086
51	1	0	0	0	0.16	0	0
52	0	1	0	1	0.21	0.047	0.11
53	0	1	0	1	0.21	0.047	0.11
54	0	0	1	2	0.023	0.14	0.086
55	0	1	0	1	0.21	0.047	0.11
56	0.97	0.033	0	0	0.16	0	0
57	0	1	0	1	0.21	0.047	0.11
58	0	0	1	2	0.023	0.14	0.086
59	1	0	0	0	0.16	0	0
60	0	0.18	0.82	2	0.023	0.14	0.086
61	0	1	0	1	0.21	0.047	0.11
62	1	0	0	0	0.16	0	0
63	1	0	0	0	0.16	0	0
64	1	0	0	0	0.16	0	0
65	0	0	1	2	0.023	0.14	0.086
66	0	0	1	2	0.023	0.14	0.086
67	0	0	1	2	0.023	0.14	0.086
68	1	0	0	0	0.16	0	0
69	1	0	0	0	0.16	0	0
70	0	0.00033	1	2	0.023	0.14	0.086
71	0	1	0	1	0.21	0.047	0.11
72	0	1	0	1	0.21	0.047	0.11
73	1	0	0	0	0.16	0	0
74	1	2e-05	0	0	0.16	0	0
75	0	0	1	2	0.023	0.14	0.086
76	1	9.8e-06	0	0	0.16	0	0
77	1	0	0	0	0.16	0	0
78	0	0	1	2	0.023	0.14	0.086
79	1	0	1.3e-06	0	0.16	0	0
80	1	0	0	0	0.16	0	0
81	0	1	0	1	0.21	0.047	0.11
82	1	0	0	0	0.16	0	0
83	1	0	0	0	0.16	0	0
84	1	0	0	0	0.16	0	0
85	0	1	0	1	0.21	0.047	0.11
86	1	0	0	0	0.16	0	0
87	0	1	0	1	0.21	0.047	0.11
88	1	0	0	0	0.16	0	0
89	1	0	0	0	0.16	0	0
90	1	0	0	0	0.16	0	0
91	1	0	0	0	0.16	0	0
92	0	1	0	1	0.21	0.047	0.11
93	0	1	0.00025	1	0.21	0.047	0.11
94	0	1	0	1	0.21	0.047	0.11
