SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0	dcf1	dcf2
0	0	0	0	0.0033	0	0	0	0	0	0	0.0033	0	0	0	0.0033	0	0	0	0	0.99	19	0.023	0	0.11
1	0	0	0	0	0	0.0016	0	0	0	0	0	0	0	0	0	0	0	1	0	0	17	0	0.14	0
2	0.21	0.19	0	0	0	0	0	0.01	0.19	0	0	0.0015	0.19	0	0	0.0053	0.21	0	0	0	0	0.12	0	0
3	0	0	0	0	0	0.00067	0	0	0	0	0	0	0	0	0	0	0	1	0	0	17	0	0.14	0
4	0.0041	0.3	0	0	0.00011	0	0	0.0062	0.3	0	0	0.022	0.3	0	0	0.076	0.0041	0	0	0	1	0.16	0	0
5	0	0	0	0	0	0	0	0	0	1.1e-05	0	1	0	0	0	0	0	0	0	0	11	0.21	0.016	0.11
6	0.011	0.32	0	0	0	0	0	0.0051	0.32	0	0	0.0049	0.32	0	0	0.017	0.011	0	0	0	1	0.16	0	0
7	0	0	0	0.047	0	0	0	0	0	0	0.047	0.00016	0	0	0.047	0	0	0	0	0.86	19	0.023	0	0.11
8	0.27	0.15	0	0	0	0	0	0.006	0.15	0	0	0.00072	0.15	0	0	0.0025	0.27	0	0	6.1e-06	0	0.12	0	0
9	0.29	0.13	0	0	0	0	0	0.0044	0.13	0	0	0.00042	0.13	0	0	0.0015	0.29	0	0	0	0	0.12	0	0
10	0	0	0	0	0	0.044	0	0	0	0	0	0	0	0	0	0	0	0.96	0	0	17	0	0.14	0
11	0	0	0	0	0	0	0	0	0	0	0	0.22	0	0	0	0.78	0	0	0	0	15	0.21	0.016	0
12	0	0	0	0	0	0	0	0	0	0.00035	0	1	0	0	0	0	0	0	0	0	11	0.21	0.016	0.11
13	0.045	0.3	0	0	0	0	0	0.0008	0.3	0	0	4.6e-05	0.3	0	0	0.00016	0.045	0	0	0	1	0.16	0	0
14	0.077	0.28	0	0	0	0	0	0.0023	0.28	0	0	0.0003	0.28	0	0	0.001	0.077	0	0	0	1	0.16	0	0
15	0.052	0.19	0.00027	4.9e-05	0.035	0	5.2e-06	0.041	0.19	1.3e-05	4.9e-05	0.077	0.19	6.2e-05	4.9e-05	0.17	0.052	0	0	2.4e-05	1	0.16	0	0
16	0	0	0	0	0	0	0	0	0	0	0	0.36	0	0	0	0.64	0	0	0	0	15	0.21	0.016	0
17	0.43	0.049	0	0	0	0	0	0.00078	0.049	0	0	1.8e-05	0.049	0	0	6.5e-05	0.43	0	0	4.1e-06	0	0.12	0	0
18	0.036	0.31	0	0	0	0	0	0.0035	0.31	0	0	0.00033	0.31	0.00059	0	0.0052	0.036	0	4.5e-06	0	1	0.16	0	0
19	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	0.27	0.14	0.28
20	0.056	0.26	2.8e-06	0	0.00098	0	0	0.025	0.26	0	0	0.0054	0.26	0.00049	0	0.084	0.056	0	3.7e-06	0	1	0.16	0	0
21	0.068	0.24	1.5e-05	0	0.0036	0	0	0.031	0.24	0	0	0.0066	0.24	0.00046	0	0.1	0.068	0	3.5e-06	0	1	0.16	0	0
