k	loglikelihood	observations	parameters	BIC
1	-35970.1	39561	6	72003.8
2	-25381.4	39561	9	50858.1
3	-21578.2	39561	12	43283.5
4	-17240.3	39561	15	34639.5
5	-15597.8	39561	18	31386.1
6	-14745.8	39561	21	29713.9
7	-12393.5	39561	24	25041.1
8	-13372.2	39561	27	27030.1
9	-14093.2	39561	30	28503.9
10	-12653.6	39561	33	25656.4
11	-11527.8	39561	36	23436.7
12	-13441	39561	39	27294.9
13	-11748.2	39561	42	23941.1
14	-12151.7	39561	45	24779.7
15	-13244.3	39561	48	26996.8
16	-11853.9	39561	51	24247.7
17	-11647.6	39561	54	23866.8
18	-12656.3	39561	57	25916
19	-12351.2	39561	60	25337.4
20	-11915.7	39561	63	24498.2
