SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster	dcf0	dcf1	dcf2
0	0	0	0	0	1	4	0.023	0.016	0.11
1	0	0	0	0	1	4	0.023	0.016	0.11
2	1	0	0	0	0	0	0.14	0	0
3	0	0	0	0.00025	1	4	0.023	0.016	0.11
4	1	0.00066	0	0	0	0	0.14	0	0
5	0	0	1	0	3.1e-05	2	0.21	0.14	0.11
6	1	6.7e-06	0	0	0	0	0.14	0	0
7	0	0	1.2e-05	0	1	4	0.023	0.016	0.11
8	1	0	0	0	0	0	0.14	0	0
9	1	0	0	0	0	0	0.14	0	0
10	0	0	0.00017	0.017	0.98	4	0.023	0.016	0.11
11	0	0	0	0	1	4	0.023	0.016	0.11
12	0	0	1	0	0	2	0.21	0.14	0.11
13	1	0	0	0	0	0	0.14	0	0
14	1	0	0	0	0	0	0.14	0	0
15	0.87	0.1	0.021	0.0076	2.1e-05	0	0.14	0	0
16	0	0	0.32	0.62	0.059	3	0.14	0.14	0.012
17	1	0	0	0	0	0	0.14	0	0
18	0.99	0	0.0092	0	0	0	0.14	0	0
19	0	0	1	0	0	2	0.21	0.14	0.11
20	0.97	0.0024	0.029	5.2e-05	0	0	0.14	0	0
21	0.96	0.0085	0.03	0.00033	0	0	0.14	0	0
22	0	0	0.39	0.61	0	3	0.14	0.14	0.012
23	0	0	0.88	0.12	0	2	0.21	0.14	0.11
24	0	0	1	0	0	2	0.21	0.14	0.11
25	1	0	0.0025	0	0	0	0.14	0	0
26	1	0	0.0048	0	0	0	0.14	0	0
27	0	0	0.55	0.45	0	2	0.21	0.14	0.11
28	0	0	1.2e-05	1	0	3	0.14	0.14	0.012
29	0	0	0.83	0	0.17	2	0.21	0.14	0.11
30	0.54	0.34	0.12	0.00018	0	0	0.14	0	0
31	0.37	0.55	0.084	0.002	0	1	0.34	0	0
32	0.92	1.7e-05	0.075	0	0	0	0.14	0	0
33	0.51	0.46	0.022	0.0012	0	0	0.14	0	0
34	0.98	0	0	0	0.02	0	0.14	0	0
35	1	0	0	0	0	0	0.14	0	0
36	0	0	0.017	0.98	0	3	0.14	0.14	0.012
37	1	1.4e-05	0.0042	0	0	0	0.14	0	0
38	1	0	0.0009	0	0	0	0.14	0	0
39	0	0	0	1	0	3	0.14	0.14	0.012
40	0	0	1	0	0	2	0.21	0.14	0.11
41	0	0	0	0	1	4	0.023	0.016	0.11
42	0.56	0.33	0.11	0.00021	0	0	0.14	0	0
43	0	0	0	0	1	4	0.023	0.016	0.11
44	1	0	0	0	0	0	0.14	0	0
45	0	0	0	0	1	4	0.023	0.016	0.11
46	0	0	1	0	0	2	0.21	0.14	0.11
47	1	0	0	0	0	0	0.14	0	0
48	1	0	0	0	5.6e-06	0	0.14	0	0
49	0	0	0.16	0.81	0.029	3	0.14	0.14	0.012
50	0	0	0	0	1	4	0.023	0.016	0.11
51	1	0	0	0	0	0	0.14	0	0
52	0	0	1	0	0	2	0.21	0.14	0.11
53	0	0	1	0	0	2	0.21	0.14	0.11
54	0	0	0	0	1	4	0.023	0.016	0.11
55	0	0	0	0	1	4	0.023	0.016	0.11
56	0.98	0.016	0.00049	0.00015	0	0	0.14	0	0
57	0	0	0.47	0.53	4.4e-05	3	0.14	0.14	0.012
58	0	0	0	1	0	3	0.14	0.14	0.012
59	0.99	0.0013	0	0.011	0	0	0.14	0	0
60	0	0	0.0012	0	1	4	0.023	0.016	0.11
61	0	0	0	1	0	3	0.14	0.14	0.012
62	0.88	0.12	0	0.0081	0	0	0.14	0	0
63	0.99	0	0	0.0071	0	0	0.14	0	0
64	0.98	0.0016	0	0.015	0	0	0.14	0	0
65	0	0	0.00013	1	3.5e-06	3	0.14	0.14	0.012
66	0	0	0	0	1	4	0.023	0.016	0.11
67	0	0	0	0	1	4	0.023	0.016	0.11
68	0.99	0	0	0.012	0	0	0.14	0	0
69	1	0	0	0.0041	0	0	0.14	0	0
70	0	0	3e-05	0	1	4	0.023	0.016	0.11
71	0	0	1	0	0	2	0.21	0.14	0.11
72	0	0	0	1	0	3	0.14	0.14	0.012
73	0.98	0.00038	0	0.016	0	0	0.14	0	0
74	0.4	0.59	4.1e-05	0.0094	0	1	0.34	0	0
75	0	0	0	0.89	0.11	3	0.14	0.14	0.012
76	0.97	0.00068	9.5e-06	0.027	0	0	0.14	0	0
