SNV	cluster0	cluster1	cluster2	cluster3	cluster	dcf0	dcf1
0	1	0	0	0	0	0.26	0.24
1	1	0	0	0	0	0.26	0.24
2	1	0	0	0	0	0.26	0.24
3	0	1	0.00014	0	1	0.087	0
4	1	0	0	0	0	0.26	0.24
5	1	0	0	0	0	0.26	0.24
6	1	0	0	0	0	0.26	0.24
7	1	0	0	0	0	0.26	0.24
8	4.1e-05	0	1	0	2	0.12	0.053
9	1	0	3.5e-05	0	0	0.26	0.24
10	1	0	0	0	0	0.26	0.24
11	2.1e-05	1	0.0029	0	1	0.087	0
12	1	0	0	0	0	0.26	0.24
13	1	0	0	0	0	0.26	0.24
14	1	0	0	0	0	0.26	0.24
15	1	0	0	0	0	0.26	0.24
16	1	0	0	0	0	0.26	0.24
17	1	0	6.7e-05	0	0	0.26	0.24
18	1	0	0	0	0	0.26	0.24
19	1	0	0	0	0	0.26	0.24
20	1	0	0	0	0	0.26	0.24
21	1	0	0	0	0	0.26	0.24
22	0	0	1	0.0024	2	0.12	0.053
23	1	0	0.0024	0	0	0.26	0.24
24	0	0	0	1	3	0.029	0.053
25	0	1	3.8e-05	0	1	0.087	0
26	1	0	0	0	0	0.26	0.24
27	1	0	0	0	0	0.26	0.24
28	1	0	0	0	0	0.26	0.24
29	0	1	0.00043	0	1	0.087	0
30	1	0	0	0	0	0.26	0.24
31	1	0	0	0	0	0.26	0.24
32	1	0	0	0	0	0.26	0.24
33	1	0	0	0	0	0.26	0.24
34	1	0	0	0	0	0.26	0.24
35	1	0	0	0	0	0.26	0.24
36	0	0.98	0.016	0	1	0.087	0
37	1	0	6.3e-05	0	0	0.26	0.24
38	1	0	0	0	0	0.26	0.24
39	1	0	0	0	0	0.26	0.24
40	1	0	0	0	0	0.26	0.24
41	1	0	0	0	0	0.26	0.24
42	1	0	0	0	0	0.26	0.24
43	1	0	0	0	0	0.26	0.24
44	1	0	0	0	0	0.26	0.24
45	0	0	1	0.00047	2	0.12	0.053
46	0.97	0	0.025	0	0	0.26	0.24
47	0	0	0.99	0.015	2	0.12	0.053
48	1	0	6.5e-05	0	0	0.26	0.24
49	1	0	0	0	0	0.26	0.24
50	1	0	0	0	0	0.26	0.24
51	0	0.98	0.022	0	1	0.087	0
52	0	1	0.0022	7.7e-05	1	0.087	0
53	0	1	1.1e-05	1e-05	1	0.087	0
54	1	0	0	0	0	0.26	0.24
55	1	0	0	0	0	0.26	0.24
56	1	0	0	0	0	0.26	0.24
57	0	1	5e-05	0	1	0.087	0
58	0	0	0.85	0.15	2	0.12	0.053
59	1	0	0	0	0	0.26	0.24
60	1	0	4.9e-06	0	0	0.26	0.24
61	8.9e-06	0	1	9.2e-06	2	0.12	0.053
62	1	0	0	0	0	0.26	0.24
63	0	0	0.73	0.27	2	0.12	0.053
64	1	0	0	0	0	0.26	0.24
65	0.28	0.32	0.4	5.3e-06	2	0.12	0.053
66	1	0	0	0	0	0.26	0.24
67	1	0	0	0	0	0.26	0.24
68	1	0	0	0	0	0.26	0.24
69	0	0	0	1	3	0.029	0.053
70	1	0	0	0	0	0.26	0.24
71	1	0	0	0	0	0.26	0.24
72	1	0	0	0	0	0.26	0.24
73	0	0	0.00037	1	3	0.029	0.053
74	1	0	0	0	0	0.26	0.24
75	0	0	0	1	3	0.029	0.053
76	0	0	1	0	2	0.12	0.053
77	1	0	0	0	0	0.26	0.24
78	1	0	0	0	0	0.26	0.24
79	1	0	0	0	0	0.26	0.24
80	1	0	0	0	0	0.26	0.24
81	1	0	0	0	0	0.26	0.24
82	1	0	0	0	0	0.26	0.24
83	1	0	0	0	0	0.26	0.24
84	0.0003	0.79	0.21	0.00031	1	0.087	0
85	1	0	0	0	0	0.26	0.24
86	1	0	0	0	0	0.26	0.24
87	0	0.97	0.029	0.00015	1	0.087	0
88	0	0	0	1	3	0.029	0.053
89	0	0.98	0.018	0.00049	1	0.087	0
90	1	0	0	0	0	0.26	0.24
91	1	0	0	0	0	0.26	0.24
92	1	0	0	0	0	0.26	0.24
93	1	0	0.0006	0	0	0.26	0.24
94	1	0	0	0	0	0.26	0.24
95	0.00053	0	1	0.00067	2	0.12	0.053
96	1	0	0	0	0	0.26	0.24
97	1	0	0	0	0	0.26	0.24
