SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster	dcf0	dcf1
0	0.72	0	0.0013	0	0	0	0.27	0	0.0013	0	0	0	0	8.8e-06	0	0	0	0.26	0.24
1	0.59	0	0.09	3.7e-05	0	0	0.23	0	0.09	0	0	0	0	0	0	0	0	0.26	0.24
2	0.015	0	0.49	0	0	0	0.0056	0	0.49	0	0	0	0	0	0	0	2	0.42	0.36
3	0	0	0	0	0	0	0	6.3e-06	0	0	0.004	1	0	0	0	0	11	0.087	0
4	0.72	0	0.00075	0	0	1.1e-05	0.27	0	0.00075	0	0	0	0	8.9e-05	1.1e-05	0.0015	0	0.26	0.24
5	0.65	0	1.2e-05	0	0	0.00014	0.25	0	1.2e-05	0	0	0	0	0.0012	0.00014	0.097	0	0.26	0.24
6	0.72	0	0	0	0	2.3e-06	0.28	0	0	0	0	0	0	1.9e-05	2.3e-06	0	0	0.26	0.24
7	0.72	0	6.4e-06	0	0	0	0.28	0	6.4e-06	0	0	0	0	0	0	0	0	0.26	0.24
8	2.3e-05	0	0	0	0	0	8.6e-06	1	0	0	0.00011	0	0	0	0	0	7	0.14	0.053
9	0.67	0	0.037	0	0	4.3e-06	0.26	0.00011	0.037	0	0	0	0	3.6e-05	4.3e-06	4.1e-05	0	0.26	0.24
10	0.12	0	0.41	0	0	0	0.047	0	0.41	0	0	0	0	0	0	0	2	0.42	0.36
11	1.3e-05	0	0	0	0	0	5e-06	0.00045	0	0	0.0029	1	0	0	0	0	11	0.087	0
12	0.0043	0	0.5	0	0	0	0.0016	0	0.5	0	0	0	0	0	0	0	2	0.42	0.36
13	0.18	0	0.38	0	0	0	0.067	0	0.38	0	0	0	0	0	0	0	2	0.42	0.36
14	8.7e-06	0	8.3e-06	1	0	0	3.3e-06	0	8.3e-06	0	0	0	0	0	0	0	3	1	0.24
15	0.7	0	0.016	0	0	0	0.27	0	0.016	0	0	0	0	0	0	0	0	0.26	0.24
16	0.72	0	0.0039	0	0	3.5e-06	0.27	0	0.0039	0	0	0	0	3.6e-05	3.5e-06	8.4e-05	0	0.26	0.24
17	0.72	0	0.00061	0	0	2.4e-05	0.27	8.6e-05	0.00061	0	0	0	0	0.0002	2.4e-05	0.00076	0	0.26	0.24
18	0.32	0	0.28	0	0	0	0.12	0	0.28	0	0	0	0	0	0	0	0	0.26	0.24
19	0.72	0	0.0013	0	0	6.2e-06	0.27	0	0.0013	0	0	0	0	5.2e-05	6.2e-06	8.7e-05	0	0.26	0.24
20	0.72	0	6.7e-06	0	0	1.2e-05	0.28	0	6.7e-06	0	0	0	0	9.9e-05	1.2e-05	4.5e-05	0	0.26	0.24
21	0.63	0	0.064	0	0	0	0.24	0	0.064	0	0	0	0	0	0	0	0	0.26	0.24
