k	loglikelihood	observations	parameters	BIC
1	-1814.35	1724	4	3658.52
2	-895.697	1724	6	1836.11
3	-821.296	1724	8	1702.21
4	-792.284	1724	10	1659.09
5	-782.451	1724	12	1654.33
6	-781.761	1724	14	1667.86
7	-775.959	1724	16	1671.16
8	-772.663	1724	18	1679.47
9	-771.941	1724	20	1692.93
10	-771.225	1724	22	1706.4
11	-765.643	1724	24	1710.14
12	-767.461	1724	26	1728.69
13	-764.761	1724	28	1738.19
14	-767.423	1724	30	1758.42
15	-759.907	1724	32	1758.29
16	-760.586	1724	34	1774.55
17	-762.319	1724	36	1792.93
18	-759.907	1724	38	1803.01
19	-759.906	1724	40	1817.91
20	-759.905	1724	42	1832.81
